evaluation_scope,weighting,residual_definition,model,region,count,bias,mae,rmse,p95,max_abs,frame_count,delta_bias_vs_M_local_fullfit_mm,delta_rmse_vs_M_local_fullfit_mm,delta_p95_vs_M_local_fullfit_mm
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,bottom_formal_edge,156,-0.0751003554698002,0.07578140727459416,0.08193253332508667,0.11757387273564746,0.16637740004182433,7,-0.005895031299889275,0.0049501859548135435,0.002777298201181111
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,global,26664,-0.0022382801097818542,0.06655214577350432,0.09910114521711635,0.16366535850681885,0.6197770723739495,30,-0.005093719238827442,0.000663444874687516,0.0014834964508736448
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,top_formal_edge,81,0.15236844616322923,0.1540351817009352,0.2024929331408898,0.4489312702845609,0.5155553553942127,7,-0.02213992187830144,-0.01772485934856044,-0.024229414845649444
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,middle_formal,26427,-0.002229978042940229,0.06580377778391353,0.09819103546966373,0.16270352615572392,0.6197770723739495,30,-0.004795771247092235,0.0005207165205710351,0.0015544305151706794
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,bottom_formal_edge,156,-0.10304802799036984,0.1057632549373126,0.11588730799155124,0.17839961285278605,0.20463806447230581,7,-0.03713430695167562,0.039162938695048014,0.04803313364106998
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,global,26663,0.002855439129045588,0.06558863620947396,0.09843770034242884,0.1621818620559452,0.6211705238074501,30,0.0,0.0,0.0
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,top_formal_edge,81,0.17450836804153066,0.17545632078330523,0.22021779248945025,0.47316068513021037,0.5399540153945281,7,0.0,0.0,0.0
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,middle_formal,26426,0.0025657932041520054,0.06504899788462051,0.0976703189490927,0.16114909564055324,0.6211705238074501,30,0.0,0.0,0.0
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,bottom_formal_edge,156,-0.06591372103869422,0.06903959390483369,0.07672436929650323,0.13036647921171607,0.1563901783933943,7,0.0,0.0,0.0
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,global,26663,0.00924087072165393,0.06597592649273305,0.09917071969882234,0.1600352788973396,0.6288572145588205,30,0.006385431592608341,0.0007330193563934995,-0.0021465831586056083
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,top_formal_edge,81,0.17253306436026938,0.17355976737629733,0.21856246854535352,0.47086936137475277,0.5375299036364822,7,-0.001975303681261281,-0.0016553239440967316,-0.002291323755457597
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,middle_formal,26426,0.009072252360302879,0.06538371904851156,0.09837396374021531,0.15878324913819597,0.6288572145588205,30,0.0065064591561508735,0.0007036447911226151,-0.0023658465023572717
baseline_fit_30,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,bottom_formal_edge,156,-0.07170598233250405,0.07339239632532718,0.08062353741065897,0.1322251272011954,0.16637740004182433,7,-0.005792261293809831,0.003899168114155749,0.0018586479894793229
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,global,25773,-0.012093317303096145,0.05856740669708606,0.07525394623344599,0.1464687748872393,0.5703781115577158,29,-0.005038894470059268,0.0009918341494839639,0.001477282254199963
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,top_formal_edge,81,0.1728811063837277,0.17489765061453244,0.21280322630859358,0.4489312702845609,0.5155553553942127,7,-0.022183085081803583,-0.018763156810769954,-0.024229414845649444
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,middle_formal,25536,-0.012078775228756911,0.057874340992258855,0.07406663603642093,0.14433126132564666,0.5703781115577158,29,-0.004762914929020798,0.0008563273901951857,0.0007675731275185171
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,bottom_formal_edge,156,-0.11051815530924632,0.11161468926858858,0.11879036203532412,0.16984285403202648,0.20463806447230581,7,-0.041312831139335385,0.04180801466505099,0.055046279497560135
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,global,25773,-0.007054422833036877,0.057484590904918885,0.07426211208396202,0.14499149263303934,0.5679929550893803,29,0.0,0.0,0.0
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,top_formal_edge,81,0.19506419146553128,0.1962110972518758,0.23156638311936353,0.47316068513021037,0.5399540153945281,7,0.0,0.0,0.0
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,middle_formal,25536,-0.007315860299736113,0.05696523738854948,0.07321030864622574,0.14356368819812815,0.5679929550893803,29,0.0,0.0,0.0
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,bottom_formal_edge,156,-0.06920532416991093,0.0704676959043134,0.07698234737027312,0.11479657453446634,0.1563901783933943,7,0.0,0.0,0.0
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,global,25773,-0.0008001734337547192,0.05755190715106035,0.0737683293612192,0.1424265293355802,0.5727351703160366,29,0.006254249399282158,-0.0004937827227428221,-0.002564963297459144
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,top_formal_edge,81,0.19300428055579585,0.19424646445173088,0.22980814720140152,0.47086936137475277,0.5375299036364822,7,-0.002059910909735424,-0.0017582359179620088,-0.002291323755457597
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,middle_formal,25536,-0.0009610182166310713,0.05700694861563485,0.07268936268319763,0.14146823448368195,0.5727351703160366,29,0.006354842083105041,-0.0005209459630281105,-0.0020954537144461938
diagnostic_fit_29,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,bottom_formal_edge,156,-0.0751003554698002,0.07578140727459416,0.08193253332508667,0.11757387273564746,0.16637740004182433,7,-0.005895031299889275,0.0049501859548135435,0.002777298201181111
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,global,25773,-0.012012589660969818,0.058528097703102515,0.07522148931132566,0.1464978532542318,0.5703781115577158,29,-0.005046061380905815,0.0010278056770970934,0.001756274704689531
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,top_formal_edge,81,0.15236844616322923,0.1540351817009352,0.2024929331408898,0.4489312702845609,0.5155553553942127,7,-0.02213992187830144,-0.01772485934856044,-0.024229414845649444
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,middle_formal,25536,-0.012004001315961238,0.0577539239207672,0.07397650490714437,0.1443221142104676,0.5703781115577158,29,-0.004737839320490078,0.000839484541113697,0.0008271171025171498
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,bottom_formal_edge,156,-0.10304802799036984,0.1057632549373126,0.11588730799155124,0.17839961285278605,0.20463806447230581,7,-0.03713430695167562,0.039162938695048014,0.04803313364106998
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,global,25773,-0.006966528280064003,0.05743430591405111,0.07419368363422857,0.14474157854954228,0.5679929550893803,29,0.0,0.0,0.0
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,top_formal_edge,81,0.17450836804153066,0.17545632078330523,0.22021779248945025,0.47316068513021037,0.5399540153945281,7,0.0,0.0,0.0
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,middle_formal,25536,-0.0072661619954711605,0.05687605937109926,0.07313702036603068,0.14349499710795044,0.5679929550893803,29,0.0,0.0,0.0
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,bottom_formal_edge,156,-0.06591372103869422,0.06903959390483369,0.07672436929650323,0.13036647921171607,0.1563901783933943,7,0.0,0.0,0.0
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,global,25773,-0.0006902589513581607,0.05752208742295397,0.07372178408985522,0.14228733012100747,0.5727351703160366,29,0.006276269328705842,-0.0004718995443733498,-0.002454248428534811
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,top_formal_edge,81,0.17253306436026938,0.17355976737629733,0.21856246854535352,0.47086936137475277,0.5375299036364822,7,-0.001975303681261281,-0.0016553239440967316,-0.002291323755457597
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,middle_formal,25536,-0.0008646917389626948,0.056909459032380025,0.07260908438549782,0.1411714005222393,0.5727351703160366,29,0.006401470256508466,-0.0005279359805328565,-0.0023235965857111296
diagnostic_fit_29,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,bottom_formal_edge,156,-0.07170598233250405,0.07339239632532718,0.08062353741065897,0.1322251272011954,0.16637740004182433,7,-0.005792261293809831,0.003899168114155749,0.0018586479894793229
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,global,891,0.28121669687466905,0.29924953981515695,0.361304868951578,0.5700110016566668,0.6197770723739495,1,-0.006475797118554727,-0.0007214386780064475,-0.0007810693007286318
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,top_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,middle_formal,891,0.28121669687466905,0.29924953981515695,0.361304868951578,0.5700110016566668,0.6197770723739495,1,-0.006475797118554727,-0.0007214386780064475,-0.0007810693007286318
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,bottom_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,global,890,0.2876924939932238,0.30206421477673673,0.36202630762958443,0.5707920709573955,0.6211705238074501,1,0.0,0.0,0.0
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,top_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,middle_formal,890,0.2876924939932238,0.30206421477673673,0.36202630762958443,0.5707920709573955,0.6211705238074501,1,0.0,0.0,0.0
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,bottom_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,global,890,0.29724363123900455,0.31113725951632626,0.3707193107124661,0.5789054786790757,0.6288572145588205,1,0.009551137245780772,0.008693003082881678,0.008113407721680232
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,top_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,middle_formal,890,0.29724363123900455,0.31113725951632626,0.3707193107124661,0.5789054786790757,0.6288572145588205,1,0.009551137245780772,0.008693003082881678,0.008113407721680232
frame027_holdout,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,bottom_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,global,891,0.28121669687466905,0.29924953981515695,0.361304868951578,0.5700110016566668,0.6197770723739495,1,-0.006475797118554727,-0.0007214386780064475,-0.0007810693007286318
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,top_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,middle_formal,891,0.28121669687466905,0.29924953981515695,0.361304868951578,0.5700110016566668,0.6197770723739495,1,-0.006475797118554727,-0.0007214386780064475,-0.0007810693007286318
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,bottom_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,global,890,0.2876924939932238,0.30206421477673673,0.36202630762958443,0.5707920709573955,0.6211705238074501,1,0.0,0.0,0.0
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,top_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,middle_formal,890,0.2876924939932238,0.30206421477673673,0.36202630762958443,0.5707920709573955,0.6211705238074501,1,0.0,0.0,0.0
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,bottom_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,global,890,0.29724363123900455,0.31113725951632626,0.3707193107124661,0.5789054786790757,0.6288572145588205,1,0.009551137245780772,0.008693003082881678,0.008113407721680232
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,top_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,middle_formal,890,0.29724363123900455,0.31113725951632626,0.3707193107124661,0.5789054786790757,0.6288572145588205,1,0.009551137245780772,0.008693003082881678,0.008113407721680232
frame027_holdout,frame_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,bottom_formal_edge,0,nan,nan,nan,nan,nan,0,nan,nan,nan
