row_type,group_id,region,normal_angle_to_reference_deg,plane_d_mm,plane_d_delta_to_reference_mm,pnp_rmse_px,consistent,group_left,group_right,region_left,region_right,pair_normal_angle_deg,pair_plane_d_delta_mm,pair_consistent,group_ids,group_count,max_normal_angle_to_reference_deg,max_abs_plane_d_delta_to_reference_mm,pnp_rmse_median_px,pnp_rmse_max_px,normal_threshold_deg,plane_d_threshold_mm,pnp_rmse_threshold_px
group,014,Bottom,0.007492275691735851,711.6726583074617,0.0033702837964710852,0.11294270677434413,True,,,,,,,,,,,,,,,,
group,015,Bottom,0.00722629762933661,711.667537265261,-0.0017507584042277813,0.11044462679517905,True,,,,,,,,,,,,,,,,
pair,,,,,,,,001,002,Middle,Middle,0.005748305795396324,0.0011475893818442273,True,,,,,,,,,
pair,,,,,,,,001,003,Middle,Middle,0.001235205118586919,0.002491607153501718,True,,,,,,,,,
pair,,,,,,,,001,004,Middle,Middle,0.0018257024663977867,-0.0008825405893730931,True,,,,,,,,,
pair,,,,,,,,001,005,Middle,Middle,0.003342740696646635,-0.0021630283567901643,True,,,,,,,,,
pair,,,,,,,,001,006,Middle,Top,0.01697389316218965,-0.007747023218144022,True,,,,,,,,,
pair,,,,,,,,001,007,Middle,Top,0.014293552656977737,-0.0026619359676942622,True,,,,,,,,,
pair,,,,,,,,001,008,Middle,Top,0.015990584138223074,-0.005450694114415455,True,,,,,,,,,
pair,,,,,,,,001,009,Middle,Top,0.018552240133157857,-0.009725660708681971,True,,,,,,,,,
pair,,,,,,,,001,010,Middle,Top,0.014875142010058835,-0.009328514752610317,True,,,,,,,,,
pair,,,,,,,,001,011,Middle,Bottom,0.0032711359857309327,0.004088886274189463,True,,,,,,,,,
pair,,,,,,,,001,012,Middle,Bottom,0.00450156452287328,-0.008035520868702406,True,,,,,,,,,
pair,,,,,,,,001,013,Middle,Bottom,0.005404732997246308,-0.0021071068578066843,True,,,,,,,,,
pair,,,,,,,,001,014,Middle,Bottom,0.0018463695530716677,-0.0055333121532612495,True,,,,,,,,,
pair,,,,,,,,001,015,Middle,Bottom,0.0011904231805958084,-0.00041226995256238297,True,,,,,,,,,
pair,,,,,,,,002,003,Middle,Middle,0.004551016857814319,0.0013440177716574908,True,,,,,,,,,
pair,,,,,,,,002,004,Middle,Middle,0.003970581074433012,-0.0020301299712173204,True,,,,,,,,,
pair,,,,,,,,002,005,Middle,Middle,0.007753090705281165,-0.0033106177386343916,True,,,,,,,,,
pair,,,,,,,,002,006,Middle,Top,0.01511604460850713,-0.00889461259998825,True,,,,,,,,,
pair,,,,,,,,002,007,Middle,Top,0.01465663944717168,-0.0038095253495384895,True,,,,,,,,,
pair,,,,,,,,002,008,Middle,Top,0.014783314855145398,-0.006598283496259683,True,,,,,,,,,
pair,,,,,,,,002,009,Middle,Top,0.018125411979016706,-0.010873250090526199,True,,,,,,,,,
pair,,,,,,,,002,010,Middle,Top,0.014728032984696113,-0.010476104134454545,True,,,,,,,,,
pair,,,,,,,,002,011,Middle,Bottom,0.006944448259694136,0.0029412968923452354,True,,,,,,,,,
