row_type,scope,group_id,valid_point_count,used_point_count,uniform_subsample_cap,valid_fraction,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,a_frame_mm,k_frame_mm_per_normalized_stripe,remaining_rmse_after_a_k_mm,pnp_rmse_px,board_center_x_mm,board_center_y_mm,board_center_z_mm,plane_nx,plane_ny,plane_nz,u_mean_px,u_std_px,u_range_px,v_min_px,v_max_px,lambda_truth_min_mm,lambda_truth_max_mm,quality_warnings,region,v_center_px,plane_d_mm,plane_normal_angle_deg,plane_d_delta_mm,plane_consistent,group_ids,group_count,a_frame_mean_mm,a_frame_std_mm,a_frame_range_mm,k_frame_mean_mm_per_normalized_stripe,k_frame_std_mm_per_normalized_stripe,k_frame_range_mm_per_normalized_stripe,v_center_median_px,v_center_min_px,v_center_max_px,plane_normal_angle_max_deg,plane_d_delta_abs_max_mm,same_v_pair_count,same_v_overlap_v_start_median_px,same_v_overlap_v_end_median_px,same_v_e_delta_rmse_median_mm,same_v_e_delta_rmse_p95_mm,same_v_e_delta_p95_abs_median_mm,same_v_e_delta_p95_abs_p95_mm,same_v_e_delta_max_abs_mm,region_left,region_right,common_v_start_px,common_v_end_px,overlap_point_count,left_curve_bias_mm,right_curve_bias_mm,delta_bias_mm,delta_rmse_mm,delta_p95_abs_mm,delta_max_abs_mm,group_left,group_right,e_delta_bias_mm,e_delta_rmse_mm,e_delta_p95_abs_mm,e_delta_max_abs_mm
group,fixed_pose_groups,013,900,900,900,1.0,0.12449735247571539,0.1253715973428829,0.13876538144289224,0.22178528783738896,0.29572725898685803,0.12449735247571542,0.004039039896509524,0.06125030664898705,0.11098651149311538,-72.51164707825934,121.6184660781501,708.0605650240744,0.045471427426994226,-0.008809111361598666,-0.9989267985417003,2111.266682586709,7.111648101662511,24.699044103010692,715.9489959790697,2772.9991286368927,711.4879580329646,713.3560021768916,image_too_dark;dynamic_range_low;dynamic_range_low,Bottom,1663.5105506770349,711.6692321021662,0.0025121476740207027,-5.592149898347998e-05,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,014,900,900,900,1.0,0.1252860283221984,0.12606975675775894,0.13939061877000666,0.22765667303488044,0.30438201108779595,0.12528602832219848,-0.007007235678671571,0.060985828050538655,0.11294270677434413,-72.51133366979775,121.6168536026508,708.050630718392,0.045518988913479864,-0.008908500444954637,-0.9989237509780798,2111.322877645125,7.115324639959489,24.618408107469804,715.9494917062311,2772.9991919478894,711.4815264798607,713.3695971286903,image_too_dark;dynamic_range_low;dynamic_range_low,Bottom,1657.9999094830946,711.6726583074617,0.007492275691735851,0.0033702837964710852,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group,fixed_pose_groups,015,900,900,900,1.0,0.12048814515490272,0.12140823999119625,0.13484256485511423,0.22076298092376873,0.30098358458894836,0.12048814515490278,-0.004328817232644699,0.06049697592515744,0.11044462679517905,-72.50974699366583,121.61786502830233,708.0458168287382,0.045535606541782965,-0.008900540716982049,-0.9989230645609388,2111.374814533076,7.114202501195669,24.68049444280041,715.9472259140251,2772.99859492041,711.4779879192051,713.3644470551513,image_too_dark;dynamic_range_low;dynamic_range_low,Bottom,1653.996779427584,711.667537265261,0.00722629762933661,-0.0017507584042277813,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region_summary,,,,,,,0.11889675552846433,0.12098160301059266,0.13991417907186643,0.25322081095653176,,,,,,,,,,,,,,,,,,,,Top,,,,,,006;007;008;009;010,5,0.11889675552846438,0.004580563801825299,0.01107993441319198,-0.011407374770193239,0.0035863894573959225,0.009537373736766122,1282.4963049860742,1279.496034953657,1284.0063201171088,0.01249957062402247,0.007562632351891807,10,226.0,2281.0,0.015449012581230225,0.018166242804557052,0.03129473131835567,0.03600735946499433,0.1633304490400075,,,,,,,,,,,,,,,,,
region_summary,,,,,,,0.10294888705572683,0.10462669742813574,0.11917741627742309,0.1951064749939917,,,,,,,,,,,,,,,,,,,,Middle,,,,,,001;002;003;004;005,5,0.10294888705572687,0.003173317359343878,0.00852044462841596,0.03257674678699388,0.001948016240265214,0.004702056328979628,1507.9729130390624,1505.004612244908,1511.5310343344472,0.00719747236649323,0.004654635510291882,10,506.0,2562.0,0.012331097736331132,0.014702740174650314,0.024293226892735317,0.028236162769625827,0.16129686158517517,,,,,,,,,,,,,,,,,
region_summary,,,,,,,0.125097256051098,0.12593784493159535,0.13933278077801353,0.22600958155672404,,,,,,,,,,,,,,,,,,,,Bottom,,,,,,011;012;013;014;015,5,0.12509725605109806,0.006232903319667467,0.015566341687759513,-0.0021919537474189375,0.0047993570408728465,0.011046275575181095,1660.500874164777,1653.996779427584,1663.5105506770349,0.007492275691735851,0.006251914630979627,10,716.0,2772.0,0.014120011345832444,0.019902884116843943,0.028975559965701843,0.034766191273655184,0.18317791438904923,,,,,,,,,,,,,,,,,
matched_v_region_pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top,Middle,716.0,2281.0,1566,0.11352546660440245,0.10535517164536799,0.008170294959034447,0.04700289459427123,0.08979471712692924,0.150549904315233,,,,,,
matched_v_region_pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top,Bottom,716.0,2281.0,1566,0.11352546660440245,0.1266140112883538,-0.013088544683951353,0.05224457266845044,0.10463422242125019,0.1841339159225229,,,,,,
matched_v_region_pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,Bottom,716.0,2281.0,1566,0.10535517164536799,0.1266140112883538,-0.0212588396429858,0.04866839981729313,0.09438755687562532,0.17569987734378648,,,,,,
same_region_repeat_pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,2281.0,2056,,,,,,,006,007,0.0031536552751458965,0.013963612202261997,0.02918956123144833,0.08924637539623675
