record_type,frame_index,filename,u,before_valid,after_valid,before_v_px,after_v_px,center_difference_px,abs_center_difference_px,before_selected_response,after_selected_response,before_valid_column_count,after_valid_column_count,before_frame_center_median_px,after_frame_center_median_px,frame_center_difference_px,before_response_median,before_response_p95,after_response_median,after_response_p95,before_accepted_frame_count,after_accepted_frame_count,paired_frame_count,before_column_center_median_px,after_column_center_median_px,column_center_difference_px,column_difference_p95_abs_px,column_difference_max_abs_px,raw_peak_y_px,before_distance_to_raw_peak_px,after_distance_to_raw_peak_px
frame_summary,11,images/multiheight/0011.tif,,,,,,,,,,37,37,891.482000619173,891.426926463842,-0.055074155330658,3.80139541625977,4.91772089004517,4.19032430648804,5.59352731704712,,,,,,,,,,,
frame_summary,12,images/multiheight/0012.tif,,,,,,,,,,37,37,891.48538005352,891.431645214558,-0.0537348389625549,3.78537750244141,4.80263185501099,4.13315486907959,5.62360515594482,,,,,,,,,,,
frame_summary,13,images/multiheight/0013.tif,,,,,,,,,,37,37,891.50588363409,891.450276583433,-0.0556070506572723,3.79772520065308,4.88342151641846,4.17526769638062,5.74131708145142,,,,,,,,,,,
frame_summary,14,images/multiheight/0014.tif,,,,,,,,,,37,37,891.510844767094,891.454826235771,-0.0560185313224792,3.8274929523468,4.96114072799682,4.10783386230469,5.73484363555908,,,,,,,,,,,
frame_summary,15,images/multiheight/0015.tif,,,,,,,,,,37,37,891.511308431625,891.446766376495,-0.0645420551300049,3.77626609802246,4.96642665863037,4.18453407287598,5.69645156860352,,,,,,,,,,,
frame_summary,16,images/multiheight/0016.tif,,,,,,,,,,37,37,891.536524951458,891.480529278517,-0.0559956729412079,3.59436893463135,5.10891809463501,4.17119216918945,5.5660062789917,,,,,,,,,,,
frame_summary,17,images/multiheight/0017.tif,,,,,,,,,,37,37,891.462474584579,891.405003368855,-0.0574712157249451,3.75841641426086,4.8996563911438,4.10340738296509,5.5123161315918,,,,,,,,,,,
frame_summary,18,images/multiheight/0018.tif,,,,,,,,,,37,37,891.524968087673,891.468756526709,-0.0562115609645844,3.69119215011597,4.93379974365234,4.070631980896,5.59991693496704,,,,,,,,,,,
frame_summary,19,images/multiheight/0019.tif,,,,,,,,,,37,37,891.48892018199,891.435591012239,-0.0533291697502136,3.81116819381714,4.85493631362915,4.12537908554077,5.50727891921997,,,,,,,,,,,
frame_summary,20,images/multiheight/0020.tif,,,,,,,,,,37,37,891.478757590055,891.426177889109,-0.0525797009468079,3.86086940765381,4.90093088150024,4.15563201904297,5.57446212768555,,,,,,,,,,,
frame_summary,21,images/multiheight/0021.tif,,,,,,,,,,37,37,891.524851918221,891.468033254147,-0.0568186640739441,3.71677184104919,5.07543725967407,4.16781663894653,5.5467001914978,,,,,,,,,,,
frame_summary,22,images/multiheight/0022.tif,,,,,,,,,,37,37,891.469327479601,891.420915186405,-0.0484122931957245,3.93698716163635,4.9893720626831,4.22061681747437,5.54942464828491,,,,,,,,,,,
frame_summary,23,images/multiheight/0023.tif,,,,,,,,,,37,37,891.473704397678,891.424220144749,-0.0494842529296875,3.75464129447937,4.94159660339355,4.18028831481934,5.7057864189148,,,,,,,,,,,
frame_summary,24,images/multiheight/0024.tif,,,,,,,,,,37,37,891.480750828981,891.429778575897,-0.0509722530841827,3.81719708442688,4.99564504623413,4.12736701965332,5.55979061126709,,,,,,,,,,,
frame_summary,25,images/multiheight/0025.tif,,,,,,,,,,37,37,891.472098171711,891.421440541744,-0.0506576299667358,3.67725801467896,4.94450035095215,4.0200629234314,5.51741228103638,,,,,,,,,,,
frame_summary,26,images/multiheight/0026.tif,,,,,,,,,,37,37,891.50790387392,891.454413145781,-0.0534907281398773,3.82719993591309,5.0089900970459,4.17866468429565,5.48418006896973,,,,,,,,,,,
frame_summary,27,images/multiheight/0027.tif,,,,,,,,,,37,37,891.493483275175,891.441892504692,-0.051590770483017,3.81068229675293,5.05306797027588,4.10147428512573,5.66469793319702,,,,,,,,,,,
frame_summary,28,images/multiheight/0028.tif,,,,,,,,,,37,37,891.472591489553,891.423699110746,-0.0488923788070679,3.8091778755188,5.03970289230347,4.12093162536621,5.49708633422851,,,,,,,,,,,
frame_summary,29,images/multiheight/0029.tif,,,,,,,,,,37,37,891.515579640865,891.459069252014,-0.0565103888511658,3.75640058517456,4.94187841415405,4.13027954101562,5.53477916717529,,,,,,,,,,,
