predictor,bin_index,bin_start_mm,bin_end_mm,bin_center_mm,point_count,unique_frame_count,frame027_point_count,residual_mean_mm,residual_median_mm,residual_std_mm,residual_rmse_mm,residual_p95_abs_mm
distance_to_horizontal_grid_line_mm,4,4.0,5.0,4.5,2947,30,79,0.011973149638596907,0.006897885044054419,0.0892806956374976,0.09006494393934364,0.14377804475145692
distance_to_horizontal_grid_line_mm,5,5.0,6.0,5.5,2934,29,83,0.020018776114107534,0.018902650270604227,0.09069704129835825,0.0928649612734427,0.13933136549341604
distance_to_horizontal_grid_line_mm,6,6.0,7.0,6.5,2646,28,93,0.0074862759041098,0.000637854909825819,0.09586155008461533,0.096135363718813,0.14322609311875567
distance_to_horizontal_grid_line_mm,7,7.0,8.0,7.5,2754,28,94,0.012042834840188312,0.007591499398074575,0.09610291446054396,0.09683721626967472,0.15969626766295733
distance_to_horizontal_grid_line_mm,8,8.0,9.0,8.5,2570,27,97,0.011738749809287609,0.011065819907230434,0.09804275055584703,0.09872405460472002,0.15127844832373946
distance_to_horizontal_grid_line_mm,9,9.0,10.0,9.5,2632,26,99,0.010024587051484016,0.006513460654275605,0.09924998970231991,0.09973620299223551,0.15822672134356128
distance_to_grid_intersection_mm,0,0.0,1.0,0.5,147,16,0,-0.007141383214996829,0.004418528452902137,0.12839462026000956,0.12815628659737005,0.2680117630695462
distance_to_grid_intersection_mm,1,1.0,2.0,1.5,474,19,41,-0.007714135001148232,-0.017263589129754564,0.09492848064754036,0.09514154134646911,0.17899219954964563
distance_to_grid_intersection_mm,2,2.0,3.0,2.5,716,20,17,-0.0034587994245042822,-0.013987070964731174,0.09281600103678393,0.09281563168082005,0.167121026576325
distance_to_grid_intersection_mm,3,3.0,4.0,3.5,1022,23,18,-0.016796058932361923,-0.01576820448184435,0.08710176867381743,0.08866454927721473,0.18453062244140023
distance_to_grid_intersection_mm,4,4.0,5.0,4.5,1672,26,28,-0.002389116598597261,-0.001412298013462987,0.0741721764380719,0.07418847119220566,0.1524570825496368
distance_to_grid_intersection_mm,5,5.0,6.0,5.5,2081,27,83,0.010304053602052523,0.007391765687430052,0.08895083349517185,0.08952442215032826,0.1710933003091668
distance_to_grid_intersection_mm,6,6.0,7.0,6.5,2550,29,83,0.001791075148176101,0.0009600162696870029,0.09813283007529341,0.0981299332398614,0.16755397774050482
distance_to_grid_intersection_mm,7,7.0,8.0,7.5,3426,30,77,0.005676435148768347,0.0036606247763302235,0.08785274700242984,0.08802314620748691,0.1513454577126936
distance_to_grid_intersection_mm,8,8.0,9.0,8.5,4032,30,133,0.011074424947950228,0.006583175939169905,0.09844947161210928,0.09905825308760008,0.1573277939512138
distance_to_grid_intersection_mm,9,9.0,10.0,9.5,4021,30,149,0.013269217513427254,0.008495613088371101,0.10027832303343069,0.10114006821003789,0.15891635604759813
distance_to_grid_intersection_mm,10,10.0,11.0,10.5,3109,30,127,0.019545101537624072,0.011762762116745762,0.10790120135075978,0.10964002653855291,0.15031724517148176
distance_to_grid_intersection_mm,11,11.0,12.0,11.5,2053,29,76,0.016803735008824993,0.0061351967376594985,0.11226667188009004,0.11349022826495993,0.15663839359740442
distance_to_grid_intersection_mm,12,12.0,13.0,12.5,992,27,43,0.02394201438636057,0.011099987260365651,0.11644580311576383,0.11882413954779403,0.18749347863994778
distance_to_grid_intersection_mm,13,13.0,14.0,13.5,366,21,15,0.009420986905766194,-0.011669214119933713,0.1166629610623297,0.11688376710350526,0.16266733795720256
distance_to_grid_intersection_mm,14,14.0,15.0,14.5,2,2,0,-0.046899187902738504,-0.046899187902738504,0.07554310018641681,0.07108385061899698,0.09562630752613471
