row_v_px,yg_mm,raw_mean_z_mm,retained_trend_z_mm,bias_mm,sample_count,repeatability_sigma_mm
891.0,60.3309705,-0.167105,-0.03679053722810828,-0.13031446277189174,10,0.04109796304441377
892.0,60.2338075,-0.16752499999999998,-0.03683174114700512,-0.13069325885299488,10,0.043957215140406694
893.0,60.1366405,-0.16789700000000002,-0.036872946762182175,-0.13102405323781785,10,0.04792556019727074
894.0,60.039045,-0.16370099999999999,-0.036914334091378426,-0.12678666590862156,10,0.052306223154717564
895.0,59.941544,-0.1604965,-0.03695568134595435,-0.12354081865404563,10,0.056265115074282245
896.0,59.8424725,-0.14049450000000002,-0.036997694602553956,-0.10349680539744607,12,0.035333232395510485
897.0,59.7447,-0.134332,-0.03703915699215021,-0.0972928430078498,11,0.030315480534778682
898.0,59.646829,-0.12708,-0.03708066115264702,-0.08999933884735298,11,0.03395017504065198
899.0,59.5504235,-0.1355405,-0.03712154383847608,-0.09841895616152394,12,0.06567018691548816
900.0,59.45357,-0.13920700000000003,-0.037162616507690434,-0.1020443834923096,12,0.06304843601885968
901.0,59.356591,-0.1415255,-0.03720374239769687,-0.10432175760230313,12,0.05576347306012487
902.0,59.259259,-0.140036,-0.03724501798443325,-0.10279098201556675,12,0.04572847313540497
903.0,59.161874,-0.1379685,-0.03728631604688262,-0.10068218395311737,12,0.039347472565534045
904.0,59.064685499999996,-0.138013,-0.037327530779565896,-0.1006854692204341,12,0.0380475847168763
905.0,58.967695500000005,-0.1401985,-0.037368661334342954,-0.10282983866565705,12,0.03789754595277146
906.0,58.871139,-0.14709250000000001,-0.03740960805475055,-0.10968289194524947,12,0.0342377464197268
907.0,58.775289,-0.16167350000000003,-0.03745025516966323,-0.1242232448303368,12,0.032665452567265045
908.0,58.678630999999996,-0.1675035,-0.03749124493318155,-0.13001225506681846,12,0.03390555938011918
909.0,58.58175,-0.170919,-0.037532329264322456,-0.13338667073567753,11,0.035856570357720795
910.0,58.484666,-0.172125,-0.03757349968168483,-0.13455150031831517,11,0.036957471865276814
911.0,58.386589,-0.162465,-0.03761509120061327,-0.12484990879938673,11,0.03939770469156339
912.0,58.28778,-0.144772,-0.03765699313882306,-0.10711500686117695,11,0.04402928433750346
913.0,58.189562,-0.133499,-0.037698644451629466,-0.09580035554837055,11,0.05024689576897444
914.0,58.09302,-0.140575,-0.03773958502302123,-0.10283541497697878,11,0.055408532511452856
915.0,57.996784,-0.151045,-0.037780395828975716,-0.1132646041710243,11,0.05850387047708895
916.0,57.897473,-0.127673,-0.037822510650353844,-0.08985048934964616,10,0.05501121895526806
917.0,57.803865,-0.167115,-0.03786220700019993,-0.12925279299980008,11,0.05685004495064985
918.0,57.706087,-0.160622,-0.037903671722181495,-0.12271832827781849,11,0.04845044620321787
919.0,57.6082325,-0.153256,-0.03794516888552237,-0.11531083111447762,12,0.04859744653123311
920.0,57.510245,-0.144391,-0.03798672245018077,-0.10640427754981922,12,0.04285989736762835
921.0,57.412447,-0.137592,-0.038028195653563454,-0.09956380434643654,12,0.03533232421400602
922.0,57.314321,-0.1271205,-0.038069807951924675,-0.08905069204807532,12,0.03805119785316365
923.0,57.216985,-0.12541,-0.03811108523494128,-0.08729891476505872,13,0.05455424075880106
924.0,57.119655,-0.12375,-0.03815235997353754,-0.08559764002646246,12,0.04203765973072672
925.0,57.02265,-0.125701,-0.03819349688936545,-0.08750750311063456,11,0.026937646994832004
926.0,56.926308,-0.13508,-0.03823435264674592,-0.09684564735325409,11,0.026024186745480373
927.0,56.829642,-0.140851,-0.038275345802824684,-0.10257565419717532,9,0.005727704579497794
928.0,56.732203,-0.137965,-0.03831666676505711,-0.0996483332349429,9,0.004827538140708986
929.0,56.63498,-0.13747900000000002,-0.03835789612815733,-0.0991211038718427,12,0.01837789312021046
930.0,56.536194,-0.119416,-0.03839978831275581,-0.08101621168724418,10,0.018932643820778028
931.0,56.4389575,-0.1187425,-0.03844102340080179,-0.0803014765991982,12,0.03233739642730951
932.0,56.341607499999995,-0.1167865,-0.03848230662079919,-0.0783041933792008,12,0.0364509930141786
933.0,56.244851,-0.121527,-0.038523338155218065,-0.08300366184478193,12,0.03475686402439964
934.0,56.148885,-0.135221,-0.0385640344622573,-0.09665696553774271,12,0.03108861589204854
935.0,56.052983,-0.149685,-0.03860470362881293,-0.11108029637118708,9,0.006689070066990712
936.0,55.954595,-0.13595600000000002,-0.03864642703352894,-0.09730957296647108,12,0.02286361101215535
937.0,55.8569065,-0.130127,-0.03868785380124044,-0.09143914619875955,12,0.02660081404541575
938.0,55.759686,-0.1296115,-0.03872908210416552,-0.09088241789583447,12,0.033609242393614396
939.0,55.662602,-0.1306545,-0.038770252521527895,-0.09188424747847211,12,0.03980915434465248
940.0,55.565934,-0.13643850000000002,-0.03881124652574677,-0.09762725347425324,12,0.04956509557436013
941.0,55.468078000000006,-0.12863750000000002,-0.03885274432519274,-0.08978475567480727,12,0.05005407149932053
942.0,55.3703015,-0.121714,-0.03889420841106922,-0.08281979158893078,12,0.04520531002497987
943.0,55.272819999999996,-0.1181605,-0.03893554739627904,-0.07922495260372096,12,0.03725180082976668
944.0,55.17553,-0.11679,-0.03897680517207304,-0.07781319482792697,9,0.011562775629147181
945.0,55.079639,-0.131523,-0.03901746967385805,-0.09250553032614195,11,0.01611796760309889
946.0,54.983116,-0.139007,-0.03905840218791874,-0.09994859781208125,11,0.020108472891251134
947.0,54.886352,-0.143731,-0.039099436902863036,-0.10463156309713696,11,0.023122721561662715
