scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
160,2132.6677992492914,0.008192099110210257,0.32947640973316084,0.002576336076350627,1.0,1.0,False
161,2132.650138244033,0.008393591752257155,0.32941103366601965,0.0026396913759616373,1.0,1.0,False
162,2132.6126328855753,0.009317829014025713,0.33558748040809405,0.002930288292694854,1.0,1.0,False
163,2132.5746888667345,0.011340888595317117,0.34190277514329637,0.0035664201845949242,1.0,1.0,False
164,2132.5674030333757,0.013552684871711632,0.338577807148738,0.004261991246859161,1.0,1.0,False
165,2132.594331547618,0.01491131613355685,0.32449406917214674,0.004689411452021417,1.0,1.0,False
166,2132.555116906762,0.01170850238094429,0.3312123134406306,0.0036820886609543824,1.0,1.0,False
167,2132.365263491869,0.011521862712323706,0.38530006861134325,0.0036228190293191485,1.0,1.0,False
168,2132.1895666196942,0.010924364718792679,0.434929481209565,0.0034344477128845866,1.0,1.0,False
169,2132.1594472154975,0.010553768876404187,0.43878885983116334,0.0033178906818404005,1.0,1.0,False
170,2132.3160363286734,0.01060986142679063,0.38394786129009617,0.003336030652120412,1.0,1.0,False
171,2132.462646842003,0.011376001861850771,0.33223787493272994,0.003577434391397956,1.0,1.0,False
172,2132.5016325712204,0.011323691433594973,0.31437002747151155,0.003561151497062205,1.0,1.0,False
173,2132.498686015606,0.012342938597430483,0.3096900189636358,0.003881727684486762,1.0,1.0,False
174,2132.487506121397,0.013595826334789587,0.3076003722824794,0.004275765710985049,1.0,1.0,False
175,2132.469787374139,0.014019635032226637,0.30756820203805546,0.004409025715061097,1.0,1.0,False
176,2132.4333677589893,0.012661309130217216,0.31341823419279535,0.0039817551798140526,1.0,1.0,False
177,2132.393733665347,0.009884719641110963,0.32028005602165877,0.003108482451526602,1.0,1.0,False
178,2132.4175176620483,0.009322245955755855,0.30719930804986006,0.002931691281540757,1.0,1.0,False
179,2132.448372811079,0.010599854783016543,0.2918954157244684,0.0033336138259094654,1.0,1.0,False
180,2132.4015728384256,0.011630215608939311,0.30101445586871023,0.0036575552089375117,1.0,1.0,False
