frame_a,frame_b,normal_angle_diff_deg,translation_difference_mm,tvec_difference_mm,depth_difference_mm,camera_board_distance_difference_mm,v_overlap_100px_jaccard,v_overlap_10px_jaccard,v_interval_overlap_px,v_interval_union_px,v_interval_iou,lambda_interval_overlap_mm,lambda_interval_iou,lambda_span_difference_mm,geometric_distance,geometric_similarity,near_duplicate_strict,near_duplicate_candidate,similarity_rank
009,018,0.9363307434870415,99.18079586364415,163.48742736634821,5.214889582517458,4.730624194319489,0.7692307692307693,0.7370517928286853,1871.9491955290614,2492.9936334677896,0.7508840658069205,6.8518121543480675,0.8137351938415894,1.0485926222467015,0.9324877823740482,0.3935733665519781,False,False,35
006,007,0.06507757721433867,93.77560067868282,79.62016684778087,4.006621376945191,8.521103523265992,0.56,0.5661157024793388,1356.0140634267125,2406.0150630406465,0.5635933391510127,1.0169605975713694,0.5019808192228017,0.07875609622772117,0.9342065671265817,0.39289747966897304,False,False,36
009,013,3.1112877489140267,69.10040239648482,148.2020522186115,8.330762308698695,5.819068443265564,0.6428571428571429,0.6052631578947368,1629.961699893286,2714.0036269918573,0.6005746210810706,0.0,0.0,5.875950941107817,0.9483541871418052,0.38737805087385996,False,False,37
008,014,2.2280179373922953,62.525650650499315,152.55309254506773,4.614266589007116,8.368467898516087,0.6666666666666666,0.63671875,1626.9256023343187,2561.6433374330595,0.6351101180090936,0.45490234770170446,0.04455636527705727,7.456950664275496,0.9513845720551347,0.3862059231687871,False,True,38
003,025,2.790347193822988,17.501892436257222,226.60189645594548,5.348218734741522,5.402528124594028,0.8928571428571429,0.6931818181818182,2362.0021417507432,2695.948560713085,0.8761302704996671,78.15359538696453,0.869756042080944,10.265330120023691,0.9820481532436868,0.3745431908719483,False,True,39
002,053,4.80509697021259,80.77249114149878,271.39145444702007,3.5338580049008215,2.970891802323081,0.4642857142857143,0.34615384615384615,1128.9985442033956,2787.0047688985715,0.40509386880223297,0.0,0.0,2.197873777113159,0.9929677189753767,0.37047559051187934,False,False,40
012,013,3.221407246291491,29.82047895450615,161.52296277930546,7.117748371767448,6.0808666465643455,0.7692307692307693,0.7298387096774194,1872.0063428395893,2472.0161313560816,0.7572791775483507,0.24302792922810568,0.01738093065191563,9.656772456634258,0.9938930383561919,0.3701329408225075,False,True,41
010,032,4.538495043477739,95.66855023783633,174.3647610136696,1.951612243261934,1.1088236797444324,0.6551724137931034,0.6425992779783394,1771.9916095599403,2761.0138851866036,0.6417901840577597,0.0,0.0,0.14002197095737756,0.997821883129872,0.36868159886790414,False,False,42
002,033,5.186234567244884,36.16801908770417,184.17339078516866,19.872222458820147,18.114407922518126,0.7407407407407407,0.5365853658536586,1943.0064504157779,2587.003416753799,0.7510645087797697,0.0,0.0,6.128898102441212,1.012488307956958,0.3633138172149668,False,False,43
018,036,2.1871776718341143,95.93114624405794,85.58236595697383,1.3392852030711992,0.4176882961641013,0.7333333333333333,0.7508771929824561,2142.7397897974524,2845.969382021608,0.7529033177002689,0.0,0.0,4.92230402184714,1.0133156691850855,0.3630133497636597,False,False,44
012,036,3.2468342571054665,43.485323708758735,193.3019562716383,5.34116084865741,5.4101106937823715,0.7692307692307693,0.748,1872.0063428395893,2495.715538351271,0.7500880264889007,0.23383113874012906,0.016826382014950996,9.751718159620282,1.0316700829837255,0.3564112269200116,False,True,45
006,012,3.270873260350625,34.37110672871117,268.89922980292266,2.1780062731642147,3.186244675623925,0.7391304347826086,0.6875,1536.9862603673664,2222.0296224989693,0.6917037670446625,1.5608060120572418,0.13070847425297055,10.380317323500094,1.0491737756588633,0.3502269956721738,False,True,46
026,027,8.875498291866428,57.60416164483538,268.69107571472006,4.153175731864621,5.977198246876469,0.6551724137931034,0.5113636363636364,1784.9196552538056,2853.111357105472,0.6256046231103422,75.96693904877691,0.8896658089051439,3.514795228132698,1.0511623935274448,0.3495312200557251,False,False,47
004,005,0.6959529871979272,106.70351868687014,265.48323934439514,4.2318147524358665,2.654992175612392,0.6333333333333333,0.6143344709897611,1826.7008276577378,2912.0281763772978,0.627295038721171,4.1080757327112,0.5624089838441362,3.1963519181986157,1.0582690615325137,0.3470560233354712,False,False,48
012,018,5.4327454606152585,82.82039228136821,230.55117719183687,4.00187564558621,4.99242239761827,0.5862068965517241,0.5698924731182796,1592.9865033197652,2772.0134729876136,0.574667662636892,7.111709197784194,0.5955645041038565,4.829414137773142,1.059554837035571,0.3466100739593074,False,False,49
005,034,2.473176013752047,81.7197788653167,78.4411462692012,16.43177585200351,15.758296692050862,1.0,0.9595588235294118,2622.9813400859944,2710.0179797018127,0.9678833718935713,0.0,0.0,6.281732618188471,1.0671770193198096,0.3439781918786914,False,False,50
028,032,9.362450474815105,43.62411599198918,242.6284218207721,18.61981360723314,15.969710835619594,0.8333333333333334,0.825938566552901,2429.958434385402,2924.965188237578,0.8307649076157246,0.0,0.0,0.5524201167722822,1.0891868507487814,0.3364899990821135,False,False,51
025,027,5.063397028201452,35.2073056654746,192.68676111120084,1.2880538922684082,3.057667521640269,0.7307692307692307,0.6016597510373444,1788.0440177281678,2521.9251616799347,0.7089996344447805,78.92015899807063,0.8853713262142769,10.217761625044773,1.094966845380503,0.33455069866585246,False,False,52
006,034,1.5178982122099853,40.69111917741592,140.7479405574401,33.63493346881273,32.81039798016059,0.7142857142857143,0.7251908396946565,1887.0095400267464,2622.9813400859944,0.7194140161000463,0.0,0.0,0.5381109793358974,1.106401329266065,0.3307470717909352,False,False,53
009,012,6.33096137994168,87.89951829971685,87.55391948495256,1.2130139369312474,0.2617982032987811,0.42857142857142855,0.375,1034.9526116437496,2709.002926724901,0.38204189498420904,8.160301820030895,0.6833780701126997,3.7808215155264406,1.1470152114964696,0.3175832750249776,False,False,54
002,030,5.8674712760777625,57.76650050307695,128.47692151240366,21.46304431040255,19.79527638840898,0.5862068965517241,0.502092050209205,1709.00755348911,2787.989045916031,0.6129893358055116,0.0,0.0,5.375540422461427,1.1489143043571495,0.31698072722291426,False,False,55
008,029,1.5825111979459796,40.3236824275704,82.81445724028984,35.681137573347655,35.804112121214644,0.9259259259259259,0.8863636363636364,2334.6422637701835,2625.998608534685,0.8890493148710847,0.0,0.0,2.559164918248257,1.156971062299644,0.31443715048120285,False,False,56
007,036,0.05897282559309184,120.84566337878658,84.80432868249106,3.5125457448764337,0.07525184614030422,0.5517241379310345,0.5531914893617021,1555.7440702450194,2814.991054546864,0.552663948161445,0.0,0.0,0.7073552601075335,1.1593328567248045,0.3136953908588026,False,False,57
032,052,4.665194337593403,72.01490677332015,141.03844562917072,26.557859448923637,25.774976836843962,0.5666666666666667,0.5540540540540541,1631.0030748428294,2954.977637746946,0.551951071983883,0.0,0.0,1.1656390848016827,1.173476462649662,0.30928983553022105,False,False,58
035,054,1.5418812896662886,91.43976577067151,134.90076811713024,2.436592697517085,4.180575849749516,0.5333333333333333,0.524822695035461,1494.9926614815354,2957.021500341137,0.5055738219384152,40.747506789173485,0.7984712149116742,7.999335950144541,1.1744497396155635,0.30898895730018844,False,False,59
