roi_id,height_mm,u,valid_fraction,formal_column_valid,sigma_pixel_px,sensitivity_px_per_mm,sigma_z_pred_mm,repeatability_valid
h010,10.0,1921,1.0,true,0.019799705597753584,1.53049001831871,0.012936840724713882,true
h010,10.0,1922,1.0,true,0.01950522371754201,1.5319738454647733,0.012732086631429714,true
h010,10.0,1923,1.0,true,0.018377720621427986,1.5334559073173182,0.011984511933948344,true
h010,10.0,1924,1.0,true,0.014308979962201419,1.5334600725830285,0.009331172175939824,true
h010,10.0,1925,1.0,true,0.023679237727648312,1.5397902195362576,0.01537822323275949,true
h010,10.0,1926,1.0,true,0.026272750937150702,1.55574943204075,0.016887520828265702,true
h010,10.0,1927,1.0,true,0.0314655223600937,1.5628237162638186,0.020133763029471483,true
h010,10.0,1928,1.0,true,0.03293582924387152,1.5611038263238755,0.021097782664097106,true
h010,10.0,1929,1.0,true,0.03204454678015036,1.5565675143668898,0.020586673230928883,true
h010,10.0,1930,1.0,true,0.027720076555405367,1.5526896910363746,0.01785294042681705,true
h010,10.0,1931,1.0,true,0.02931175304273798,1.5498954254526893,0.01891208436477363,true
h010,10.0,1932,1.0,true,0.07670457395833864,1.535658819483956,0.04994896847212098,true
h010,10.0,1933,1.0,true,0.02651986825816326,1.5226859063568554,0.017416506022318225,true
h010,10.0,1934,1.0,true,0.01411348509880536,1.9378091028112465,0.007283217463645124,true
h010,10.0,1935,1.0,true,0.03223771116417436,1.9922858450598937,0.016181267986273926,true
h010,10.0,1936,1.0,true,0.022175349769797997,1.9683872674836096,0.011265745382587752,true
h010,10.0,1937,1.0,true,0.01102314937027868,1.8779008076299704,0.005869931641485682,true
h030,30.0,1977,1.0,true,0.022296196579770455,1.5812467824229544,0.014100390165288338,true
h030,30.0,1978,1.0,true,0.02621051435884722,1.5834695065923825,0.01655258547747604,true
h030,30.0,1979,1.0,true,0.026077737052773744,1.585920162685134,0.016443284893119286,true
h030,30.0,1980,1.0,true,0.022322846503052596,1.5885053558084867,0.014052736065023304,true
h030,30.0,1981,1.0,true,0.015705397825401826,1.5896510237145625,0.009879777127877272,true
h030,30.0,1982,1.0,true,0.013333785331911466,1.5881950292167781,0.008395559164095264,true
h030,30.0,1983,1.0,true,0.014522883460827163,1.5865617627095712,0.009153683015796756,true
h030,30.0,1984,1.0,true,0.016816243019732013,1.5859756777133631,0.010603090107899655,true
h030,30.0,1985,1.0,true,0.02015975398061224,1.5863278637675422,0.012708440947845833,true
h030,30.0,1986,1.0,true,0.023591624914672586,1.5872629935215778,0.014863085078504272,true
h030,30.0,1987,1.0,true,0.020544941666764474,1.5881473784795352,0.012936420098765547,true
h030,30.0,1988,1.0,true,0.016346382172245304,1.5888755410437283,0.01028801926267139,true
h030,30.0,1989,1.0,true,0.02104751266599405,1.5895541541802705,0.013241142247744433,true
h030,30.0,1990,1.0,true,0.02888348645025861,1.5897212009526376,0.0181689005801459,true
h030,30.0,1991,1.0,true,0.028159958037479685,1.5884312255550033,0.017728156928947615,true
h030,30.0,1992,1.0,true,0.021650540194422457,1.586783553230627,0.013644293294030453,true
h030,30.0,1993,1.0,true,0.017401793429321185,1.5859902193708593,0.010972194668529696,true
h030,30.0,1994,1.0,true,0.020775559454479047,1.58603478801838,0.013099056597892407,true
h030,30.0,1995,1.0,true,0.0220135574077013,1.5862757123015474,0.01387751021905363,true
h030,30.0,1996,1.0,true,0.017011181207025727,1.5872503802705487,0.010717389908028343,true
h030,30.0,1997,1.0,true,0.014124643288309277,1.5894728509659557,0.008886369641183514,true
h030,30.0,1998,1.0,true,0.017130264756040393,1.5931625683483768,0.010752364571180735,true
h030,30.0,1999,1.0,true,0.010879462331306296,1.596157263435115,0.006816034096723298,true
h030,30.0,2000,1.0,true,0.013670473712031525,1.595257435659073,0.008569446790501017,true
h030,30.0,2001,1.0,true,0.017387112696642133,1.5940048434518739,0.01090781672845468,true
h030,30.0,2002,1.0,true,0.017550361314088877,1.5943559444816817,0.011007806239775663,true
h030,30.0,2003,1.0,true,0.01686481625953478,1.5949114136892717,0.010574139801610614,true
h030,30.0,2004,1.0,true,0.017911054824750833,1.593640730708635,0.011239079473568944,true
h030,30.0,2005,1.0,true,0.01835363731612832,1.5912509857125636,0.011534093289443931,true
h030,30.0,2006,1.0,true,0.017996835062644996,1.586996198034611,0.011340187887616163,true
h030,30.0,2007,1.0,true,0.018871347131741135,1.5847363888324517,0.0119081932267893,true
h030,30.0,2008,1.0,true,0.017862535720271973,1.585897803401726,0.011263358636323925,true
h030,30.0,2009,1.0,true,0.019263728892546725,1.5888645076919754,0.012124211220835754,true
h030,30.0,2010,1.0,true,0.016604359258154733,1.591280440387292,0.010434590180793965,true
h030,30.0,2011,1.0,true,0.017731847762510144,1.592295652936042,0.011136027238292275,true
h030,30.0,2012,1.0,true,0.017760264082335987,1.592388027339655,0.01115322633517122,true
h030,30.0,2013,1.0,true,0.016838058802554103,1.5912512585806875,0.010581646808922412,true
h030,30.0,2014,1.0,true,0.017019804383975372,1.589557803056374,0.010707257295865549,true
h030,30.0,2015,1.0,true,0.01748365185667641,1.5882720324018635,0.011007970612085114,true
h030,30.0,2016,1.0,true,0.016774631611918445,1.5888379230528378,0.010557799111244272,true
h030,30.0,2017,1.0,true,0.016378361408498042,1.5890636560305382,0.010306925934868457,true
h030,30.0,2018,1.0,true,0.016086878593335078,1.5869136723896589,0.010137210910225887,true
