s,delta_lambda_mm
-0.12366848257174801,-0.027296685257721321
-0.12346878220946103,-0.027609948550607995
-0.12326908184717406,-0.027920962571914027
-0.12306938148488708,-0.028229729876396468
-0.12286968112260011,-0.028536253018812314
-0.12266998076031313,-0.028840534553918655
-0.12247028039802615,-0.029142577036472505
-0.12227058003573918,-0.029442383021230905
-0.1220708796734522,-0.029739955062950876
-0.12187117931116523,-0.030035295716389483
-0.12167147894887825,-0.030328407536303746
-0.12147177858659128,-0.030619293077450711
-0.1212720782243043,-0.030907954894587412
-0.12107237786201733,-0.031194395542470863
-0.12087267749973035,-0.031478617575858139
-0.12067297713744338,-0.031760623549506262
-0.1204732767751564,-0.032040416018172285
-0.12027357641286944,-0.032317997536613199
-0.12007387605058246,-0.032593370659586091
-0.11987417568829549,-0.03286653794184799
-0.11967447532600851,-0.033137501938155914
-0.11947477496372154,-0.033406265203266922
-0.11927507460143456,-0.033672830291938023
-0.11907537423914759,-0.033937199758926291
-0.11887567387686061,-0.034199376158988729
-0.11867597351457364,-0.034459362046882408
-0.11847627315228666,-0.034717159977364333
-0.11827657278999969,-0.034972772505191554
-0.11807687242771271,-0.035226202185121125
-0.11787717206542574,-0.035477451571910068
-0.11767747170313876,-0.035726523220315401
-0.11747777134085179,-0.035973419685094196
-0.11727807097856482,-0.036218143521003457
-0.11707837061627785,-0.03646069728280027
-0.11687867025399087,-0.036701083525241637
-0.1166789698917039,-0.036939304803084591
-0.11647926952941692,-0.037175363671086203
-0.11627956916712995,-0.037409262684003464
-0.11607986880484297,-0.037641004396593437
-0.115880168442556,-0.037870591363613176
-0.11568046808026902,-0.038098026139819691
-0.11548076771798205,-0.038323311279970025
-0.11528106735569507,-0.038546449338821218
-0.1150813669934081,-0.03876744287113032
-0.11488166663112112,-0.038986294431654356
-0.11468196626883415,-0.039203006575150377
-0.11448226590654717,-0.03941758185637538
-0.1142825655442602,-0.039630022830086459
-0.11408286518197322,-0.039840332051040608
-0.11388316481968626,-0.04004851207399486
-0.11368346445739928,-0.040254565453706315
-0.11348376409511231,-0.040458494744931933
-0.11328406373282533,-0.040660302502428816
-0.11308436337053836,-0.040859991280953967
-0.11288466300825138,-0.04105756363526443
-0.11268496264596441,-0.041253022120117208
-0.11248526228367743,-0.041446369290269403
-0.11228556192139046,-0.041637607700478023
-0.11208586155910348,-0.041826739905500107
-0.11188616119681651,-0.042013768460092665
-0.11168646083452953,-0.042198695919012791
-0.11148676047224255,-0.042381524837017466
-0.11128706010995558,-0.042562257768863757
-0.1110873597476686,-0.0427408972693087
-0.11088765938538164,-0.042917445893109314
-0.11068795902309467,-0.043091906195022678
-0.11048825866080769,-0.04326428077199402
-0.11028855829852072,-0.043434573861036246
-0.11008885793623374,-0.043602791829668044
-0.10988915757394677,-0.043768941187793411
-0.10968945721165979,-0.043933028445316352
-0.10948975684937282,-0.044095060112140837
-0.10929005648708584,-0.044255042698170877
-0.10909035612479887,-0.044412982713310491
-0.10889065576251189,-0.044568886667463642
-0.10869095540022491,-0.044722761070534314
-0.10849125503793794,-0.04487461243242654
-0.10829155467565096,-0.04502444726304429
-0.10809185431336399,-0.045172272072291561
-0.10789215395107701,-0.045318093370072338
-0.10769245358879004,-0.045461917666290638
-0.10749275322650308,-0.045603751470850454
-0.1072930528642161,-0.045743601293655747
-0.10709335250192913,-0.045881473644610572
-0.10689365213964215,-0.046017375033618857
-0.10669395177735518,-0.046151311970584662
-0.1064942514150682,-0.046283290965411922
-0.10629455105278122,-0.046413318528004677
-0.10609485069049425,-0.046541401168266869
-0.10589515032820727,-0.046667545396102572
-0.1056954499659203,-0.046791757721415694
-0.10549574960363332,-0.04691404465411031
-0.10529604924134635,-0.047034412704090346
-0.10509634887905937,-0.047152868381259844
-0.1048966485167724,-0.047269418195522772
-0.10469694815448542,-0.047384068656783143
-0.10449724779219846,-0.047496826274944906
-0.10429754742991149,-0.047607697559912149
-0.10409784706762451,-0.047716689021588765
-0.10389814670533754,-0.047823807169878815
-0.10369844634305056,-0.047929058514686276
-0.10349874598076358,-0.048032449565915125
-0.10329904561847661,-0.048133986833469394
-0.10309934525618963,-0.048233676827253019
-0.10289964489390266,-0.04833152605717006
-0.10269994453161568,-0.048427541033124487
-0.10250024416932871,-0.04852172826502027
-0.10230054380704173,-0.04861409426276142
-0.10210084344475476,-0.04870464553625195
-0.10190114308246778,-0.048793388595395837
-0.10170144272018081,-0.048880329950097071
-0.10150174235789383,-0.04896547611025967
-0.10130204199560686,-0.049048833585787599
-0.10110234163331989,-0.049130408886584861
-0.10090264127103292,-0.049210208522555483
-0.10070294090874594,-0.049288239003603393
-0.10050324054645897,-0.049364506839632678
-0.10030354018417199,-0.04943901854054724
-0.10010383982188502,-0.049511780616251153
-0.099904139459598043,-0.049582799576648337
-0.099704439097311068,-0.049652081931642826
-0.099504738735024092,-0.049719634191138617
-0.099305038372737117,-0.049785462865039709
-0.099105338010450142,-0.049849574463250092
-0.098905637648163167,-0.049911975495673735
-0.098705937285876191,-0.049972672472214666
-0.098506236923589216,-0.050031671902776881
-0.098306536561302241,-0.050088980297264322
-0.098106836199015279,-0.050144604165581058
-0.097907135836728304,-0.05019855001763103
-0.097707435474441329,-0.050250824363318257
-0.097507735112154353,-0.050301433712546723
-0.097308034749867378,-0.050350384575220453
-0.097108334387580403,-0.050397683461243389
-0.096908634025293428,-0.050443336880519565
-0.096708933663006452,-0.050487351342952964
-0.096509233300719477,-0.050529733358447571
-0.096309532938432502,-0.050570489436907388
-0.096109832576145526,-0.050609626088236409
-0.095910132213858551,-0.050647149822338658
-0.095710431851571576,-0.050683067149118098
-0.0955107314892846,-0.0507173845784787
-0.095311031126997625,-0.05075010862032453
-0.09511133076471065,-0.05078124578455951
-0.094911630402423675,-0.050810802581087673
-0.094711930040136713,-0.05083878551981301
-0.094512229677849738,-0.050865201110639517
-0.094312529315562763,-0.050890055863471159
-0.094112828953275787,-0.050913356288211982
-0.093913128590988812,-0.050935108894765962
-0.093713428228701837,-0.05095532019303705
-0.093513727866414861,-0.050973996692929298
-0.093314027504127886,-0.050991144904346683
-0.093114327141840911,-0.051006771337193196
-0.092914626779553935,-0.051020882501372815
-0.09271492641726696,-0.05103348490678955
-0.092515226054979985,-0.051044585063347414
-0.09231552569269301,-0.051054189480950397
-0.092115825330406034,-0.051062304669502449
-0.091916124968119059,-0.051068937138907623
-0.091716424605832098,-0.051074093399069861
-0.091516724243545122,-0.051077779959893196
-0.091317023881258147,-0.051080003331281626
-0.091117323518971172,-0.051080770023139134
-0.090917623156684196,-0.051080086545369684
-0.090717922794397221,-0.051077959407877321
-0.090518222432110246,-0.051074395120566024
-0.09031852206982327,-0.051069400193339748
-0.090118821707536295,-0.051062981136102553
-0.08991912134524932,-0.051055144458758389
-0.089719420982962345,-0.051045896671211267
-0.089519720620675369,-0.051035244283365172
-0.089320020258388394,-0.051023193805124101
-0.089120319896101419,-0.051009751746392065
-0.088920619533814443,-0.050994924617073049
-0.088720919171527468,-0.050978718927071023
-0.088521218809240493,-0.050961141186290013
-0.088321518446953531,-0.050942197904634008
-0.088121818084666556,-0.050921895592007008
-0.087922117722379581,-0.050900240758312981
-0.087722417360092605,-0.050877239913455954
-0.08752271699780563,-0.050852899567339897
-0.087323016635518655,-0.050827226229868828
-0.08712331627323168,-0.050800226410946725
-0.086923615910944704,-0.050771906620477585
-0.086723915548657729,-0.050742273368365391
-0.086524215186370754,-0.050711333164514177
-0.086324514824083778,-0.050679092518827885
-0.086124814461796803,-0.050645557941210548
-0.085925114099509828,-0.050610735941566141
-0.085725413737222853,-0.050574633029798678
-0.085525713374935877,-0.050537255715812135
-0.085326013012648916,-0.050498610509510537
-0.085126312650361941,-0.050458703920797834
-0.084926612288074965,-0.050417542459578052
-0.08472691192578799,-0.050375132635755153
-0.084527211563501015,-0.05033148095923317
-0.084327511201214039,-0.050286593939916101
-0.084127810838927064,-0.050240478087707888
-0.083928110476640089,-0.050193139912512605
-0.083728410114353113,-0.050144585924234167
-0.083528709752066138,-0.050094822632776613
-0.083329009389779163,-0.050043856548043927
-0.083129309027492188,-0.049991694179940094
-0.082929608665205212,-0.049938342038369138
-0.082729908302918237,-0.049883806633235037
-0.082530207940631262,-0.049828094474441774
-0.082330507578344286,-0.049771212071893375
-0.082130807216057311,-0.049713165935493783
-0.08193110685377035,-0.049653962575147044
-0.081731406491483374,-0.049593608500757121
-0.081531706129196399,-0.049532110222228046
-0.081332005766909424,-0.049469474249463734
-0.081132305404622448,-0.04940570709236828
-0.080932605042335473,-0.049340815260845619
-0.080732904680048498,-0.04927480526479977
-0.080533204317761523,-0.049207683614134683
-0.080333503955474547,-0.049139456818754423
-0.080133803593187572,-0.049070131388562921
-0.079934103230900597,-0.048999713833464228
-0.079734402868613621,-0.048928210663362261
-0.079534702506326646,-0.048855628388161119
-0.079335002144039671,-0.048781973517764698
-0.079135301781752695,-0.048707252562077072
-0.078935601419465734,-0.048631472031002196
-0.078735901057178759,-0.048554638434444047
-0.078536200694891783,-0.048476758282306638
-0.078336500332604808,-0.048397838084493994
-0.078136799970317833,-0.048317884350910056
-0.077937099608030858,-0.048236903591458852
-0.077737399245743882,-0.048154902316044378
-0.077537698883456907,-0.048071887034570618
-0.077337998521169932,-0.047987864256941556
-0.077138298158882956,-0.047902840493061219
-0.076938597796595981,-0.047816822252833568
-0.076738897434309006,-0.047729816046162617
-0.07653919707202203,-0.047641828382952361
-0.076339496709735055,-0.04755286577310678
-0.07613979634744808,-0.04746293472652989
-0.075940095985161105,-0.047372041753125663
-0.075740395622874129,-0.047280193362798123
-0.075540695260587168,-0.047187396065451227
-0.075340994898300193,-0.047093656370989008
-0.075141294536013217,-0.046998980789315414
-0.074941594173726242,-0.046903375830334507
-0.074741893811439267,-0.046806848003950206
-0.074542193449152291,-0.046709403820066574
-0.074342493086865316,-0.046611049788587544
-0.074142792724578341,-0.046511792419417178
-0.073943092362291366,-0.046411638222459396
-0.07374339200000439,-0.046310593707618253
-0.073543691637717415,-0.046208665384797683
-0.07334399127543044,-0.046105859763901774
-0.073144290913143464,-0.046002183354834428
-0.072944590550856489,-0.045897642667499704
-0.072744890188569514,-0.045792244211801544
-0.072545189826282552,-0.045685994497643989
-0.072345489463995577,-0.045578900034931001
-0.072145789101708602,-0.045470967333566599
-0.071946088739421626,-0.045362202903454746
-0.071746388377134651,-0.04525261325449946
-0.071546688014847676,-0.045142204896604754
-0.071346987652560701,-0.045030984339674597
-0.071147287290273725,-0.044918958093612973
-0.07094758692798675,-0.044806132668323902
-0.070747886565699775,-0.044692514573711352
-0.070548186203412799,-0.044578110319679343
-0.070348485841125824,-0.044462926416131865
-0.070148785478838849,-0.044346969372972916
-0.069949085116551873,-0.044230245700106467
-0.069749384754264898,-0.044112761907436529
-0.069549684391977923,-0.043994524504867107
-0.069349984029690948,-0.043875540002302177
-0.069150283667403986,-0.043755814909645752
-0.068950583305117011,-0.043635355736801808
-0.068750882942830036,-0.043514168993674343
-0.06855118258054306,-0.043392261190167376
-0.068351482218256085,-0.043269638836184871
-0.06815178185596911,-0.043146308441630837
-0.067952081493682134,-0.043022276516409261
-0.067752381131395159,-0.042897549570424146
-0.067552680769108184,-0.042772134113579482
-0.067352980406821222,-0.042646036655779269
-0.067153280044534247,-0.042519263706927504
-0.066953579682247272,-0.042391821776928178
-0.066753879319960296,-0.042263717375685274
-0.066554178957673321,-0.04213495701310279
-0.066354478595386346,-0.042005547199084739
-0.066154778233099371,-0.041875494443535097
-0.065955077870812395,-0.041744805256357868
-0.06575537750852542,-0.041613486147457052
-0.065555677146238445,-0.041481543626736617
-0.065355976783951469,-0.041348984204100596
-0.065156276421664494,-0.041215814389452952
-0.064956576059377519,-0.041082040692697691
-0.064756875697090543,-0.040947669623738817
-0.064557175334803568,-0.040812707692480313
-0.064357474972516593,-0.040677161408826185
-0.064157774610229618,-0.040541037282680409
-0.063958074247942642,-0.04040434182394699
-0.063758373885655667,-0.040267081542529934
-0.063558673523368692,-0.040129262948333223
-0.063358973161081716,-0.039990892551260857
-0.063159272798794741,-0.039851976861216803
-0.062959572436507766,-0.039712522388105118
-0.062759872074220791,-0.039572535641829734
-0.062560171711933815,-0.039432023132294679
-0.06236047134964684,-0.039290991369403935
-0.062160770987359865,-0.039149446863061516
-0.061961070625072889,-0.039007396123171383
-0.061761370262785914,-0.038864845659637562
-0.061561669900498939,-0.038721801982364024
-0.061361969538211963,-0.038578271601254786
-0.061162269175925016,-0.038434261026213841
-0.060962568813638041,-0.038289776767145171
-0.060762868451351065,-0.038144825333952768
-0.06056316808906409,-0.03799941323654063
-0.060363467726777115,-0.037853546984812761
-0.060163767364490139,-0.037707233088673138
-0.059964067002203164,-0.037560478058025773
-0.059764366639916189,-0.03741328840277465
-0.059564666277629214,-0.03726567063282378
-0.059364965915342238,-0.037117631258077141
