scope,outcome,predictor,predictor_category,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,theil_sen_slope
leave027_out,a_frame_mm,pnp_rmse_px,pnp,29,-0.11813544724232894,0.5416376445763893,-0.030541871921182254,0.8750283652137651,-0.16448900487694434,-0.09078604421180761
leave027_out,a_frame_mm,u_center_px,coverage,29,-0.11733640892039651,0.5443943577929208,-0.16551724137931031,0.3908532089207225,-6.023157949905326e-05,-8.698756280490155e-05
leave027_out,a_frame_mm,u_span_px,coverage,29,0.13141184763848804,0.49681996175795745,0.10295566502463052,0.5950993435567846,6.146684274568802e-05,6.84764908884714e-05
leave027_out,a_frame_mm,v_center_px,coverage,29,-0.030343093352330673,0.8758354846838258,-0.056157635467980284,0.7723182351903191,-4.001440662919159e-06,-6.967039409714915e-06
leave027_out,a_frame_mm,v_span_px,coverage,29,-0.22003620998567847,0.25140874920065354,-0.16206896551724134,0.40093576507361994,-2.5029127220983843e-05,-2.1313203824422073e-05
leave027_out,a_frame_mm,lambda_span_mm,coverage,29,0.08383252323315611,0.6654824779796397,0.003940886699507388,0.9838129591637323,0.000132073630037557,-7.820114419143342e-05
leave027_out,a_frame_mm,chess_to_laser_s,acquisition_timing,29,-0.23095641307853879,0.2280451763468542,-0.3837438423645319,0.03987367538923074,-0.0006233415778349817,-0.0013567732121667934
leave027_out,a_frame_mm,nolaser_to_laser_s,acquisition_timing,29,-0.2353874949957012,0.21899546419188295,-0.33694581280788166,0.07387693832645649,-0.0006635494458860072,-0.0012672097844441956
leave027_out,a_frame_mm,chess_focus_laplacian,image_quality,29,-0.3151778350514789,0.09583700214726806,-0.3778325123152709,0.04330071555063561,-0.0007759659607683481,-0.0011727034886411373
leave027_out,a_frame_mm,chess_mean_dn,image_quality,29,-0.3129333912200528,0.09835466368994034,-0.23349753694581274,0.22282514719284785,-0.0009928923851661334,-0.0009194653940622528
leave027_out,a_frame_mm,laser_mean_dn,image_quality,29,-0.23870698170100882,0.21237751134238256,-0.16059113300492608,0.40530153423881365,-0.6095304601642797,-0.5069733829496046
leave027_out,a_frame_mm,laser_p99_dn,image_quality,29,nan,nan,nan,nan,nan,nan
leave027_out,a_frame_mm,laser_dynamic_range_u8,image_quality,29,-0.008898981166447311,0.9634574696023975,-0.02146431839824613,0.9119994172815955,-0.00017359039008069582,-0.0008110420455050513
leave027_out,a_frame_mm,laser_coverage,image_quality,29,-0.1386989901990806,0.47303996857203773,-0.04164100321368,0.8301785649835007,-0.06104693308588489,-0.02543852454883328
leave027_out,a_frame_mm,quality_warning_count,image_quality,29,-0.22806363886857087,0.23408682683018123,-0.26231601431142243,0.16922727226068765,-0.020824765453727093,-0.023101386530854605
leave027_out,a_frame_mm,acquisition_order,acquisition_order,29,-0.5893737443984675,0.0007676069580185616,-0.569950738916256,0.001248090763436903,-0.002475598200742393,-0.0024928840211573215
leave027_out,k_frame_mm_per_s,board_center_z_mm,pose_depth,29,0.2630609465389667,0.16797540281344314,0.14137931034482754,0.4644445491960384,0.0006855021486935516,0.0003480834774321379
leave027_out,k_frame_mm_per_s,board_tilt_deg,pose_orientation,29,-0.03977417143435708,0.8376896367542029,0.04778325123152708,0.8055721179910066,-0.0002758955606730235,0.00047140253251333675
leave027_out,k_frame_mm_per_s,board_roll_deg,pose_orientation,29,-0.6336826135210485,0.00022391413781072217,-0.6586206896551723,0.00010257932130572951,-0.0032427643490822917,-0.0030918216877444697
leave027_out,k_frame_mm_per_s,board_pitch_deg,pose_orientation,29,-0.04029774142479862,0.8355816506236964,-0.13152709359605907,0.4964392674121728,-0.0002729201117530428,-0.0009728342361132352
leave027_out,k_frame_mm_per_s,board_nx,pose_orientation,29,-0.04170636929943193,0.829915829985096,-0.13152709359605907,0.4964392674121728,-0.016454831728792158,-0.05701160114591412
leave027_out,k_frame_mm_per_s,board_ny,pose_orientation,29,0.6319776016729796,0.0002356080895991292,0.6586206896551723,0.00010257932130572951,0.18905937448280166,0.18187061414598943
leave027_out,k_frame_mm_per_s,board_nz,pose_orientation,29,-0.1001101362639657,0.6053678534813725,0.04778325123152708,0.8055721179910066,-0.19322030491321562,0.12738055932761416
leave027_out,k_frame_mm_per_s,pnp_rmse_px,pnp,29,0.07681038989140393,0.6920845087034782,0.13004926108374382,0.5013321216708114,0.14824037993065034,0.25220366467942923
leave027_out,k_frame_mm_per_s,u_center_px,coverage,29,0.22931705962872317,0.23145602062409276,0.13842364532019702,0.4739276119724565,0.00016316151548393136,9.41206713833517e-05
leave027_out,k_frame_mm_per_s,u_span_px,coverage,29,-0.07267758395218346,0.7079125295932052,-0.06995073891625614,0.7184219787053097,-4.711907676326054e-05,-5.201692153214828e-05
leave027_out,k_frame_mm_per_s,v_center_px,coverage,29,0.2414645933674851,0.2069843933224767,0.28866995073891616,0.1288388121851059,4.413670339303726e-05,4.281609531203369e-05
