scope,u_start_px,u_end_px,v_start_px,v_end_px,lambda_start_mm,lambda_end_mm,point_count,unique_frame_count,frame_ids,frame_median_residual_mean_mm,frame_median_residual_std_mm,frame_median_residual_range_mm,between_frame_variance_mm2,within_frame_variance_mm2,between_fraction,contains_frame027,frame_median_residuals
all30,2080,2112,2580,2610,710.0,715.0,11,2,013;036,-0.0134219434454792,0.018527451386118818,0.02620177302645743,0.0006329772980680272,0.0010671950266648454,0.37230184779503406,False,013:-0.000321056932;036:-0.02652283
all30,2080,2112,2610,2640,710.0,715.0,9,2,013;036,-0.04830143135097842,0.023153290789759293,0.03274369784844566,0.00018152917949211333,0.0016888610154042198,0.0970541761753486,False,013:-0.0319295824;036:-0.0646732803
all30,2080,2112,2640,2670,710.0,715.0,10,2,013;036,-0.04689926053333693,0.025834905709196564,0.03653607403657588,0.00026467205660848963,0.000194693742040767,0.5761683986634296,False,013:-0.0286312235;036:-0.0651672976
all30,2112,2144,540,570,710.0,715.0,25,2,008;014,-0.02300810013147725,0.03805398962339338,0.053816468227807945,2.627070272446844e-06,0.011485751613802636,0.0002286719775426994,False,008:-0.0499163342;014:0.00390013398
all30,2112,2144,570,600,710.0,715.0,31,3,008;013;014,-0.0582944665998942,0.027821016578052887,0.055577804549216125,0.00042704552461899503,0.0005342298457487436,0.4442488986851162,False,008:-0.0567513642;013:-0.0868549201;014:-0.0312771155
all30,2112,2144,600,630,710.0,715.0,47,3,008;013;014,-0.0270864685912026,0.02871291970074435,0.05172861583650956,0.0005249823281107472,0.0005586257433386606,0.48447620679730047,False,008:-0.0457519494;013:-0.0414841227;014:0.0059766664
all30,2112,2144,630,660,710.0,715.0,39,4,008;013;014;036,-0.08893843454666239,0.0455444635799695,0.09819453357840757,0.003184076716554998,0.0019414077100745636,0.6212245422134268,False,008:-0.0584230556;013:-0.0671421218;014:-0.0735709717;036:-0.156617589
all30,2112,2144,660,690,710.0,715.0,52,4,008;013;014;036,-0.07933573592529797,0.062119602101942555,0.14110934222981086,0.0024305939132085322,0.0010582951183097068,0.696667016706698,False,008:-0.0280138618;013:-0.0684996571;014:-0.0517062208;036:-0.169123204
all30,2112,2144,690,720,710.0,715.0,63,4,008;013;014;036,-0.08360350255220794,0.036395492702641405,0.07792024254092667,0.0007692749853129482,0.0006387717418062337,0.546341943414662,False,008:-0.0621860701;013:-0.0591593475;014:-0.0759890026;036:-0.13707959
all30,2112,2144,720,750,710.0,715.0,58,4,008;013;014;036,-0.10141003160130424,0.06343558302578599,0.1350829361653041,0.002889886372512529,0.000806445589642003,0.7818254426553347,False,008:-0.0608622368;013:-0.078532556;014:-0.0703001606;036:-0.195945173
all30,2112,2144,750,780,710.0,715.0,60,4,008;013;014;036,-0.10825530944502759,0.045084734631221014,0.09402874592160515,0.0011889614889958656,0.0010415567268562368,0.5330427165068717,False,008:-0.0859683715;013:-0.0816758155;014:-0.0896724894;036:-0.175704561
all30,2112,2144,780,810,710.0,715.0,59,4,008;013;014;036,-0.09882730886742763,0.030964501270310175,0.06566684133326817,0.0004783187816274462,0.0013974597014458647,0.25499747755063257,False,008:-0.0597453207;013:-0.125412162;014:-0.0882807043;036:-0.121871048
all30,2112,2144,810,840,710.0,715.0,60,4,008;013;014;036,-0.09940513611878998,0.041821891863915384,0.08860487843043074,0.001457789365217206,0.0008416741374773892,0.6339693426353215,False,008:-0.073280645;013:-0.0810714743;014:-0.0813829018;036:-0.161885523
all30,2112,2144,840,870,710.0,715.0,69,4,008;013;014;036,-0.10435143577559813,0.04460051847808642,0.09790788922271076,0.0013991129346466412,0.0006648357624614773,0.6778816433795057,False,008:-0.0847892874;013:-0.0898260993;014:-0.0724412336;036:-0.170349123
all30,2112,2144,870,900,710.0,715.0,63,4,008;013;014;036,-0.0750475927083869,0.03922783170211126,0.08873010321542552,0.0011000739789123288,0.0011671622093477937,0.4852048430633625,False,008:-0.0595741744;013:-0.0646980421;014:-0.0435940255;036:-0.132324129
all30,2112,2144,900,930,710.0,715.0,61,4,008;013;014;036,-0.08294839689914113,0.025809135840901873,0.056555824391239184,0.0005060905942437751,0.0008042975779777186,0.3862142569447972,False,008:-0.0608955074;013:-0.0656768767;014:-0.0877698718;036:-0.117451332
all30,2112,2144,930,960,710.0,715.0,43,4,008;013;014;036,-0.05314952508608428,0.04110269700839417,0.09539529773888944,0.000807825840446572,0.0016083510444150548,0.3343405218003465,False,008:-0.0529682205;013:-0.0916149607;014:0.00378033709;036:-0.0717952563
all30,2112,2144,960,990,710.0,715.0,44,3,013;014;036,-0.05072089270540422,0.03490041074822862,0.06061845955429135,0.0006071898487957051,0.0005842842721395701,0.5096122845866575,False,013:-0.0304014788;014:-0.0307412611;036:-0.0910199383
all30,2112,2144,990,1020,710.0,715.0,43,3,013;014;036,-0.03279641954532053,0.030678132785901643,0.05962705381489286,0.0007834254619413479,0.0011223849121608847,0.41107209436321546,False,013:-0.0244456555;014:-0.00715827464;036:-0.0667853285
all30,2112,2144,1020,1050,710.0,715.0,48,3,013;014;036,-0.0047933986522063305,0.03857236344103998,0.07105140786688935,0.0009030184165879045,0.0005876663980849531,0.6057742104162234,False,013:0.0125560137;014:0.0220575991;036:-0.0489938088
all30,2112,2144,1050,1080,710.0,715.0,39,3,013;014;036,0.010622990053737643,0.03165131781418932,0.06164651858068737,0.0003668562463815164,0.0009184304103749212,0.28542756936987,False,013:0.00231776229;014:0.0455988632;036:-0.0160476554
all30,2112,2144,1080,1110,710.0,715.0,48,3,013;014;036,-0.010407458078683854,0.026095597382188324,0.0466576578565423,0.0006174414220408009,0.0004440244267492828,0.5816875057681734,False,013:0.00616992795;014:0.00309542772;036:-0.0404877299
all30,2112,2144,1110,1140,710.0,715.0,49,3,013;014;036,0.021328170442207767,0.006432735576315525,0.0118861802782817,4.779395418718309e-05,0.0003756304766794922,0.11287481473224698,False,013:0.0184856911;014:0.0286925003;036:0.01680632
all30,2112,2144,1140,1170,710.0,715.0,48,3,013;014;036,0.04105276544424896,0.03702413573103327,0.07157606260449256,0.0011849955620309128,0.000436564393290725,0.7307750528384674,False,013:0.0713634664;014:0.0520074261;036:-0.000212596173
all30,2112,2144,1170,1200,710.0,715.0,52,3,013;014;036,0.06573073437078847,0.027438117489235418,0.05091010376742133,0.0009996988151947698,0.0006664250741890329,0.6000146937239447,False,013:0.0852727886;014:0.0775567297;036:0.0343626848
