record_type,apex_projection_t,alpha_displacement_t,status,optimizer_cost,relative_cost_to_t0,valid_grid_count,invalid_grid_count,apex_direction_x,apex_direction_y,apex_direction_z,alpha_delta_rad,apex_delta_mm,top_formal_edge_delta_lambda_p95_mm,top_formal_edge_delta_lambda_max_mm,middle_formal_delta_lambda_p95_mm,middle_formal_delta_lambda_max_mm,bottom_formal_edge_delta_lambda_p95_mm,bottom_formal_edge_delta_lambda_max_mm
apex_alpha_profile,-2.666666666666667,0.0,2,1.4111788083415862,1.0182065152653077,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.0,26.666666666666675,0.045843812830548815,0.0460175202551909,0.03592139018161333,0.04503174982107794,0.048454714357944795,0.04938418890776575
apex_alpha_profile,-2.666666666666667,1.333333333333333,2,1.4269192998361409,1.029563737254822,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.002327105669325772,26.666666666666675,0.05054620807206902,0.05309618115018111,0.03489381937762914,0.0525386159157506,0.05445724621148997,0.05729068935443138
apex_alpha_profile,-2.666666666666667,2.666666666666666,2,1.7066785603429195,1.231418172759395,3117,1024,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.004654211338651544,26.666666666666675,0.1442733992408648,0.14977049915341922,0.10478370381661078,0.15062988985698667,0.1599080319339066,0.1668138111144799
apex_alpha_profile,-2.666666666666667,4.0,2,2.2500931472151784,1.6235075873487381,3113,1028,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.006981317007977318,26.666666666666675,0.23652386241931253,0.24503432900712596,0.17495481392380155,0.2528229134039748,0.2686408855135028,0.27959091696618543
apex_alpha_profile,-1.3333333333333335,-4.0,2,2.63187719433715,1.8989758709610673,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.006981317007977318,13.333333333333337,0.3432326344889361,0.3651134074551692,0.23213535737120286,0.4602422761837488,0.44894110031691525,0.479412314811384
apex_alpha_profile,-1.3333333333333335,-2.666666666666667,2,1.9816848040445678,1.4298431685292279,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.004654211338651546,13.333333333333337,0.20974335365217484,0.21491770338241167,0.15460980414595724,0.21541819504659543,0.22667716042974462,0.23495967197197842
apex_alpha_profile,-1.3333333333333335,-1.3333333333333335,2,1.560822139306477,1.1261785267877291,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,-0.002327105669325773,13.333333333333337,0.11680449926343499,0.1200397807281206,0.08580440793969046,0.11610273296230389,0.12269191009818314,0.12700525764864778
apex_alpha_profile,-1.3333333333333335,0.0,2,1.3897891297102754,1.002773240606495,3120,1021,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.0,13.333333333333337,0.022163668542089,0.022257737438394543,0.017456105514838782,0.021964716584307098,0.023603205028962293,0.024079797427702943
apex_alpha_profile,-1.3333333333333335,1.333333333333333,2,1.467469337068696,1.0588217673927325,3119,1022,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.002327105669325772,13.333333333333337,0.07062620338597297,0.07334460167021462,0.050806199060616564,0.07345573848431286,0.07680949230311852,0.08018626877151291
apex_alpha_profile,-1.3333333333333335,2.666666666666666,2,1.7928809547492384,1.2936157051324417,3116,1025,-0.29649846817516473,0.050307461090102874,-0.9537074067702571,0.004654211338651544,13.333333333333337,0.16129921867786834,0.16687427830618162,0.11874462795715318,0.1691797587269548,0.1799074000837038,0.18723320282890654
