model,direction,parameter,unit,step,v_px,region,valid_count,invalid_count,median_dlambda_dtheta,p05_dlambda_dtheta,p95_dlambda_dtheta,rmse_dlambda_dtheta
M0,single_parameter,A_z,mm,0.01,988.9917478215993,middle_formal,31,10,0.9572111223803859,0.9070654270772138,1.0132235262631184,0.9591408647084103
M0,single_parameter,A_z,mm,0.01,1013.891549632431,middle_formal,31,10,0.957358105114281,0.9072031695524174,1.0133819078674833,0.9592884717217749
M0,single_parameter,A_z,mm,0.01,1038.7913514432626,middle_formal,31,10,0.9575029707775684,0.9073387517474885,1.0135382058194864,0.9594339616828125
M0,single_parameter,A_z,mm,0.01,1063.6911532540942,middle_formal,31,10,0.9576457086666323,0.9074721611682435,1.0136924105864864,0.9595773242110669
M0,single_parameter,A_z,mm,0.01,1088.5909550649258,middle_formal,31,10,0.9577863094648364,0.9076033864118926,1.013844514912421,0.9597185495302858
M0,single_parameter,A_z,mm,0.01,1113.4907568757574,middle_formal,31,10,0.9579247632757415,0.9077324162291234,1.0139945106487858,0.9598576282910761
M0,single_parameter,A_z,mm,0.01,1138.390558686589,middle_formal,31,10,0.9580610612886176,0.9078592399049512,1.014142390761208,0.9599945517369175
M0,single_parameter,A_z,mm,0.01,1163.2903604974206,middle_formal,31,10,0.9581951958523405,0.9079838478186275,1.014288148292053,0.9601293115157605
M0,single_parameter,A_z,mm,0.01,1188.1901623082522,middle_formal,31,10,0.958327158201655,0.9081062306250942,1.0144317765991673,0.9602618997172797
M0,single_parameter,A_z,mm,0.01,1213.0899641190838,middle_formal,31,10,0.958456941532404,0.9082263789764511,1.0145732699754717,0.9603923090599618
M0,single_parameter,A_z,mm,0.01,1237.9897659299154,middle_formal,31,10,0.9585845387903191,0.9083442853977886,1.014712622463776,0.9605205327262207
M0,single_parameter,A_z,mm,0.01,1262.889567740747,middle_formal,31,10,0.9587099438817859,0.9084599420390305,1.0148498289908048,0.9606465643798627
M0,single_parameter,A_z,mm,0.01,1287.7893695515786,middle_formal,31,10,0.9588331506961367,0.9085733418686459,1.0149848848101328,0.9607703981971396
M0,single_parameter,A_z,mm,0.01,1312.6891713624102,middle_formal,31,10,0.9589541541629387,0.9086844788072312,1.0151177854027083,0.9608920289679688
M0,single_parameter,A_z,mm,0.01,1337.5889731732418,middle_formal,31,10,0.9590729494163952,0.9087933471562337,1.0152485268179134,0.9610114518229536
M0,single_parameter,A_z,mm,0.01,1362.4887749840734,middle_formal,31,10,0.9591895320625099,0.908899941572372,1.0153771058156735,0.9611286625861909
M0,single_parameter,A_z,mm,0.01,1387.388576794905,middle_formal,31,10,0.9593038988441549,0.9090042579629198,1.0155035192241257,0.9612436575565922
M0,single_parameter,A_z,mm,0.01,1412.2883786057366,middle_formal,31,10,0.9594160460778767,0.9091062924909465,1.0156277643204703,0.9613564335712381
M0,single_parameter,A_z,mm,0.01,1437.1881804165682,middle_formal,31,10,0.959525971381936,0.9092060418367964,1.0157498387343367,0.9614669879067581
M0,single_parameter,A_z,mm,0.01,1462.0879822273998,middle_formal,31,10,0.9596336725621768,0.9093035034766217,1.0158697409138995,0.9615753184921471
M0,single_parameter,A_z,mm,0.01,1486.9877840382314,middle_formal,30,11,0.9577794193575073,0.9092219899852694,1.0118146649656978,0.9595827198210293
M0,single_parameter,A_z,mm,0.01,1511.887585849063,middle_formal,30,11,0.9578822534649589,0.9093148364195258,1.0119292806106728,0.9596861377863378
M0,single_parameter,A_z,mm,0.01,1536.7873876598946,middle_formal,30,11,0.9579828580825733,0.9094053911098854,1.0120417176446495,0.9597873265593269
M0,single_parameter,A_z,mm,0.01,1561.6871894707263,middle_formal,30,11,0.9580812334519351,0.9094936545017163,1.0121519765033327,0.9598862862984633
M0,single_parameter,A_z,mm,0.01,1586.586991281558,middle_formal,30,11,0.958177379919789,0.909579626877246,1.0122600574570129,0.9599830175192602
M0,single_parameter,A_z,mm,0.01,1611.4867930923897,middle_formal,31,10,0.9563094750660639,0.9063165336812062,1.0121470945762212,0.9582310309888026
M0,single_parameter,A_z,mm,0.01,1636.3865949032213,middle_formal,31,10,0.9564007424160081,0.9063972378157814,1.0122507729050767,0.9583229197749872
M0,single_parameter,A_z,mm,0.01,1661.286396714053,middle_formal,31,10,0.9564897836696673,0.9064756521524941,1.0123522768139992,0.9584125827879612
M0,single_parameter,A_z,mm,0.01,1686.1861985248845,middle_formal,31,10,0.9565766011462529,0.9065517801332135,1.0124516087330448,0.9585000227298557
M0,single_parameter,A_z,mm,0.01,1711.086000335716,middle_formal,31,10,0.9566611990067031,0.9066256254044447,1.0125487714162773,0.9585852428576725
M0,single_parameter,A_z,mm,0.01,1735.9858021465477,middle_formal,31,10,0.9567435801955071,0.9066971925392409,1.0126437678053435,0.9586682469514347
M0,single_parameter,A_z,mm,0.01,1760.8856039573793,middle_formal,31,10,0.9568237494079312,0.9067664873185777,1.0127366010408423,0.9587490392755794
M0,single_parameter,A_z,mm,0.01,1785.785405768211,middle_formal,31,10,0.9569017112767142,0.9068335149237328,1.012827275468453,0.9588276246631096
M0,single_parameter,A_z,mm,0.01,1810.6852075790425,middle_formal,31,10,0.9569774713781953,0.9068982820423344,1.0129157951695333,0.9589040084804492
M0,single_parameter,A_z,mm,0.01,1835.5850093898741,middle_formal,31,10,0.9570510351409212,0.9069607956035952,1.0130021650894605,0.9589781964671978
M0,single_parameter,A_z,mm,0.01,1860.4848112007057,middle_formal,31,10,0.9571224097214781,0.9070210636224374,1.0130863901991916,0.9590501951259552
M0,single_parameter,A_z,mm,0.01,1885.3846130115373,middle_formal,31,10,0.9571916011168469,0.9070790936931417,1.013168476143278,0.9591200111231951
M0,single_parameter,A_z,mm,0.01,1910.284414822369,middle_formal,31,10,0.9572586169213082,0.9071348954449832,1.0132484289016475,0.959187651921103
M0,single_parameter,A_z,mm,0.01,1935.1842166332005,middle_formal,31,10,0.957323465496529,0.9071884778393269,1.013326254826552,0.9592531253994655
M0,single_parameter,A_z,mm,0.01,1960.0840184440322,middle_formal,31,10,0.957386154618689,0.9072398511278834,1.0134019606169886,0.9593164398212427
M0,single_parameter,A_z,mm,0.01,1984.9838202548638,middle_formal,31,10,0.9574466933258918,0.9072890258124744,1.0134755537563933,0.959377604018844
M0,single_parameter,A_z,mm,0.01,2009.8836220656954,middle_formal,31,10,0.9575050907358218,0.9073360132418884,1.0135470414894598,0.9594366272517106
M0,single_parameter,A_z,mm,0.01,2034.783423876527,middle_formal,31,10,0.9575613567506025,0.9073808250349202,1.013616431907849,0.9594935192332766
M0,single_parameter,A_z,mm,0.01,2059.6832256873586,middle_formal,31,10,0.9576155019374255,0.9074234733162712,1.0136837333817539,0.9595482902899223
M0,single_parameter,A_z,mm,0.01,2084.5830274981904,middle_formal,31,10,0.9576675362438891,0.9074639709240273,1.0137489542671574,0.9596009509782587
M0,single_parameter,A_z,mm,0.01,2109.4828293090222,middle_formal,31,10,0.9577174714536341,0.9075023316370334,1.013812103983014,0.9596515124077273
M0,single_parameter,A_z,mm,0.01,2134.3826311198536,middle_formal,31,10,0.9577653186397583,0.907538568964128,1.0138731918544863,0.9596999861489406
M0,single_parameter,A_z,mm,0.01,2159.2824329306854,middle_formal,31,10,0.9578110902339176,0.9075726972412212,1.0139322275222185,0.9597463841171773
M0,single_parameter,A_z,mm,0.01,2184.182234741517,middle_formal,31,10,0.957854798025437,0.9076047314209745,1.0139892213345547,0.9597907187149718
M0,single_parameter,A_z,mm,0.01,2209.0820365523487,middle_formal,31,10,0.9578964560034819,0.9076346869250074,1.014044183682472,0.9598330027870686
M0,single_parameter,A_z,mm,0.01,2233.98183836318,middle_formal,31,10,0.957936075917587,0.9076625794421034,1.0140971247636799,0.9598732494042487
M0,single_parameter,A_z,mm,0.01,2258.881640174012,middle_formal,31,10,0.9579736725129351,0.9076884253374828,1.0141480564868743,0.9599114722629014
M0,single_parameter,A_z,mm,0.01,2283.7814419848432,middle_formal,31,10,0.9580092593807876,0.9077122414055339,1.0141969901127368,0.9599476853323793
M0,single_parameter,A_z,mm,0.01,2308.6812437956746,middle_formal,31,10,0.9580428507149463,0.9077340447561255,1.0142439369218437,0.9599819028490996
M0,single_parameter,A_z,mm,0.01,2333.5810456065064,middle_formal,31,10,0.9580744616471293,0.907753852916926,1.014288909451011,0.960014139596585
M0,single_parameter,A_z,mm,0.01,2358.480847417338,middle_formal,31,10,0.958104106899782,0.9077716841829897,1.0143319196942002,0.9600444106484362
M0,single_parameter,A_z,mm,0.01,2383.3806492281697,middle_formal,31,10,0.9581318023322183,0.9077875567527371,1.0143729803729684,0.9600727313759366
M0,single_parameter,A_z,mm,0.01,2408.2804510390015,middle_formal,31,10,0.9581575634911133,0.9078014896346076,1.0144121045357224,0.9600991175391446
M0,single_parameter,A_z,mm,0.01,2433.180252849833,middle_formal,31,10,0.9581814065654726,0.9078135019223055,1.0144493049693892,0.960123585209429
M0,single_parameter,A_z,mm,0.01,2458.0800546606647,middle_formal,31,10,0.9582033479659913,0.9078236132040729,1.0144845954386028,0.9601461507776539
M0,single_parameter,A_z,mm,0.01,2482.979856471496,middle_formal,31,10,0.9582234046376925,0.9078318433239474,1.0145179894720968,0.960166830902447
M0,single_parameter,A_z,mm,0.01,2507.879658282328,middle_formal,31,10,0.9582415932641197,0.9078382126801898,1.0145495009709293,0.9601856426132279
M0,single_parameter,A_z,mm,0.01,2532.7794600931593,middle_formal,31,10,0.9582579317111595,0.9078427419211721,1.014579143878791,0.9602026031197467
M0,single_parameter,A_z,mm,0.01,2557.679261903991,middle_formal,31,10,0.9582724370034157,0.9078454518316903,1.0146069332478191,0.9602177300274298
M0,single_parameter,A_z,mm,0.01,2582.5790637148225,middle_formal,31,10,0.9582851273535198,0.9078463638587664,1.0146328830444418,0.9602310411291609
M0,single_parameter,A_z,mm,0.01,2607.4788655256543,middle_formal,31,10,0.9582960210536839,0.9078454993357354,1.0146570082554263,0.9602425544846983
M0,single_parameter,A_z,mm,0.01,2632.3786673364857,middle_formal,31,10,0.9583051362255901,0.9078428801899463,1.0146793241403884,0.9602522884378432
M0,single_parameter,A_z,mm,0.01,2657.2784691473175,middle_formal,31,10,0.9583124915081953,0.907838528368643,1.0146998457372547,0.9602602615478174
M0,single_parameter,A_z,mm,0.01,2682.178270958149,middle_formal,31,10,0.9583181062907897,0.9078324664642423,1.0147185883596421,0.9602664925517693
M0,single_parameter,A_z,mm,0.01,2707.0780727689807,bottom_formal_edge,30,11,0.9563563526114649,0.9076474588411543,1.010550736620246,0.9581658865291947
M0,single_parameter,A_z,mm,0.01,2731.977874579812,bottom_formal_edge,30,11,0.9563580909940583,0.9076380035182297,1.0105649942897799,0.95816819382192
M0,single_parameter,alpha,rad,1e-05,241.99769349665084,top_formal_edge,31,10,1220.1610890656411,1043.658601037123,1432.4596171661594,1234.7328284094
M0,single_parameter,alpha,rad,1e-05,266.8974953074825,top_formal_edge,31,10,1218.3701509457023,1041.923793079036,1430.6024806842286,1232.945241990124
M0,single_parameter,alpha,rad,1e-05,291.7972971183141,top_formal_edge,31,10,1216.6165937628648,1040.2240629076687,1428.7854313664636,1231.195110526391
M0,single_parameter,alpha,rad,1e-05,316.6970989291457,middle_formal,31,10,1214.9006464255763,1038.5596385873441,1427.0087032826948,1229.482661903103
M0,single_parameter,alpha,rad,1e-05,341.5969007399773,middle_formal,31,10,1213.2225338859826,1036.9307455761145,1425.2725277458464,1227.8081209632483
M0,single_parameter,alpha,rad,1e-05,366.4967025508089,middle_formal,31,10,1211.5824788509144,1035.3376062738562,1423.5771322404387,1226.1717095491097
M0,single_parameter,alpha,rad,1e-05,391.3965043616405,middle_formal,31,10,1209.9807004858576,1033.780440113219,1421.9227409853372,1224.5736462564544
M0,single_parameter,alpha,rad,1e-05,416.29630617247216,middle_formal,31,10,1208.4174151084426,1032.2594638950022,1420.3095750730197,1223.0141466078878
M0,single_parameter,alpha,rad,1e-05,441.19610798330376,middle_formal,31,10,1206.8928352960029,1030.7748910918235,1418.737851591345,1221.4934227736403
M0,single_parameter,alpha,rad,1e-05,466.09590979413537,middle_formal,31,10,1205.4071706870673,1029.3269321266507,1417.2077847319995,1220.0116837709495
M0,single_parameter,alpha,rad,1e-05,490.995711604967,middle_formal,31,10,1203.9606276118775,1027.915794284695,1415.7195842699364,1218.569135097323
M0,single_parameter,alpha,rad,1e-05,515.8955134157986,middle_formal,31,10,1202.553409200391,1026.5416817020423,1414.2734573795221,1217.1659789990142
M0,single_parameter,alpha,rad,1e-05,540.7953152266302,middle_formal,31,10,1201.1857144671012,1025.2047952604926,1412.8696066649125,1215.8024141803255
M0,single_parameter,alpha,rad,1e-05,565.6951170374618,middle_formal,31,10,1199.8577394365384,1023.9053319509139,1411.5082317800895,1214.478635844123
M0,single_parameter,alpha,rad,1e-05,590.5949188482934,middle_formal,31,10,1198.5696762110365,1022.6434859362143,1410.1895280049346,1213.19483561237
M0,single_parameter,alpha,rad,1e-05,615.494720659125,middle_formal,31,10,1197.321714107602,1021.419447508265,1408.9136870694572,1211.9512015520977
M0,single_parameter,alpha,rad,1e-05,640.3945224699567,middle_formal,31,10,1196.11403753197,1020.23340365065,1407.6808970514774,1210.7479179596041
M0,single_parameter,alpha,rad,1e-05,665.2943242807883,middle_formal,30,11,1187.872241388277,1018.4905816879563,1390.2543504127605,1201.4405278460135
M0,single_parameter,alpha,rad,1e-05,690.1941260916199,middle_formal,30,11,1186.7463589453564,1017.3811292236222,1389.1096417441415,1200.3188653793945
M0,single_parameter,alpha,rad,1e-05,715.0939279024516,middle_formal,30,11,1185.6612022455693,1016.3102016383617,1388.0083112073291,1199.2379859312498
M0,single_parameter,alpha,rad,1e-05,739.9937297132832,middle_formal,30,11,1184.616941336003,1015.2779706686487,1386.9505306803374,1198.1980585832953
M0,single_parameter,alpha,rad,1e-05,764.8935315241148,middle_formal,30,11,1183.6137419948045,1014.2846042995756,1385.9364681664485,1197.199248678089
M0,single_parameter,alpha,rad,1e-05,789.7933333349464,middle_formal,31,10,1175.5796662782814,1002.1069567329731,1384.1184108372317,1190.003469497729
M0,single_parameter,alpha,rad,1e-05,814.693135145778,middle_formal,31,10,1174.6592920019339,1001.1921625959984,1383.1922904955718,1189.0878759531893
M0,single_parameter,alpha,rad,1e-05,839.5929369566096,middle_formal,31,10,1173.7803601590713,1000.316569076176,1382.3103557115246,1188.213781876164
M0,single_parameter,alpha,rad,1e-05,864.4927387674412,middle_formal,31,10,1172.9430207651603,999.4803280420682,1381.4727579699593,1187.3813361927598
M0,single_parameter,alpha,rad,1e-05,889.3925405782728,middle_formal,31,10,1172.147419202929,998.6835872325627,1380.6796442565883,1186.5906837955013
M0,single_parameter,alpha,rad,1e-05,914.2923423891045,middle_formal,31,10,1171.3936963474225,997.9264893956951,1379.9311576178752,1185.841965294832
M0,single_parameter,alpha,rad,1e-05,939.1921441999361,middle_formal,31,10,1170.6819898904541,997.2091739996357,1379.227436220276,1185.1353169955369
M0,single_parameter,alpha,rad,1e-05,964.0919460107677,middle_formal,31,10,1170.012431697387,996.5317753028556,1378.5686147087972,1184.470871051281
