column_u_px,bias_mm
150,8.9094897255000003
151,8.9002386139999992
152,8.8903935260000004
153,8.8802838580000003
154,8.8708558719999999
155,8.8605047745000007
156,8.8491196055000003
157,8.8363534275000006
158,8.8228447900000013
159,8.8076520500000015
160,8.7920503104999987
161,8.7770010589999998
162,8.7633370779999993
163,8.7514588419999999
164,8.7415951675000017
165,8.7333292
166,8.7256600975000005
167,8.7194572719999996
168,8.7137517730000003
169,8.7086454089999989
170,8.704977745499999
171,8.7018364235000014
172,8.6981973329999995
173,8.6923054244999989
174,8.683581169
175,8.6712624809999994
176,8.6554539550000005
177,8.6371814340000004
178,8.6179888615000007
179,8.6003827440000009
180,8.5842991449999992
181,8.5775742635000007
182,8.5682751989999986
183,8.5580169125000012
184,8.5490136650000004
185,8.5410069575000005
186,8.5336668390000003
187,8.5258788289999998
188,8.5175603644999995
189,8.5090075339999984
190,8.5003216315000003
191,8.4919923799999992
192,8.4843319040000011
193,8.4763390015000013
194,8.4659795854999995
195,8.452661312
196,8.4373810645000002
197,8.421493667
198,8.4078117259999985
199,8.3988387445000008
200,8.3945430420000005
201,8.394363877
202,8.3949524840000009
203,8.3950344120000011
204,8.392532104499999
205,8.3865573844999997
206,8.3781750680000009
207,8.3685300305000005
208,8.3586134755000003
209,8.3481613350000003
210,8.3370953930000002
211,8.3237045890000001
212,8.3072332505000013
213,8.2878097359999998
214,8.2667122339999999
215,8.2451121060000006
216,8.2257555800000013
217,8.2106072579999996
218,8.2001963264999986
219,8.1934627185000011
220,8.1885908814999997
221,8.1835689330000001
222,8.1767606740000005
223,8.1674721414999993
224,8.1562634339999995
225,8.1438366795000015
226,8.1324602314999996
227,8.1219378899999999
228,8.1139342029999995
229,8.1081013955000003
230,8.1024442709999995
231,8.0940235909999991
232,8.0819391835000012
233,8.0664858280000011
234,8.0488491764999992
235,8.0313373904999992
236,8.0169337934999998
237,8.0080920135000007
238,8.004408269999999
239,8.0046979795000013
240,8.0081427170000001
241,8.0127346875000001
242,8.0149628239999995
243,8.0146334249999995
244,8.0092491569999993
