u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2131.793949,254.000000,5.996168,-122.308882,713.532323,5.998567,122.314517,0.080759
2131.807492,255.000000,5.997535,-122.213066,713.541390,6.000375,122.218778,0.070980
2131.840474,256.000000,6.000845,-122.118311,713.556673,6.004400,122.124151,0.055086
2131.879403,257.000000,6.004749,-122.023878,713.573858,6.009104,122.029862,0.037322
2131.886207,258.000000,6.005443,-121.927684,713.580766,6.010143,121.933728,0.029665
2131.857628,259.000000,6.002603,-121.829555,713.576356,6.007143,121.835566,0.033141
2131.816167,260.000000,5.998475,-121.730724,713.567824,6.002674,121.736668,0.040672
2131.767230,261.000000,5.993601,-121.631488,713.556900,5.997352,121.637346,0.050555
2131.718025,262.000000,5.988700,-121.532240,713.545889,5.991999,121.538012,0.060523
2131.678719,263.000000,5.984788,-121.433535,713.538044,5.987776,121.439245,0.067377
2131.639458,264.000000,5.980880,-121.334834,713.530213,5.983558,121.340484,0.074219
2131.582609,265.000000,5.975216,-121.235179,713.516755,5.977333,121.240723,0.086594
2131.574633,266.000000,5.974434,-121.138184,713.518927,5.976685,121.143748,0.083596
2131.495876,267.000000,5.966582,-121.037346,713.498463,5.967961,121.042746,0.102863
2131.505113,268.000000,5.967519,-120.941286,713.506137,5.969276,120.946752,0.094454
2131.574252,269.000000,5.974440,-120.848470,713.532967,5.977425,120.854159,0.067203
2131.531967,270.000000,5.970230,-120.749613,713.524162,5.972862,120.755233,0.075001
2131.505417,271.000000,5.967593,-120.651611,713.520388,5.970094,120.657203,0.077852
2131.536011,272.000000,5.970664,-120.556699,713.534889,5.973846,120.562413,0.062728
2131.522682,273.000000,5.969347,-120.459410,713.535341,5.972586,120.465132,0.061422
2131.503327,274.000000,5.967428,-120.361797,713.533865,5.970639,120.367509,0.062013
2131.470567,275.000000,5.964170,-120.263461,713.528101,5.967163,120.269129,0.066821
2131.460753,276.000000,5.963205,-120.166363,713.529674,5.966304,120.172047,0.064412
2131.484579,277.000000,5.965599,-120.071076,713.542004,5.969283,120.076865,0.051423
2131.483922,278.000000,5.965548,-119.974468,713.546504,5.969469,119.980297,0.046136
2131.472747,279.000000,5.964446,-119.877295,713.547638,5.968455,119.883136,0.044159
2131.452445,280.000000,5.962433,-119.779631,713.545852,5.966399,119.785461,0.045054
2131.419339,281.000000,5.959141,-119.681280,713.539971,5.962883,119.687065,0.049978
2131.388768,282.000000,5.956102,-119.583067,713.534899,5.959656,119.588814,0.054105
2131.368350,283.000000,5.954077,-119.485400,713.533073,5.957588,119.491135,0.055040
2131.356809,284.000000,5.952939,-119.388208,713.534085,5.956531,119.393955,0.053183
2131.340705,285.000000,5.951345,-119.290772,713.533637,5.954955,119.296519,0.052763
2131.309636,286.000000,5.948257,-119.192537,713.528402,5.951671,119.198244,0.057051
2131.268981,287.000000,5.944211,-119.093791,713.520100,5.947294,119.099434,0.064356
2131.236710,288.000000,5.941003,-118.995496,713.514479,5.943873,119.001095,0.069024
2131.227586,289.000000,5.940106,-118.898435,713.516258,5.943092,118.904053,0.066413
2131.239373,290.000000,5.941298,-118.802489,713.524723,5.944697,118.808179,0.057225
2131.261417,291.000000,5.943514,-118.707086,713.536468,5.947472,118.712875,0.044812
2131.280476,292.000000,5.945432,-118.611522,713.547257,5.949906,118.617402,0.033339
2131.270034,293.000000,5.944403,-118.514387,713.548610,5.948975,118.520282,0.031146
2131.219405,294.000000,5.939361,-118.415118,713.537111,5.943460,118.420922,0.041596
2131.145322,295.000000,5.931977,-118.314608,713.518111,5.935269,118.320260,0.059424
2131.076710,296.000000,5.925140,-118.214394,713.500860,5.927703,118.219908,0.075531
2131.051489,297.000000,5.922636,-118.116482,713.497484,5.925086,118.121972,0.077992
2131.083419,298.000000,5.925839,-118.021596,713.512380,5.928988,118.027211,0.062478
2131.151589,299.000000,5.932661,-117.928622,713.538866,5.937023,117.934457,0.035565
2131.226960,300.000000,5.940204,-117.836022,713.567655,5.945881,117.842096,0.006387
2131.266458,301.000000,5.944163,-117.741521,713.584972,5.950646,117.747739,-0.011507
2131.219914,302.000000,5.939529,-117.642476,713.574769,5.945596,117.648614,-0.002332
2131.156962,303.000000,5.933256,-117.542569,713.559318,5.938675,117.548584,0.012005
2128.032312,508.000000,5.624455,-97.582724,713.496387,5.634679,97.588893,-0.102154
2128.061314,509.000000,5.627360,-97.487320,713.510103,5.638231,97.493604,-0.116506
2128.051957,510.000000,5.626442,-97.390238,713.511560,5.637415,97.396537,-0.118796
2128.001109,511.000000,5.621388,-97.291347,713.499757,5.631873,97.297553,-0.108040
2127.941618,512.000000,5.615472,-97.192084,713.485192,5.625347,97.198174,-0.094567
2127.869681,513.000000,5.608315,-97.092283,713.466649,5.617405,97.098224,-0.077180
2127.791080,514.000000,5.600495,-96.992198,713.445978,5.608703,96.997974,-0.057698
2127.773009,515.000000,5.598709,-96.894746,713.444645,5.606895,96.900514,-0.057244
2127.831815,516.000000,5.604585,-96.800629,713.467873,5.613839,96.806591,-0.080954
2127.886261,517.000000,5.610026,-96.706318,713.489709,5.620288,96.712461,-0.103295
2127.919821,518.000000,5.613386,-96.611096,713.504870,5.624358,96.617367,-0.119069
2127.912239,519.000000,5.612645,-96.514092,713.506884,5.623743,96.520382,-0.121907
2127.856088,520.000000,5.607062,-96.414989,713.493377,5.617598,96.421172,-0.109474
2127.772952,521.000000,5.598790,-96.314725,713.471247,5.608380,96.320731,-0.088557
2127.683659,522.000000,5.589905,-96.214203,713.447150,5.598461,96.220014,-0.065705
2127.660692,523.000000,5.587630,-96.116543,713.444244,5.596095,96.122334,-0.063702
2127.732222,524.000000,5.594774,-96.022950,713.471529,5.604487,96.028968,-0.091404
2127.776234,525.000000,5.599176,-95.928167,713.490021,5.609747,95.934339,-0.110455
2127.790228,526.000000,5.600585,-95.832091,713.498921,5.611589,95.838339,-0.120068
2127.790877,527.000000,5.600665,-95.735439,713.503556,5.611911,95.741729,-0.125485
2127.775298,528.000000,5.599126,-95.638091,713.503004,5.610385,95.644380,-0.125798
2127.750186,529.000000,5.596638,-95.540336,713.499405,5.607774,95.546598,-0.123114
2127.735934,530.000000,5.595232,-95.443046,713.499275,5.606399,95.449310,-0.123842
2127.737004,531.000000,5.595353,-95.346411,713.504040,5.606769,95.352717,-0.129387
2127.727152,532.000000,5.594386,-95.249309,713.505313,5.605895,95.255629,-0.131496
2127.681079,533.000000,5.589808,-95.150662,713.495012,5.600897,95.156901,-0.122217
2127.609928,534.000000,5.582731,-95.050950,713.476697,5.593044,95.057043,-0.105054
2127.536305,535.000000,5.575408,-94.951139,713.457593,5.584910,94.957078,-0.087113
2127.472736,536.000000,5.569088,-94.851760,713.441700,5.577920,94.857573,-0.072332
2127.441008,537.000000,5.565940,-94.753738,713.435979,5.574556,94.759507,-0.067560
2127.457456,538.000000,5.567594,-94.657760,713.445648,5.576676,94.663611,-0.077929
2127.491752,539.000000,5.571026,-94.562536,713.461018,5.580828,94.568516,-0.093908
2127.509298,540.000000,5.572790,-94.466599,713.471036,5.583073,94.472665,-0.104621
2127.494860,541.000000,5.571365,-94.369307,713.470834,5.581677,94.375375,-0.105279
2127.532995,542.000000,5.575181,-94.274237,713.487428,5.586266,94.280443,-0.122462
2127.490142,543.000000,5.570924,-94.175744,713.478145,5.581635,94.181878,-0.114185
2127.481600,544.000000,5.570088,-94.078701,713.479824,5.580910,94.084851,-0.116693
2127.498033,545.000000,5.571740,-93.982709,713.489481,5.583028,93.988941,-0.127050
2127.517245,546.000000,5.573670,-93.886831,713.500025,5.585463,93.893153,-0.138281
2127.504929,547.000000,5.572457,-93.789626,713.500494,5.584308,93.795955,-0.139599
2127.442880,548.000000,5.566288,-93.690333,713.485072,5.577490,93.696540,-0.125281
2127.346220,549.000000,5.556670,-93.589594,713.458592,5.566733,93.595587,-0.100082
2127.244147,550.000000,5.546513,-93.488635,713.430383,5.555361,93.494401,-0.073183
2127.188524,551.000000,5.540985,-93.389628,713.417014,5.549277,93.395288,-0.060885
2127.206198,552.000000,5.542761,-93.293689,713.427058,5.551535,93.299434,-0.071623
2127.261090,553.000000,5.548245,-93.199300,713.448990,5.558030,93.205228,-0.094059
2127.316031,554.000000,5.553734,-93.104908,713.470938,5.564532,93.111019,-0.116510
2127.360342,555.000000,5.558165,-93.010067,713.489490,5.569823,93.016333,-0.135620
2127.367583,556.000000,5.558901,-92.913679,713.496197,5.570894,92.920003,-0.143075
2127.326864,557.000000,5.554858,-92.815295,713.487580,5.566505,92.821551,-0.135453
2127.269092,558.000000,5.549116,-92.716204,713.473514,5.560175,92.722349,-0.122469
2127.213201,559.000000,5.543561,-92.617196,713.460048,5.554059,92.623234,-0.110075
2127.185092,560.000000,5.540775,-92.519344,713.455457,5.551106,92.525347,-0.106414
2127.192260,561.000000,5.541504,-92.422953,713.462135,5.552169,92.429014,-0.113840
2127.197983,562.000000,5.542089,-92.326501,713.468350,5.553067,92.332616,-0.120811
2127.165733,563.000000,5.538890,-92.228479,713.462433,5.549642,92.234549,-0.115844
2127.113280,564.000000,5.533678,-92.129624,713.450060,5.543918,92.135596,-0.104526
2127.077629,565.000000,5.530141,-92.031466,713.443054,5.540106,92.037384,-0.098488
2127.071938,566.000000,5.529588,-91.934544,713.445618,5.539705,91.940486,-0.101867
2127.098609,567.000000,5.532260,-91.838953,713.458519,5.542987,91.845004,-0.115416
2127.141507,568.000000,5.536549,-91.744025,713.476604,5.548116,91.750227,-0.134066
2127.142709,569.000000,5.536684,-91.647381,713.481366,5.548499,91.653625,-0.139608
2127.088973,570.000000,5.531344,-91.548482,713.468576,5.542628,91.554625,-0.127879
2127.023657,571.000000,5.524851,-91.449113,713.452087,5.535440,91.455125,-0.112510
2126.966990,572.000000,5.519220,-91.350103,713.438360,5.529236,91.356005,-0.099859
2126.928074,573.000000,5.515358,-91.251822,713.430302,5.525053,91.257662,-0.092786
2126.909763,574.000000,5.513548,-91.154385,713.428826,5.523215,91.160216,-0.092189
2126.904532,575.000000,5.513042,-91.057482,713.431526,5.522865,91.063338,-0.095701
2126.906293,576.000000,5.513232,-90.960863,713.436458,5.523311,90.966763,-0.101410
2126.910716,577.000000,5.513687,-90.864352,713.442240,5.524060,90.870303,-0.107955
2126.901861,578.000000,5.512819,-90.767299,713.443780,5.523298,90.773266,-0.110325
2126.884200,579.000000,5.511075,-90.669889,713.442505,5.521534,90.675848,-0.109926
