u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2128.002185,526.000000,5.621715,-95.841192,713.566655,5.635727,95.847994,-0.186711
2127.982797,527.000000,5.619797,-95.743672,713.564886,5.633767,95.750463,-0.185828
2127.956268,528.000000,5.617167,-95.645847,713.560835,5.630994,95.652608,-0.182698
2127.954736,529.000000,5.617029,-95.549093,713.564771,5.631068,95.555889,-0.187428
2127.968326,530.000000,5.618398,-95.452985,713.573539,5.632864,95.459856,-0.196911
2127.973762,531.000000,5.618955,-95.356526,713.579700,5.633731,95.363451,-0.203829
2127.963908,532.000000,5.617987,-95.259413,713.580973,5.632857,95.266352,-0.205938
2127.948390,533.000000,5.616455,-95.162059,713.580435,5.631338,95.168997,-0.206265
2127.936326,534.000000,5.615267,-95.064852,713.580999,5.630212,95.071798,-0.207677
2127.926652,535.000000,5.614317,-94.967747,713.582326,5.629358,94.974707,-0.209839
2127.916430,536.000000,5.613313,-94.870618,713.583477,5.628442,94.877591,-0.211828
2127.912232,537.000000,5.612909,-94.773745,713.586552,5.628212,94.780746,-0.215710
2127.911577,538.000000,5.612859,-94.677022,713.590758,5.628385,94.684060,-0.220705
2127.909413,539.000000,5.612658,-94.580233,713.594481,5.628387,94.587306,-0.225224
2127.904159,540.000000,5.612149,-94.483314,713.597215,5.628036,94.490411,-0.228771
2127.880894,541.000000,5.609844,-94.385631,713.594192,5.625634,94.392708,-0.226652
2127.821134,542.000000,5.603902,-94.286408,713.579504,5.619076,94.293368,-0.213057
2127.749203,543.000000,5.596746,-94.186676,713.560925,5.611132,94.193487,-0.195633
2127.723947,544.000000,5.594243,-94.088916,713.557262,5.608504,94.095701,-0.192886
2127.744864,545.000000,5.596343,-93.993103,713.568354,5.611133,93.999981,-0.204655
2127.756730,546.000000,5.597540,-93.896906,713.576553,5.612732,93.903854,-0.213578
2127.721958,547.000000,5.594089,-93.798746,713.569845,5.609020,93.805643,-0.207835
2127.657061,548.000000,5.587635,-93.699324,713.553510,5.601877,93.706091,-0.192618
2127.593471,549.000000,5.581311,-93.599962,713.537592,5.594884,93.606601,-0.177812
2127.554362,550.000000,5.577428,-93.501629,713.529496,5.590678,93.508206,-0.170702
2127.545105,551.000000,5.576520,-93.404549,713.530938,5.589871,93.411140,-0.172977
2127.558074,552.000000,5.577827,-93.308397,713.539481,5.591595,93.315062,-0.182239
2127.595044,553.000000,5.581527,-93.213245,713.555692,5.596051,93.220046,-0.199047
2127.633083,554.000000,5.585333,-93.118135,713.572245,5.600630,93.125074,-0.216190
2127.649413,555.000000,5.586976,-93.022114,713.581860,5.602737,93.029136,-0.226506
2127.642018,556.000000,5.586254,-92.925104,713.583891,5.602141,92.932145,-0.229360
2127.621573,557.000000,5.584231,-92.827551,713.581751,5.600060,92.834577,-0.228111
2127.606729,558.000000,5.582766,-92.730231,713.581400,5.598617,92.737258,-0.228621
2127.604026,559.000000,5.582511,-92.633415,713.584927,5.598556,92.640474,-0.232948
2127.599557,560.000000,5.582081,-92.536525,713.587889,5.598294,92.543612,-0.236718
2127.585078,561.000000,5.580652,-92.439220,713.587651,5.596892,92.446308,-0.237340
2127.571191,562.000000,5.579283,-92.341940,713.587601,5.595557,92.349031,-0.238146
2127.567398,563.000000,5.578920,-92.245077,713.590775,5.595372,92.252197,-0.242126
2127.573353,564.000000,5.579528,-92.148616,713.597064,5.596297,92.155791,-0.249169
2127.566904,565.000000,5.578900,-92.051642,713.599387,5.595809,92.058839,-0.252311
2127.521592,566.000000,5.574398,-91.953066,713.589289,5.590896,91.960184,-0.243232
2127.509513,567.000000,5.573209,-91.855861,713.589812,5.589767,91.862986,-0.244601
2127.445556,568.000000,5.566849,-91.756523,713.573753,5.582731,91.763520,-0.229657
2127.408896,569.000000,5.563211,-91.658311,713.566418,5.578803,91.665251,-0.223295
2127.368884,570.000000,5.559238,-91.559963,713.558010,5.574494,91.566838,-0.215878
2127.332265,571.000000,5.555603,-91.461757,713.550686,5.570571,91.468576,-0.209527
2127.330185,572.000000,5.555410,-91.364967,713.554397,5.570580,91.371819,-0.214034
2127.375549,573.000000,5.559946,-91.270117,713.573268,5.575991,91.277126,-0.233458
2127.425890,574.000000,5.564979,-91.175465,713.593730,5.581969,91.182645,-0.254447
2127.409704,575.000000,5.563380,-91.078092,713.592930,5.580372,91.085269,-0.254516
2127.350092,576.000000,5.557454,-90.978950,713.578251,5.573831,90.986010,-0.240928
2127.305567,577.000000,5.553031,-90.880426,713.568394,5.569008,90.887409,-0.232084
2127.278718,578.000000,5.550370,-90.782625,713.564183,5.566197,90.789576,-0.228797
2127.247911,579.000000,5.547315,-90.684664,713.558707,5.562935,90.691573,-0.224264
2127.217218,580.000000,5.544271,-90.586709,713.553266,5.559687,90.593577,-0.219766
