v,sample_count,residual_median_mm,residual_mean_mm,residual_std_mm,residual_mad_mm,residual_p95_abs_mm
1620,17,-0.018557978470205547,-0.0030187578515523668,0.050979390750350836,0.016303809469284145,0.07437572942368677
1621,17,-0.01569863962249994,-0.0048439257423574566,0.04972282963151402,0.015760481710640054,0.07521773246927918
1622,17,-0.017976444374226283,-0.006382303048562085,0.049317798844037905,0.013591166369837732,0.07478161547186561
1623,17,-0.01709418639173302,-0.005779599695491264,0.04963173436253283,0.0164726428826783,0.07555116491935217
1624,17,-0.01837070103285891,-0.0037833936420577003,0.04915917141887448,0.019190975048375736,0.07660702545868878
1625,17,-0.012792826223483877,-0.001961181434314322,0.049492590827068986,0.018596770915592614,0.07918606683206955
1626,17,-0.012782390268873255,-0.0019385679513716854,0.05095413811754401,0.02040738955416877,0.08360349644269038
1627,17,-0.019053971713805684,-0.003704367220012873,0.05355328945747227,0.020062377203449652,0.09159532796277103
1628,18,-0.024313846747792328,-0.0031793330220750557,0.060047456577466164,0.021621238873898607,0.1043572931427977
1629,18,-0.0220088337160122,-0.005178807379898389,0.06396515206438474,0.023480810037910024,0.13393810656186772
1630,18,-0.026094447356511726,-0.006642166813634857,0.06850883305993397,0.02256005838796457,0.15771337030444615
1631,17,-0.03882088178868953,-0.0039433972235388744,0.0740125052490416,0.020691285437063528,0.17745546842122512
1632,17,-0.03053273388292059,-0.0005649986930462082,0.07591277855904452,0.028087327578945748,0.17231728665805118
1633,17,-0.03039828180770432,-0.001972476860583641,0.0766285364841381,0.028370207769780324,0.16388098224084233
1634,17,-0.028854420604832662,-0.002582029435211917,0.07849721607772005,0.02840299933365184,0.1586169445004731
1635,16,-0.022454527143076816,0.005913280676233011,0.07738491809538538,0.02438761205743991,0.1629844181447592
1636,16,-0.019362048273271794,0.0059036588495129366,0.07572440734788523,0.017322969544509445,0.16415820308857965
1637,16,-0.018264421921814468,0.003605934599126525,0.07391815974592886,0.011995235349441597,0.163109680035457
1638,16,-0.018868432495400843,0.0036993594484525053,0.07211788901662375,0.012004032098355901,0.16398944661193507
1639,16,-0.019858500130286977,0.0062487200942358025,0.0737284850172923,0.007167841093624502,0.16721429091742612
1640,16,-0.02074172735015354,0.00805268647309867,0.07589048521426035,0.012789360862610635,0.16807399682759053
1641,15,-0.023428279709020366,-0.0009672350041939374,0.07378089259335827,0.014678283488571989,0.16725384968638252
1642,15,-0.028742943965609904,-0.0029876987973444275,0.07310068290763058,0.01656856297948943,0.1619165887509622
1643,15,-0.027460206085697825,-0.0028229972658946017,0.07321486687044895,0.01906971634830311,0.15855445802817114
1644,16,-0.017644426036676104,0.0032241071216438373,0.07337793380370529,0.027398166492019427,0.15728680119646943
1645,17,-0.015404074436435912,0.011879103796747026,0.07648867843754405,0.03038353353861841,0.15808660718229528
1646,17,-0.01823749757216149,0.008822287455575893,0.07499606422180152,0.021946950351929506,0.16263642526237193
1647,17,-0.0216352989376509,0.00219623357028835,0.07450195602575556,0.024863785750855884,0.16696897449091153
1648,17,-0.0225848882384082,-0.0024065633302762976,0.07397268425737052,0.017863688196761866,0.1682601055259878
1649,17,-0.035155412952807566,-0.005056345206102658,0.07429345510470896,0.02107507077274061,0.16248870221734962
1650,16,-0.04606055332541133,-0.013111975387607184,0.07728784710279427,0.0125726897258149,0.15791881192710383
