u,y_ref_observed_px,y_ref_short_gap_px,y_ref_smooth_px,sigma_ref_px,valid_fraction,valid_frame_count,fwhm_p50_px,source
226,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
227,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
228,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
229,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
230,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
231,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
232,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
233,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
234,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
235,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
236,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
237,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
238,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
239,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
240,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
241,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
242,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
243,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
244,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
245,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
246,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
247,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
248,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
249,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
250,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
251,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
252,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
253,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
254,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
255,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
256,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
257,NaN,NaN,NaN,NaN,0.64,32,NaN,outside_reference_surface
258,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
259,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
