bin_width_px,v_start_px,v_end_px,v_center_px,model,frame027_point_count,original_status,leave027_status,original_point_count,leave027_point_count,original_unique_frame_count,leave027_unique_frame_count,original_u_ref_px,leave027_u_ref_px,original_b_mm,leave027_b_mm,delta_b_leave_minus_original_mm,original_delta_g_mm_per_px,leave027_delta_g_mm_per_px,delta_g_leave_minus_original_mm_per_px,original_weighted_rmse_mm,leave027_weighted_rmse_mm
30,2190,2220,2205.0,M_local_fullfit,0,ok,ok,219,219,20,20,2026.2303953864803,2026.2303953864803,-0.011462124962743403,-0.011462124962743403,0.0,-4.106883194543484e-05,-4.106883194543484e-05,0.0,0.06615796126892694,0.06615796126892694
30,2220,2250,2235.0,M0,0,ok,ok,232,232,20,20,2027.5897805457596,2027.5897805457596,-0.02433198980209199,-0.02433198980209199,0.0,-0.0003344565189364866,-0.0003344565189364866,0.0,0.06318737919678444,0.06318737919678444
30,2220,2250,2235.0,M_local_fullfit,0,ok,ok,232,232,20,20,2027.5897805457596,2027.5897805457596,-0.011772433569772384,-0.011772433569772384,0.0,-0.00020530454336189008,-0.00020530454336189008,0.0,0.06319903759443597,0.06319903759443597
30,2250,2280,2265.0,M0,0,ok,ok,219,219,20,20,2028.8629738263094,2028.8629738263094,-0.018611153114990536,-0.018611153114990536,0.0,-0.00028412237595758385,-0.00028412237595758385,0.0,0.06528413333884331,0.06528413333884331
30,2250,2280,2265.0,M_local_fullfit,0,ok,ok,219,219,20,20,2028.8629738263094,2028.8629738263094,-0.00463362520051434,-0.00463362520051434,0.0,-0.00014815562572774186,-0.00014815562572774186,0.0,0.06515667775019542,0.06515667775019542
30,2280,2310,2295.0,M0,0,ok,ok,259,259,20,20,2030.2415835122874,2030.2415835122874,-0.020540170271686285,-0.020540170271686285,0.0,-0.0003128096713213873,-0.0003128096713213873,0.0,0.05653557117997547,0.05653557117997547
30,2280,2310,2295.0,M_local_fullfit,0,ok,ok,259,259,20,20,2030.2415835122874,2030.2415835122874,-0.0051145994104277665,-0.0051145994104277665,0.0,-0.00016996671016882673,-0.00016996671016882673,0.0,0.05650519286681192,0.05650519286681192
30,2310,2340,2325.0,M0,0,ok,ok,241,241,20,20,2015.1536999147597,2015.1536999147597,-0.011320457478796552,-0.011320457478796552,0.0,-5.2582271235888397e-05,-5.2582271235888397e-05,0.0,0.050405587108840695,0.050405587108840695
30,2310,2340,2325.0,M_local_fullfit,0,ok,ok,241,241,20,20,2015.1536999147597,2015.1536999147597,0.0031091575842599754,0.0031091575842599754,0.0,9.671947464899511e-05,9.671947464899511e-05,0.0,0.05027212906553769,0.05027212906553769
30,2340,2370,2355.0,M0,0,ok,ok,219,219,19,19,2002.093804815278,2002.093804815278,-0.0018288393705962417,-0.0018288393705962417,0.0,7.871341650689342e-06,7.871341650689342e-06,0.0,0.04971676880453338,0.04971676880453338
30,2340,2370,2355.0,M_local_fullfit,0,ok,ok,219,219,19,19,2002.093804815278,2002.093804815278,0.01189995243611269,0.01189995243611269,0.0,0.00016444983030716097,0.00016444983030716097,0.0,0.0494649054631495,0.0494649054631495
30,2370,2400,2385.0,M0,0,ok,ok,235,235,17,17,1988.0283396213154,1988.0283396213154,0.00983789923008849,0.00983789923008849,0.0,8.97126955672234e-05,8.97126955672234e-05,0.0,0.05151694492422683,0.05151694492422683
30,2370,2400,2385.0,M_local_fullfit,0,ok,ok,235,235,17,17,1988.0283396213154,1988.0283396213154,0.02261226236705664,0.02261226236705664,0.0,0.0002533903375750467,0.0002533903375750467,0.0,0.051323244790583575,0.051323244790583575
30,2400,2430,2415.0,M0,0,ok,ok,257,257,15,15,1985.3640540610222,1985.3640540610222,-0.0026137028012307986,-0.0026137028012307986,0.0,-1.6932714919136415e-07,-1.6932714919136415e-07,0.0,0.04702716065386092,0.04702716065386092
30,2400,2430,2415.0,M_local_fullfit,0,ok,ok,257,257,15,15,1985.3640540610222,1985.3640540610222,0.011002436874709514,0.011002436874709514,0.0,0.00017133040123932245,0.00017133040123932245,0.0,0.04677061893250485,0.04677061893250485
30,2430,2460,2445.0,M0,0,ok,ok,275,275,16,16,1989.4842414076847,1989.4842414076847,0.009312162280957726,0.009312162280957726,0.0,2.545641331847137e-05,2.545641331847137e-05,0.0,0.061408868372516814,0.061408868372516814
30,2430,2460,2445.0,M_local_fullfit,0,ok,ok,275,275,16,16,1989.4842414076847,1989.4842414076847,0.02494703808182767,0.02494703808182767,0.0,0.0002041433237283489,0.0002041433237283489,0.0,0.061149287924136014,0.061149287924136014
30,2460,2490,2475.0,M0,0,ok,ok,250,250,16,16,1990.897826592408,1990.897826592408,0.00840295506887733,0.00840295506887733,0.0,-7.88540435522553e-06,-7.88540435522553e-06,0.0,0.06125423180572644,0.06125423180572644
30,2460,2490,2475.0,M_local_fullfit,0,ok,ok,250,250,16,16,1990.897826592408,1990.897826592408,0.025774976027467242,0.025774976027467242,0.0,0.0001791814134844125,0.0001791814134844125,0.0,0.06111218346279583,0.06111218346279583
30,2490,2520,2505.0,M0,0,ok,ok,239,239,15,15,1999.9487162269468,1999.9487162269468,0.003799413768523679,0.003799413768523679,0.0,2.188769990004374e-05,2.188769990004374e-05,0.0,0.05947812238183078,0.05947812238183078
