frame_id,split,source,point_index,u_px,v_px,formal_domain,region,lambda_truth_mm,lambda_M0_mm,lambda_M_local_fullfit_mm,M0_valid,M_local_fullfit_valid,M0_residual_e_lambda_mm,M_local_fullfit_residual_e_lambda_mm,M0_invalid_reason,M_local_fullfit_invalid_reason,M0_offset_removed_mm,M0_v_line_prediction_mm,M0_v_line_remaining_mm,M_local_fullfit_offset_removed_mm,M_local_fullfit_v_line_prediction_mm,M_local_fullfit_v_line_remaining_mm
027,fit,fit_edge_extension,181,1866.410460151539,601.0890308716197,True,middle_formal,638.9730192638033,639.0061992829563,638.9892234837756,True,True,-0.03318001915306468,-0.01620421997233734,,,-0.3143967160277337,0.003130872937802509,-0.036310892090867186,-0.3038967139655611,0.018049202853187563,-0.034253422825524904
027,fit,fit_edge_extension,182,1866.5504358483552,602.0571773498982,True,middle_formal,639.0132167201701,639.0456245180925,639.0286760529955,True,True,-0.03240779792236026,-0.015459332825344063,,,-0.3136244947970293,0.0036322511908483124,-0.03604004911320857,-0.30315182681856784,0.01853459163017296,-0.03399392445551702
027,fit,fit_edge_extension,183,1866.6532429206172,603.0353520104757,True,middle_formal,639.0536202368733,639.0755624599425,639.0586404698643,True,True,-0.02194222306923166,-0.005020232991000739,,,-0.3031589199439007,0.004138822782541796,-0.026081045851773454,-0.2927127269842245,0.01902500812481328,-0.02404524111581402
027,fit,fit_edge_extension,184,1866.7545701121787,604.0248648360056,True,middle_formal,639.0944822428269,639.10516417818,639.0882688856952,True,True,-0.010681935353090921,0.006213357131628072,,,-0.29189863222775997,0.0046512661193319205,-0.015333201472422842,-0.2814791368615957,0.019521109108467494,-0.013307751976839421
027,fit,fit_edge_extension,185,1866.8791024757993,605.0173157110797,True,middle_formal,639.135598419761,639.1407275416535,639.1238596986856,True,True,-0.005129121892537114,0.011738721075403191,,,-0.28634581876720616,0.0051652309966955245,-0.010294352889232639,-0.2759537729178206,0.020018683109177426,-0.008279962033774235
027,fit,fit_edge_extension,186,1867.0450950410427,605.9921135824544,True,middle_formal,639.1762318647131,639.1868599553674,639.1700203653942,True,True,-0.010628090654222433,0.006211499318965252,,,-0.2918447875288915,0.005670053835788724,-0.016298144490011157,-0.2814809946742585,0.020507406620764057,-0.014295907301798805
027,fit,fit_edge_extension,187,1867.1547607484213,606.9837657981905,True,middle_formal,639.2172428194825,639.2186144291924,639.2018018226687,True,True,-0.0013716097098495084,0.015440996813822494,,,-0.28258830658451856,0.006183605107946244,-0.007555214817795752,-0.2722514971794013,0.02100458020656981,-0.005563583392747318
027,fit,fit_edge_extension,188,1867.2462079563204,608.9971403674631,True,middle_formal,639.2997919904772,639.2494393320906,639.2326775875725,True,True,0.050352658386600524,0.06711440290462178,,,-0.23086403848806852,0.007226280206102553,0.04312637818049797,-0.220578091088602,0.022014003307018803,0.04510039959760298
027,fit,fit_edge_extension,189,1867.995550480723,610.0010773446211,True,middle_formal,639.3448886679015,639.4453556347214,639.4286402358365,True,True,-0.10046696681990852,-0.08375156793499627,,,-0.38168366369457757,0.0077461934414123634,-0.10821316026132088,-0.37144406192822005,0.022517335966328378,-0.10626890390132465
027,fit,fit_edge_extension,190,1868.034802431834,610.9938044698704,True,middle_formal,639.3855715425092,639.4590631940945,639.4423726997367,True,True,-0.07349165158530013,-0.05680115722748269,,,-0.3547083484599692,0.008260301381663004,-0.08175195296696314,-0.34449365122070646,0.023015048467500465,-0.07981620569498316
027,fit,fit_edge_extension,191,1870.0465264521847,628.9866533387947,True,middle_formal,640.1310834905837,640.0415271664343,640.025325997216,True,True,0.08955632414938464,0.10575749336771878,,,-0.1916603727252844,0.017578336757115065,0.07197798739226957,-0.181935000625505,0.032035921964348735,0.07372157140337005
027,fit,fit_edge_extension,192,1879.1489678784537,686.9581917489375,True,middle_formal,642.5593964068083,642.6009410221477,642.5863896165589,True,True,-0.04154461533937592,-0.026993209750571623,,,-0.32276131221404497,0.047600311020903896,-0.08914492636027982,-0.3146857037437954,0.06110046411802508,-0.0880936738685967
