model,v_bin,v_bin_lo_px,v_bin_hi_px,point_count,unique_frame_count,fold_count,frame_ids,valid_intersections,valid_rate,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,mean_frame_rmse_mm,std_frame_rmse_mm,mean_fold_rmse_mm,std_fold_rmse_mm,selection_score,selection_rank
quadratic_graph,v_2100_2200,2100.0,2200.0,842,25,6,"001,002,003,005,006,008,010,012,013,016,018,025,026,028,029,030,031,032,033,034,035,036,049,050,051",842,1.0,0.009703322876603793,0.0523309952752449,0.06556948322890452,0.12459458058838775,0.24144608988626715,0.06233713683101447,0.030503596402743072,0.06543414514619467,0.009853568412221403,0.01271274570158755,1
quadratic_graph,v_2200_2300,2200.0,2300.0,689,23,6,"001,003,005,006,008,012,013,016,018,025,026,028,029,030,031,032,033,034,035,036,049,050,051",689,1.0,0.01537908734826141,0.04911861187454561,0.06668021249966995,0.11961766772992632,0.2969870456439594,0.06168368628535008,0.029994940198238233,0.06577589848622704,0.005858427371717149,0.01271274570158755,1
quadratic_graph,v_2300_2400,2300.0,2400.0,948,24,6,"001,002,003,005,006,008,012,013,016,018,025,026,028,029,030,031,032,033,034,035,036,049,050,051",948,1.0,0.03167460219189991,0.051237535146778104,0.07105761768636888,0.1354469265370085,0.4883551833511319,0.06307361814636231,0.04149166196314875,0.06833068026010371,0.028307949819729134,0.01271274570158755,1
quadratic_graph,v_2400_2500,2400.0,2500.0,1089,24,6,"001,002,003,005,006,008,012,013,016,018,025,026,028,029,030,031,032,033,034,035,036,049,050,051",1089,1.0,0.03332440562563019,0.04989900046918015,0.06175869444806498,0.11451757737395382,0.2154104468895639,0.06019671071933574,0.03733390392913613,0.062109584319640414,0.018379253311334273,0.01271274570158755,1
quadratic_graph,v_2500_2600,2500.0,2600.0,813,24,6,"001,002,003,005,006,008,012,013,016,018,025,026,028,029,030,031,032,033,034,035,036,049,050,051",813,1.0,0.031928899973160715,0.0497565529232065,0.06490730936185077,0.14023234306603172,0.27334699052255473,0.05539737451314117,0.03361277015958576,0.06212170597009955,0.022732553053066682,0.01271274570158755,1
quadratic_graph,v_2600_2700,2600.0,2700.0,441,20,6,"001,002,003,005,008,012,013,016,026,028,029,031,032,033,034,035,036,049,050,051",441,1.0,0.0157694297088998,0.04609892596929002,0.06220690261572806,0.12790016122698944,0.23028706904233331,0.053705005734027055,0.02587613685711293,0.05624604751840656,0.01755948930184482,0.01271274570158755,1
quadratic_graph,v_2700_2800,2700.0,2800.0,541,18,6,"001,002,003,005,012,013,016,026,028,031,032,033,034,035,036,049,050,051",541,1.0,-0.06110198390931247,0.07027990616419122,0.08490007878098232,0.14533652427951438,0.3869896619080464,0.08071945145184378,0.03557099433735437,0.08737336938084506,0.01750120958122274,0.01271274570158755,1
quadratic_graph,v_2800_2900,2800.0,2900.0,580,15,6,"002,005,012,013,016,026,031,032,033,034,035,036,049,050,051",580,1.0,-0.093472756083221,0.10041157454424322,0.1077005509404501,0.1572995911427199,0.2416991495564389,0.10349719155729147,0.02775856679055034,0.10403980944340452,0.018149657824942725,0.01271274570158755,1
quadratic_graph,v_2900_3000,2900.0,3000.0,345,11,6,"005,026,031,032,033,034,035,036,049,050,051",345,1.0,-0.10558976346588494,0.11539811114130513,0.12461520082399809,0.18165118229976543,0.21202502385403932,0.12297692185924496,0.03055010506109059,0.11646038475678956,0.023847904562401625,0.01271274570158755,1
circular_cone,v_0000_0100,0.0,100.0,323,11,6,"004,014,015,018,025,028,029,030,052,053,054",323,1.0,0.1848175304638265,0.18504831392248638,0.20120235863433117,0.29013296248103865,0.37880796296019525,0.164098861515399,0.07352661944832864,0.17668581124123506,0.06501275976814713,0.02359068828971989,2
circular_cone,v_0100_0200,100.0,200.0,643,18,6,"003,004,007,009,010,011,014,015,018,025,026,027,028,029,030,052,053,054",643,1.0,0.11960858567713713,0.13629291380182948,0.16063641613583945,0.27237126683478435,0.39333083082635767,0.1380481950632052,0.07410681432136307,0.1422009539723976,0.05458576854251438,0.02359068828971989,2
circular_cone,v_0200_0300,200.0,300.0,920,22,6,"003,004,005,007,008,009,010,011,014,015,017,018,025,026,027,028,029,030,034,052,053,054",920,1.0,0.07812117250829928,0.10706831612035997,0.13037063771558186,0.22288540698315268,0.47526029159837435,0.12068901543436981,0.06097611322379844,0.12256901610615845,0.03044533451763365,0.02359068828971989,2
circular_cone,v_0300_0400,300.0,400.0,976,26,6,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,032,033,034,052,053,054",976,1.0,0.0443347698548684,0.07441549084673052,0.09569311838560927,0.17729948824523944,0.4396329448477445,0.08614299602585018,0.05083036461063872,0.09012890889239077,0.030904933030176406,0.02359068828971989,2
circular_cone,v_0400_0500,400.0,500.0,1061,30,6,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1061,1.0,-0.01391975929391704,0.06363182894907977,0.08519091632708439,0.14577465959041547,0.5177895003674848,0.07442490601803069,0.041647302953983605,0.08366475446141268,0.011171325515129898,0.02359068828971989,2
circular_cone,v_0500_0600,500.0,600.0,1366,30,6,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1366,1.0,-0.04616656199741574,0.06614332634264732,0.08456089828315944,0.16961412999654613,0.38467884561214305,0.07610165982662105,0.04773879900823734,0.08446631944086068,0.03093172905724236,0.02359068828971989,2
circular_cone,v_0600_0700,600.0,700.0,1363,31,6,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1363,1.0,-0.0882359868330708,0.0950494972658802,0.11305999719030699,0.20175060075011966,0.4134828653614022,0.10271576436378012,0.052199141890495626,0.10910821215753708,0.03189869673023761,0.02359068828971989,2
circular_cone,v_0700_0800,700.0,800.0,1003,31,6,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1003,1.0,-0.13116892081896403,0.13204845406236565,0.14573515740708587,0.24403156070837892,0.38908050201030164,0.13168612213357994,0.05538327562772075,0.14185747717015473,0.030764613754118597,0.02359068828971989,2
