split,bin_width_px,v_start,v_end,v_center,point_count,unique_frame_count,frame_ids,u_min,u_max,u_span,frame_median_u_span,lambda_min,lambda_max,lambda_span,frame_median_lambda_span,board_depth_span,slope_dlambda_du,slope_intercept,robust_RMSE,corr_u_lambda,local_design_condition_number,quadratic_coefficient,quadratic_linear_coefficient,quadratic_intercept,quadratic_RMSE,linear_quadratic_RMSE_ratio,slope_p05,slope_p50,slope_p95,slope_relative_interval,m0_local_gain_dlambda_du,m0_point_derivative_median,m0_derivative_u_trend_slope,m0_derivative_u_trend_RMSE,m0_derivative_u_trend_corr,m0_derivative_u_trend_condition_number,truth_slope_minus_m0_local_gain,truth_slope_to_m0_local_gain_ratio,m0_gain_step_px,classification,task2_support_300px_region,task2_support_point_count,task2_support_unique_frame_count,task2_support_lambda_span
fit,60,1740,1800,1770,486,16,"001,002,003,004,005,006,007,008,009,010,011,012,013,016,017,018",1891.52163475,2110.35589362,218.834258872,217.776479824,649.045346116,712.353780643,63.3084345269,63.2257070024,63.593293018,0.292374264008,94.9969213224,0.530418059291,0.999756295771,81.3215835305,0.00011908009128,0.297519966422,688.666910206,0.0568760924433,9.32585268265,0.286759898494,0.291797051584,0.303038537483,0.0557875376085,0.294965086909,0.294965086909,0.000251951506475,0.000745127580985,0.999425880271,81.3215835305,-0.00259082290065,0.991216509968,0.5,WELL_CONSTRAINED,bin_1500_1799,3056,18,63.5703803768
fit,60,1800,1860,1830,404,15,"001,002,003,004,005,006,008,009,010,011,012,013,016,017,018",1889.48690519,2109.45106942,219.964164235,217.867345295,648.848952821,712.298907717,63.4499548959,63.2723847405,63.593293018,0.292395385133,95.1191915198,0.564230040683,0.999748113641,82.0622539088,0.000120006150964,0.295383990674,685.86452863,0.0535071510828,10.5449464093,0.285608605118,0.291500742185,0.303349020482,0.0608589029013,0.294861144904,0.294861144904,0.000249999514129,0.000732404252569,0.999398292712,82.0622539088,-0.00246575977128,0.991637556138,0.5,WELL_CONSTRAINED,bin_1800_2099,1741,15,63.4499548957
fit,60,1860,1920,1890,301,12,"001,002,003,005,006,008,010,011,012,013,016,018",1891.56369069,2108.65034715,217.086656459,216.083170954,649.485268388,712.241564406,62.7562960182,62.6556966677,59.392393108,0.293543514696,92.93530069,0.542211923771,0.999703618434,73.4502875344,0.000126076797312,0.298498377393,689.609697697,0.0600374469413,9.03122886457,0.286571129515,0.292924080743,0.304213439301,0.060228267137,0.294854565692,0.294854565692,0.00025324976864,0.000710251294376,0.999350569102,73.4502875344,-0.00131105099688,0.995553567252,0.5,WELL_CONSTRAINED,bin_1800_2099,1741,15,63.4499548957
fit,60,1920,1980,1950,310,10,"001,002,003,005,006,008,012,013,016,018",1890.63394323,2108.10841173,217.474468497,216.389022427,649.319699232,712.187836675,62.8681374426,62.7605337635,59.392393108,0.293249909883,93.7429173052,0.522431024171,0.999776018569,85.9372183409,0.000127650608414,0.300627897277,691.652521668,0.0469935560779,11.1170779097,0.287476605329,0.292495837173,0.30348744464,0.0547386912088,0.290376695059,0.290376695059,0.000251562317306,0.000654556612667,0.9995249934,85.9372183409,0.0028732148243,1.00989478451,0.5,WELL_CONSTRAINED,bin_1800_2099,1741,15,63.4499548957
fit,60,1980,2040,2010,383,10,"001,002,003,005,006,008,012,013,016,018",1889.50926845,2107.33123133,217.821962875,216.700253148,649.161549055,712.13163377,62.9700847153,62.8663802919,59.392393108,0.291448374694,97.6300798652,0.472198386703,0.999810898872,87.9209076036,0.000117386412746,0.299733703821,691.733605256,0.0488071603768,9.67477687818,0.281067808927,0.291104682929,0.301783123769,0.071161049811,0.290965018154,0.290965018154,0.000250864250228,0.000669925593983,0.999522158809,87.9209076036,0.000483356539891,1.00166121874,0.5,WELL_CONSTRAINED,bin_1800_2099,1741,15,63.4499548957
fit,60,2040,2100,2070,343,10,"001,002,003,005,006,008,012,013,016,018",1888.42955717,2106.76178682,218.33222965,217.159303958,649.006820726,712.077558754,63.0707380276,62.9582377797,59.392393108,0.291959961438,96.691053336,0.50246631367,0.999812955094,91.6421520685,0.000117278369814,0.300457748749,692.607971238,0.0440326638492,11.4112177131,0.287192862612,0.29081694055,0.305790735807,0.0639504464891,0.310059674331,0.310059674331,0.000249898720896,0.000674584605659,0.999528767008,91.6421520685,-0.0180997128937,0.941625066424,0.5,WELL_CONSTRAINED,bin_1800_2099,1741,15,63.4499548957
fit,60,2100,2160,2130,298,10,"001,002,003,005,006,008,012,013,016,018",1887.64227449,2105.9838402,218.341565715,217.698431467,648.841334216,712.019679912,63.1783456953,63.0968446713,59.392393108,0.291309346671,98.1626900583,0.509138598859,0.999819196476,96.5289581475,0.000115653696052,0.301087111999,693.670213553,0.049879254589,10.2074219644,0.286466722119,0.289870666885,0.303943948649,0.0602931877111,0.294265530833,0.294265530833,0.000248716569627,0.000679949552792,0.999537649445,96.5289581475,-0.00295618416196,0.989954025014,0.5,WELL_CONSTRAINED,bin_2100_2399,1165,10,71.7862047949
fit,60,2160,2220,2190,206,10,"001,002,003,005,006,008,012,013,016,018",1884.04080692,2105.45085387,221.410046943,217.940932535,647.863903285,711.964475414,64.1005721296,63.1737697009,59.392393108,0.289967285236,101.12128346,0.53576206203,0.999797197635,101.400655814,0.000122596132953,0.302575809699,694.507490677,0.0517026072947,10.3623799662,0.28570030145,0.289866474214,0.304421189852,0.0645845244869,0.310089913823,0.310089913823,0.000247380700098,0.000703746695251,0.999517278017,101.400655814,-0.0201226285863,0.935107116713,0.5,WELL_CONSTRAINED,bin_2100_2399,1165,10,71.7862047949
fit,60,2220,2280,2250,209,9,"001,003,005,006,008,012,013,016,018",1872.27851588,2104.79117315,232.512657264,231.606655251,644.96012929,711.909180673,66.9490513825,66.780769301,59.392393108,0.2888804091,103.699746971,0.471737522734,0.999892393421,138.139538628,0.000116441513422,0.30817541506,703.067249713,0.0517769827788,9.11095041496,0.285395104354,0.288337004948,0.311472762088,0.0904415919105,0.310123359575,0.310123359575,0.000246120613003,0.000668034188546,0.999711583079,138.139538628,-0.0212429504747,0.931501611153,0.5,WELL_CONSTRAINED,bin_2100_2399,1165,10,71.7862047949
fit,60,2280,2340,2310,244,10,"001,002,003,005,006,008,012,013,016,018",1862.59232804,2104.18755477,241.595226725,236.981902103,642.55394511,711.855880909,69.3019357981,68.2479473903,59.392393108,0.289484303534,102.374972015,0.569391034946,0.999812459465,113.046827888,0.000115975241409,0.303489519737,696.420203897,0.0637616052684,8.92999843008,0.284917713697,0.288455234994,0.305120423089,0.0700375896889,0.298729354265,0.298729354265,0.000246159314466,0.000757383087251,0.999521038028,113.046827888,-0.00924505073101,0.969052084775,0.5,WELL_CONSTRAINED,bin_2100_2399,1165,10,71.7862047949
