split,bin_width_px,v_start,v_end,v_center,unique_frame_count,bootstrap_reps,bootstrap_seed,slope_p05,slope_p50,slope_p95,slope_interval_width,slope_relative_interval,resampling_unit
fit,30,2550,2580,2565,5,500,20260814,0.273983967226,0.285452375235,0.304216158779,0.0302321915528,0.105909756498,frame
fit,30,2580,2610,2595,5,500,20260814,0.273480438507,0.285527064058,0.302253432561,0.028772994054,0.100771512322,frame
fit,30,2610,2640,2625,4,500,20260814,0.270679609613,0.285261421706,0.289239662782,0.0185600531692,0.0650633130069,frame
fit,30,2640,2670,2655,3,500,20260814,0.284611870726,0.288875082727,0.312597330141,0.0279854594146,0.0968773739514,frame
fit,60,240,300,270,4,500,20260814,0.285857255658,0.290285286443,0.317003879972,0.0311466243138,0.107296600167,frame
fit,60,300,360,330,5,500,20260814,0.286921701173,0.304967179375,0.31878700653,0.0318653053562,0.104487654775,frame
fit,60,360,420,390,10,500,20260814,0.280460258123,0.293421359637,0.304784895205,0.0243246370815,0.0829000217013,frame
fit,60,420,480,450,11,500,20260814,0.28016068267,0.287846357551,0.302264949882,0.0221042672124,0.0767918948167,frame
fit,60,480,540,510,12,500,20260814,0.281190468811,0.28850439481,0.303141874616,0.0219514058054,0.0760869026619,frame
fit,60,540,600,570,14,500,20260814,0.285731595426,0.294883640909,0.305583820615,0.0198522251886,0.0673222330254,frame
fit,60,600,660,630,14,500,20260814,0.285401083986,0.294887166762,0.305955903595,0.0205548196087,0.0697040153846,frame
fit,60,660,720,690,14,500,20260814,0.285322574849,0.292985774249,0.304735900637,0.0194133257878,0.0662603016734,frame
fit,60,720,780,750,14,500,20260814,0.287041981363,0.294612431704,0.303610481405,0.0165685000423,0.0562382922761,frame
fit,60,780,840,810,14,500,20260814,0.287073069812,0.292073350768,0.304037454572,0.0169643847601,0.0580826176557,frame
fit,60,840,900,870,15,500,20260814,0.287857203134,0.293325170577,0.304425275999,0.0165680728656,0.0564836383902,frame
