candidate_type,candidate_id,frame_id,is_frame027,region,candidate_pnp_rmse_px,baseline_pnp_rmse_px,point_count,bias_delta_lambda_mm,rmse_delta_lambda_mm,p95_abs_delta_lambda_mm,max_abs_delta_lambda_mm,subset_id,subset_size,selection_score,min_span_ratio,row_type,candidate_global_p95_abs_mm,candidate_frame_p95_median_mm,candidate_frame_p95_p95_mm,candidate_frame_p95_max_mm,board_center_u_norm_loss,board_center_v_norm_loss,board_tilt_deg_loss,board_center_z_mm_loss,apparent_bbox_area_fraction_loss,predictor,rho,p_value,n,metric
coverage_matched,matched_16_01,003,False,middle,0.1547119883238151,0.15082336512204414,510,-0.18434386949933018,0.18447131040507914,0.19407836488630323,0.19597420553714073,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,003,False,bottom,0.1547119883238151,0.15082336512204414,174,-0.1660352391944845,0.16605009497411738,0.16924238212079104,0.171589554305001,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,004,False,all,0.10143342859750115,0.10089911315776134,900,-0.1951618763774445,0.1953569913396081,0.20837884303779788,0.20969357680746725,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,004,False,top,0.10143342859750115,0.10089911315776134,440,-0.20295836676967527,0.20299798255732496,0.20895256985166952,0.20969357680746725,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,004,False,middle,0.10143342859750115,0.10089911315776134,460,-0.18770436382835423,0.18775746990816997,0.19476199525737456,0.196200317063699,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,004,False,bottom,0.10143342859750115,0.10089911315776134,0,nan,nan,nan,nan,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,005,False,all,0.10497176471801468,0.1029680148290363,900,-0.18475549122991802,0.18525902786509368,0.20592500188751614,0.20766552107966163,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,005,False,top,0.10497176471801468,0.1029680148290363,222,-0.20256004717031362,0.20258954559209275,0.2072390697340495,0.20766552107966163,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,005,False,middle,0.10497176471801468,0.1029680148290363,407,-0.1859649729860882,0.18607568138870545,0.19576914688990427,0.19655752491667045,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,005,False,bottom,0.10497176471801468,0.1029680148290363,271,-0.16835375509143438,0.1684019040017848,0.17495249542065494,0.1754772401018272,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,006,False,all,0.09834627687641408,0.09617947945335815,900,-0.20182880265637512,0.20197518938463785,0.21388023984389407,0.21530904168582765,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,006,False,top,0.09834627687641408,0.09617947945335815,82,-0.21398588957304432,0.21398730135940794,0.21517852854696,0.21530904168582765,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,006,False,middle,0.09834627687641408,0.09617947945335815,621,-0.20353507036782542,0.20360281195413762,0.21131267837358791,0.21252186083233937,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,006,False,bottom,0.09834627687641408,0.09617947945335815,197,-0.19138985150928114,0.19139819291409835,0.19399405346571258,0.19424661546509014,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
coverage_matched,matched_16_01,007,False,all,0.1192985817857252,0.11620290816413645,900,-0.2098021493896368,0.21002691759627432,0.22497571799540877,0.22672362883622554,matched_16_01,16,0.04832887762013157,0.9975542751921842,,,,,,,,,,,,,,,
