candidate_type,candidate_id,status,fit_rms_px,unique_frame_count,subset_size,frame_ids,error,noise_std_u_px,noise_std_v_px,noise_cov_uv_px2,fx,delta_fx,delta_fx_pct,fy,delta_fy,delta_fy_pct,cx,delta_cx,delta_cx_pct,cy,delta_cy,delta_cy_pct,k1,delta_k1,delta_k1_pct,k2,delta_k2,delta_k2_pct,p1,delta_p1,delta_p1_pct,p2,delta_p2,delta_p2_pct,k3,delta_k3,delta_k3_pct
full18_corner_noise_mc,full18_mc_0570,ok,0.17012667464961645,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.834482872236,0.9693684322210174,0.013192518059647228,7349.778879041494,0.9377323976195839,0.012760275789167585,2069.941492357131,-0.27503779070593737,-0.013285460081139268,1512.5377384653514,0.10128436033778598,0.006696767990673773,-0.049434900036973754,-0.00029773488556018857,0.6059260534113727,0.23001697896124787,0.00274100693842666,1.2060258345969939,-0.0004923289033997142,2.082532290257743e-05,-4.058297064537775,-0.0004915819109561483,-1.32040114115315e-05,2.760163340342608,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0571,ok,0.16942880978412145,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7349.325148327397,1.4600338873824512,0.019870178135322526,7350.312358237575,1.4712115936999908,0.020019640707186533,2070.6982921363656,0.481761988528433,0.023271091768068807,1512.831431875645,0.3949777706313853,0.026115329973655912,-0.048252023757667406,0.0008851413937461597,-1.801368457090765,0.21639703845481997,-0.010878933568001237,-4.786662431217701,-0.0004660267182111026,4.712750809118902e-05,-9.183887742829755,-0.000447916277480652,3.0461622063964865e-05,-6.3676900820381235,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0572,ok,0.16557989107843837,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7349.175213236822,1.310098796807324,0.017829652237800607,7350.161486183287,1.320339539412089,0.01796663600512132,2071.36065748272,1.1441273348827963,0.055266070878155556,1512.9865804298533,0.5501263248397663,0.036373516609350995,-0.048987253148878696,0.0001499120025348702,-0.3050888305683169,0.22734914617842755,7.317415560634255e-05,0.032196168805295,-0.000523949958580696,-1.079573227840433e-05,2.1037987655673565,-0.0004513290488102684,2.704885073434842e-05,-5.654285191706616,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0573,ok,0.16641587446686376,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7347.557438382287,-0.3076760577278037,-0.004187285054037793,7348.5092455809445,-0.33190106293022836,-0.004516372803646783,2070.596159216535,0.37962906869779545,0.01833765034571942,1512.2379598310963,-0.1984942739172766,-0.013124139753344933,-0.04971647412819805,-0.0005793089767844872,1.1789629601125287,0.2276758560618185,0.00039988403899729463,0.17594646518864807,-0.0005024496060466818,1.0704620255609838e-05,-2.086043475222964,-0.00047302412160767565,5.353777936941198e-06,-1.119152440369346,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0574,ok,0.1658225478901986,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7347.946182500006,0.08106805999159405,0.0011032872641099415,7348.893024671645,0.051878027770726476,0.0007059348097953993,2068.9730493838574,-1.2434807639797327,-0.06006525143004891,1512.3015890778606,-0.134865027152955,-0.008917070650268184,-0.04849094829243316,0.0006462168589804057,-1.315128491823089,0.21908446624347502,-0.008191505779346187,-3.6042110859495793,-0.0004967322657598102,1.6421960542481462e-05,-3.200199803637109,-0.0004917938496609847,-1.3415950116367871e-05,2.804466955755887,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0575,ok,0.1675042649718598,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.483849043435,0.6187346034203074,0.008420603723445753,7349.452886378978,0.6117397351035834,0.008324302062005483,2070.1278289403394,-0.08870120749770649,-0.004284634298199339,1511.9881061245906,-0.4483479804230228,-0.0296440871420501,-0.04896762838109157,0.00016953677032199854,-0.3450275769869507,0.22434992531007114,-0.002926046712750069,-1.2874421729263394,-0.0004886886485684925,2.446557773379916e-05,-4.767685128522521,-0.0004623404622833397,1.603743726127715e-05,-3.3524619921914653,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0576,ok,0.16494964705770096,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7347.110822429934,-0.7542920100804622,-0.010265458038936078,7348.082468850279,-0.7586777935957798,-0.010323774571481363,2068.834222903645,-1.3823072441923614,-0.06677114321435974,1512.8213364942344,0.3848823892208202,0.02544783869604458,-0.04821238239710732,0.0009247827543062484,-1.8820433605735687,0.2125533142800036,-0.014722657742817613,-6.477876922836033,-0.0005094104491201974,3.743777182094242e-06,-0.7295617945254605,-0.0005347112449454087,-5.6333345400791835e-05,11.775908848301173,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0577,ok,0.1699483291353464,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7347.99753631003,0.13242187001560524,0.0018021815582238976,7348.970384891749,0.1292382478741274,0.001758620785171672,2070.057043815759,-0.15948633207835883,-0.007703847870781404,1513.2535218541937,0.8170677491800689,0.05402327793425013,-0.05051464949504326,-0.0013774843436296924,2.803345165283849,0.24218474373734025,0.014908771714519042,6.559765901263871,-0.00047346103188952146,3.969319441277016e-05,-7.735139335944488,-0.00050643360348671,-2.8055703942093122e-05,5.864757541851377,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0578,ok,0.17302133150616605,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.903450338201,1.038335898186233,0.014131123557857596,7349.895719737562,1.0545730936873952,0.01435019580153812,2070.489515554991,0.2729854071540103,0.01318632148756517,1512.1153029311859,-0.3211511738277295,-0.021234027582188314,-0.048261865679457686,0.0008752994719558801,-1.7813389707336418,0.21637658807413057,-0.010899383948690639,-4.79566047025693,-0.0004802221602083802,3.2932066093911434e-05,-6.417576706171691,-0.0004558734894268355,2.250441011778133e-05,-4.704316428330823,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0579,ok,0.1686219115342435,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7346.684821109391,-1.180293330623499,-0.01606307835324832,7347.695715770045,-1.1454308738293548,-0.01558655100814717,2069.572742133206,-0.6437880146313546,-0.031097617338867484,1514.3503662653657,1.9139121603520834,0.12654496360210013,-0.04944041473541889,-0.00030324958400532176,0.6171491234198682,0.23344768198904625,0.006171709966225042,2.7155136160215516,-0.0004574045363605585,5.57496899417331e-05,-10.864119807305604,-0.000496350753375425,-1.7972853830808136e-05,3.757041002085813,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0580,ok,0.16762728186090403,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.7787043202825,0.9135898802678639,0.012433405704093266,7349.743798083286,0.9026514394108744,0.012282908575634462,2070.9149571810767,0.6984270332395681,0.033736907375079866,1512.0886974481093,-0.3477566569042665,-0.02299314169269029,-0.04858568740244842,0.0005514777489651485,-1.1223230873531247,0.22035781153045644,-0.006918160492364767,-3.043947158510052,-0.0005232692065469607,-1.011498024466905e-05,1.9711384465360449,-0.00043261486309174434,4.57630364528725e-05,-9.566294031650667,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0581,ok,0.1702128391886935,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7346.921408421204,-0.9437060188101896,-0.012843268134517328,7347.897752498681,-0.9433941451934515,-0.012837318515508912,2069.8173073546823,-0.39922279315487685,-0.019284108079572128,1513.5326802083705,1.096226103356912,0.0724808040947152,-0.04900083641408882,0.00013632873732474793,-0.2774452634877453,0.22480089682131668,-0.0024750752015045285,-1.0890175408670133,-0.0004785658851277713,3.458834117452033e-05,-6.740340311285841,-0.0005195945198028565,-4.121662025823969e-05,8.615912293915564,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0582,ok,0.1671086124548362,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.893136053535,1.0280216135206501,0.013990752381945382,7349.9175169848295,1.0763703409547816,0.014646803754172134,2071.3699635424096,1.153433394572403,0.05571559195742846,1513.4402442570283,1.0037901520147443,0.0663690794605145,-0.04931839794780272,-0.00018123279638915246,0.36883038700074217,0.2306219231604746,0.0033459511376534024,1.4721974821506556,-0.0004940397590794307,1.9114467222860966e-05,-3.724897164074201,-0.000448018571346526,3.0359328198090868e-05,-6.346306597146499,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0583,ok,0.1663397419343961,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.3937178757915,0.5286034357768585,0.007193973045831336,7349.3040014519875,0.4628548081127519,0.006298337368799052,2068.7415392911553,-1.4749908566818704,-0.07124814410483618,1512.9273907338297,0.49093662881614364,0.03245998385477002,-0.04880441501181374,0.00033275013959982447,-0.6771862775853523,0.22735220198221595,7.622995939474131e-05,0.03354070327640571,-0.0005317177387584651,-1.8563512456173503e-05,3.6175308522623393,-0.000495567650557157,-1.7189751012540162e-05,3.5933413790443987,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0584,ok,0.16689441729149543,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7345.652222610837,-2.2128918291773516,-0.030116119372259293,7346.646294475433,-2.1948521684416846,-0.029866643252236397,2070.168264346612,-0.048265801225170435,-0.0023314373410844953,1512.4945911758552,0.05813707084166708,0.0038439347771519945,-0.04973350659375298,-0.0005963414423394153,1.2136260618654349,0.23233633351261554,0.005060361489794329,2.226527267601438,-0.0005115626036971314,1.59162260516025e-06,-0.310164571113295,-0.0005047098434013608,-2.6331943856743945e-05,5.504423152033185,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0585,ok,0.1679450095008772,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.002214087453,0.13709964743793535,0.0018658432796827926,7348.892474353139,0.051327709264114674,0.0006984463024834249,2068.660376338108,-1.5561538097290395,-0.07516864961067199,1511.8532584646132,-0.5831956404003904,-0.038560009501060144,-0.048871870344700696,0.00026529480671286937,-0.5399066183313129,0.22324797368537555,-0.00402799833744566,-1.77229396561164,-0.0005446511921873481,-3.1496965885056505e-05,6.137914153415177,-0.000520185336382459,-4.18074368378422e-05,8.739416448301652,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0586,ok,0.16316593267722485,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7346.988364238196,-0.8767502018190498,-0.011932039962138955,7347.917144790604,-0.9240018532709655,-0.012573436203515514,2069.2106145930015,-1.0059155548356102,-0.048589871648052986,1510.4992505637902,-1.9372035412234254,-0.1280849543110073,-0.048814224700681474,0.00032294045073209127,-0.6572223890754939,0.22186983138397504,-0.005406140638846174,-2.378667921087291,-0.0005935195678975501,-8.036534159525848e-05,15.661050318996384,-0.0005019552284839617,-2.3577328939344833e-05,4.928599118351588,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0587,ok,0.16820160339574558,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.651852371813,0.7867379317985979,0.010707027409260706,7349.608634934224,0.7674882903493199,0.010443664178260573,2070.825907604283,0.6093774564460546,0.029435445402541446,1512.4662977561175,0.029843651103874436,0.001973216859648788,-0.04956579059932033,-0.0004286254479067622,0.8723039812858061,0.23072290895737904,0.0034469369345578316,1.5166305984214283,-0.0004874183535225295,2.5735872779762128e-05,-5.015231573792302,-0.0004804975367288788,-2.1196371842619756e-06,0.4430884424802496,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0588,ok,0.16709005856100378,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7348.352751983931,0.4876375439162075,0.006636452034998613,7349.267670233153,0.42652358927807654,0.0058039571242176685,2069.5427369400095,-0.6737932078276572,-0.03254699196994339,1513.2275229015518,0.791068796538184,0.05230426669438486,-0.04916133874566793,-2.417359425436333e-05,0.049196151588871036,0.22314987316795887,-0.004126098854862342,-1.8154575770323986,-0.0004861003050480582,2.7053921254233408e-05,-5.272083881912013,-0.0004987318768565681,-2.0353977311951283e-05,4.254790476593271,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0589,ok,0.16469853233900514,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7349.042356306833,1.1772418668188038,0.016021549776482555,7350.000646610119,1.1594999662438568,0.01577799741627816,2069.270214201807,-0.946315946030154,-0.04571096463820508,1511.1537334004513,-1.28272070456228,-0.08481154372342418,-0.04895804425165313,0.00017912089976043766,-0.36453242511749734,0.2255526159638345,-0.0017233560589867136,-0.7582658402682657,-0.00054131151571852,-2.8157289416228404e-05,5.4871007531449925,-0.0004953885586561302,-1.7010659111513335e-05,3.5559040515262774,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0590,ok,0.16660491402882585,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7346.420889970822,-1.4442244691927044,-0.019655021515766757,7347.347422905022,-1.4937237388530775,-0.020325976695458204,2069.4694493240413,-0.7470808237958408,-0.03608708620167818,1511.1202049802773,-1.3162491247362595,-0.08702839191449876,-0.04927779475758341,-0.0001406296061698467,0.2861980452810089,0.2265908425574438,-0.0006851294653774098,-0.3014526609564405,-0.0005428007769137774,-2.9646550611485802e-05,5.7773178299853765,-0.000491099622621383,-1.2721723076766149e-05,2.659345903913279,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0591,ok,0.1635375528698889,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7347.178383174734,-0.6867312652802866,-0.009345997164955074,7348.224080640965,-0.6170660029092687,-0.008396779717997785,2068.248580459648,-1.9679496881890373,-0.09506008958630541,1513.118345560023,0.6818914550094632,0.04508562678178592,-0.04886746103942859,0.00026970411198497246,-0.5488800812051196,0.22381563059916118,-0.0034603414236600294,-1.522528489422793,-0.000495938746738919,1.7215479563372632e-05,-3.3548353849533035,-0.000550770699754084,-7.239280020946716e-05,15.132973383256244,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0592,ok,0.16538104407979587,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7350.38061703366,2.5155025936455786,0.03423446884867438,7351.3395488812785,2.4984022374037522,0.03399722742060824,2071.459577623312,1.2430474754746683,0.06004432180753095,1512.0916038386085,-0.34485026640504657,-0.022800975569523162,-0.04897925454624236,0.00015791060517120897,-0.3213669422821114,0.22261885845678134,-0.004657113566039872,-2.0491007142507094,-0.0004999848570720099,1.3169369230281707e-05,-2.56635696546399,-0.0004779953142603252,3.8258528429162405e-07,-0.07997553496008473,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0593,ok,0.17129916598052253,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7344.863511338424,-3.0016031015902627,-0.04085000275374566,7345.752695415256,-3.0884512286183963,-0.042026370784036524,2068.6611108845846,-1.5554192632525883,-0.07513316798516306,1511.6343379759974,-0.8021161290162127,-0.05303469952996247,-0.04951176170205632,-0.0003745965506427515,0.7623487221707889,0.23139394113433082,0.004117969111509606,1.8118805410261816,-0.0005014603873390157,1.1693838963275924e-05,-2.278815678385791,-0.0005272720477861951,-4.889414824157826e-05,10.22082087991986,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0594,ok,0.16934300259327106,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7344.939636353155,-2.9254780868595844,-0.03981398734593588,7345.8502583253285,-2.99088831854624,-0.040698774934224045,2069.858794878077,-0.35773526976026915,-0.017280089524486734,1512.5239117773692,0.08745767235564017,0.005782568392758912,-0.048569552610648575,0.0005676125407649904,-1.1551593157967548,0.22313445469402382,-0.004141517328797389,-1.8222416087088749,-0.0004926370494974849,2.051717680480675e-05,-3.998247652104571,-0.0005054843641371515,-2.710646459253463e-05,5.666328778636751,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0595,ok,0.16767710782037842,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7349.905430603629,2.0403161636140794,0.027767468942842363,7350.959197065241,2.118050421366206,0.028821556747535546,2069.5552386868344,-0.6612914610027474,-0.03194310601681476,1513.2403276418215,0.8038735368079415,0.0531508966625401,-0.04904674978476288,9.041536665068545e-05,-0.18400607029745264,0.2257811816031383,-0.0014947904196829231,-0.6576983947660021,-0.0004968661418594259,1.6288084442865722e-05,-3.17411094131195,-0.0005192679387449262,-4.089003920030936e-05,8.547643868839653,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0596,ok,0.17189795721154363,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7346.692875768321,-1.1722386716937763,-0.01595345931691226,7347.638357210393,-1.2027894334814846,-0.016367062635865844,2070.477055816538,0.26052566870066585,0.012584464712107257,1514.167284644246,1.730830539232329,0.11443988503018135,-0.05060391858258139,-0.0014667534311678249,2.9850184206762886,0.24314558007048345,0.015869608047662243,6.9825278521166085,-0.0004618128941919539,5.134133211033771e-05,-10.005049062987409,-0.00047771090932878816,6.669902158286823e-07,-0.13942747281252155,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0597,ok,0.16549244100168511,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7349.633903795557,1.7687893555421397,0.024072153312478712,7350.538768628474,1.697621984599209,0.02310053994532855,2070.055448352832,-0.161081795004975,-0.007780915312924871,1512.2122046185002,-0.22424948651337218,-0.01482703527177756,-0.04920847682235877,-7.131167094520663e-05,0.14512776780154799,0.2248351065634521,-0.0024408654593691126,-1.073965469224358,-0.000505114469855804,8.039756446487638e-06,-1.566732969232438,-0.0004714400056083715,6.937893936245331e-06,-1.450295664337699,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0598,ok,0.16487070525945008,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7350.401351164111,2.536236724095943,0.03451664782348459,7351.414676977797,2.573530333922463,0.035019539578668976,2071.2560757405363,1.0395455926991417,0.05021434123245583,1512.8914510754262,0.45499697041259424,0.030083708256148808,-0.048402948155494514,0.0007342169959190514,-1.4942192811827886,0.2190009090518695,-0.008275062970951708,-3.6409757253709127,-0.0004583411733060041,5.48130529962875e-05,-10.681594379775785,-0.00045883036034409514,1.954753920052171e-05,-4.086212849533733,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0599,ok,0.16766609280309472,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7346.4137664783075,-1.4513479617071425,-0.019751967940387957,7347.384133435003,-1.457013208872013,-0.0198264349412072,2069.3767438574364,-0.8397862904007525,-0.040565142736097376,1510.381171074693,-2.055283030320652,-0.13589219069285582,-0.049145167371643525,-8.002220229959278e-06,0.01628547394889563,0.22750693769478927,0.00023096567196806417,0.1016234447981472,-0.0005947328323519272,-8.157860604963562e-05,15.897483031072,-0.0005195119883698581,-4.113408882524129e-05,8.598659943195148,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0600,ok,0.16904327718913273,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7347.406952266347,-0.45816217366791534,-0.00623531007350061,7348.358348966536,-0.48279767733856715,-0.00656971170970344,2069.192977308501,-1.0235528393359346,-0.04944182525983604,1511.6893263053098,-0.747127799703776,-0.049398954757797736,-0.049377363693688774,-0.00024019854227520787,0.48883272271619416,0.2271049135287442,-0.00017105849407700324,-0.07526466284778531,-0.0005357902435352505,-2.2636017232958907e-05,4.411152841139101,-0.0005106949885360153,-3.2317088991398474e-05,6.7555564381553035,0.0,0.0,nan
full18_corner_noise_mc,full18_mc_0601,ok,0.16529691075860226,18,18,001-018,,0.0808933051911429,0.08373398970588558,-9.501119430953078e-05,7347.452784286381,-0.4123301536337749,-0.005611564001405854,7348.387297298507,-0.4538493453674164,-0.006175794745198484,2069.97990045462,-0.23662969321730998,-0.011430190502846188,1512.8584741717639,0.42202006675029224,0.02790332549872472,-0.04819418139889743,0.0009429837525161341,-1.9190845658482327,0.21629100483915123,-0.01098496718366998,-4.833316556035655,-0.0005164901407424411,-3.335914440149505e-06,0.6500802817483504,-0.0004725458051233952,5.8320944212216495e-06,-1.2191396021374328,0.0,0.0,nan
