scenario,candidate,interior_knot_count,basis_count,smoothness_penalty,robust_loss,robust_huber_k,cv_fold_count,training_frame_count,training_point_count,training_excludes_027,evaluation_frame_count,evaluation_point_count,c0_global_bias_mm,c1_global_bias_mm,c0_global_rmse_mm,c1_global_rmse_mm,global_rmse_improvement_pct,c0_global_p95_abs_mm,c1_global_p95_abs_mm,global_p95_improvement_pct,c0_global_p99_abs_mm,c1_global_p99_abs_mm,global_p99_improvement_pct,c0_worst_v_bin_rmse_mm,c1_worst_v_bin_rmse_mm,worst_v_bin_rmse_improvement_pct,c0_worst_v_bin_rmse_label,c1_worst_v_bin_rmse_label,c0_worst_v_bin_p95_abs_mm,c1_worst_v_bin_p95_abs_mm,worst_v_bin_p95_improvement_pct,c0_worst_v_bin_p95_label,c1_worst_v_bin_p95_label,c0_v_bias_range_mm,c1_v_bias_range_mm,v_bias_range_change_mm,pose_improvement_ratio,median_pose_improvement_pct,p05_pose_improvement_pct,p95_pose_improvement_pct,curve_delta_rms_mm,curve_delta_max_abs_mm,selection_gate_pass,selected_for_followup
full36_grouped_cv,C1_5k,5,9,0.1,Huber_IRLS,1.345,6,30,27000,False,36,32400,0.004186809749711936,0.008391011338803045,0.10142873538324552,0.09059169303558474,10.684390677566206,0.18009618769474323,0.1517785269891798,15.723631392776001,0.4231672249795555,0.4237280325215545,-0.13252622341583567,0.18033925181398608,0.13464197456025315,25.339617855833264,v_0000_0100,v_1900_2000,0.26111456415760104,0.22093610968933558,15.387289712424822,v_0100_0200,v_0300_0400,0.2848451212727076,0.1327491210466871,-0.15209600022602052,0.9166666666666666,17.707967786386686,-1.1458377950419156,34.7366545626029,0.0069364310122593835,0.01567793691519663,True,False
full36_grouped_cv_non027,C1_5k,5,9,0.1,Huber_IRLS,1.345,6,30,27000,False,35,31500,-0.0017794908549570755,0.002521985024644779,0.08553603101384502,0.07155313505458272,16.347375244707116,0.1693022596098217,0.13872275437554185,18.062077437568853,0.22983439506970907,0.19248713321604882,16.24964002552045,0.18033925181398608,0.11419898148999705,36.675471179291854,v_0000_0100,v_0200_0300,0.2665020392163158,0.2209535799297947,17.091223549531684,v_0100_0200,v_0300_0400,0.28967494883907685,0.13499777798138746,-0.1546771708576894,0.9428571428571428,18.04346190796346,0.783329026621832,34.74216975715344,0.0069364310122593835,0.01567793691519663,True,False
exclude027_grouped_cv_non027,C1_5k,5,9,0.1,Huber_IRLS,1.345,6,29,26250,True,35,31500,-0.0017794908549570755,0.002960064344410404,0.08553603101384502,0.07155376143788042,16.346642941266943,0.1693022596098217,0.1382997786299882,18.311912109904853,0.22983439506970907,0.1930070774144143,16.02341444331036,0.18033925181398608,0.10704837473029485,40.640557364232784,v_0000_0100,v_0200_0300,0.2665020392163158,0.20759021370302078,22.10558151319704,v_0100_0200,v_0100_0200,0.28967494883907685,0.13814225249347406,-0.1515326963456028,0.9428571428571428,17.85599383849102,-2.0615789394467163,34.65197409482853,0.0069364310122593835,0.01567793691519663,True,False
full36_fullfit_all36,C1_5k,5,9,0.1,Huber_IRLS,1.345,0,36,32400,False,36,32400,0.004186809749711936,0.008265326648291636,0.10142873538324552,0.08939128688020316,11.867887790929478,0.18009618769474323,0.1500768470819035,16.668504201611125,0.4231672249795555,0.4149360084450595,1.9451450983458523,0.18033925181398608,0.13432257264726802,25.516729554907286,v_0000_0100,v_1900_2000,0.26111456415760104,0.22045288226358717,15.572353087693598,v_0100_0200,v_0100_0200,0.2848451212727076,0.12997486589205282,-0.1548702553806548,0.9444444444444444,18.654596408552145,-0.009806096378180307,36.56214949723371,0.0069364310122593835,0.01567793691519663,True,False
exclude027_fullfit_non027,C1_5k,5,9,0.1,Huber_IRLS,1.345,0,35,31500,True,35,31500,-0.0017794908549570755,0.002689834498179197,0.08553603101384502,0.07051013996153718,17.566738688022266,0.1693022596098217,0.13677911355026925,19.21010749325267,0.22983439506970907,0.19254935068534287,16.22256946052726,0.18033925181398608,0.10532856874583954,41.59420775767527,v_0000_0100,v_0200_0300,0.2665020392163158,0.20806385148578055,21.927857626298255,v_0100_0200,v_0100_0200,0.28967494883907685,0.13546728787078152,-0.15420766096829533,0.9428571428571428,19.01683371439575,-1.0155760992427714,38.014567981943706,0.0069364310122593835,0.01567793691519663,True,False
full36_grouped_cv_027_heldout,C1_3k,3,7,0.1,Huber_IRLS,,0,30,27000,True,1,900,,,0.3380620356620201,0.343278055105088,-1.5429178354361814,0.592178897266535,0.5772552904436631,2.520117973092002,0.6488956228000684,0.6327973436752741,2.4808734346716936,,,2.468347322362859,,,,,,,,,,,0.0,,,,0.007086850585281826,0.016827417913269416,True,True
full36_fullfit_027_in_sample,C1_3k,3,7,0.1,Huber_IRLS,,0,36,32400,False,1,900,,,0.3380620356620201,0.33822651706840273,-0.048654208113177576,0.592178897266535,0.5717920295753195,3.4426873002939162,0.6488956228000684,0.6278166179529855,3.2484430633272403,,,2.9680230701720594,,,,,,,,,,,0.0,,,,0.007086850585281826,0.016827417913269416,True,True
exclude027_fullfit_027_heldout,C1_3k,3,7,0.1,Huber_IRLS,,0,35,31500,True,1,900,,,0.3380620356620201,0.3433183093425535,-1.5548251877026447,0.592178897266535,0.5773805034462625,2.498973517729382,0.6488956228000684,0.6330316960988155,2.4447578537820958,,,2.409519340134875,,,,,,,,,,,0.0,,,,0.007086850585281826,0.016827417913269416,True,True
full36_grouped_cv_027_heldout,C1_4k,4,8,0.1,Huber_IRLS,,0,30,27000,True,1,900,,,0.3380620356620201,0.3426179845639511,-1.3476665290171324,0.592178897266535,0.5803263887388146,2.0015080885913,0.6488956228000684,0.6360155203791888,1.9849266921080855,,,2.131894889264366,,,,,,,,,,,0.0,,,,0.0069629574687583955,0.015701270668206785,True,False
full36_fullfit_027_in_sample,C1_4k,4,8,0.1,Huber_IRLS,,0,36,32400,False,1,900,,,0.3380620356620201,0.33766389902234184,0.11777028997017817,0.592178897266535,0.5766830055834085,2.6167585090679135,0.6488956228000684,0.6329312810141287,2.4602326206257263,,,2.3964003219317283,,,,,,,,,,,1.0,,,,0.0069629574687583955,0.015701270668206785,True,False
exclude027_fullfit_027_heldout,C1_4k,4,8,0.1,Huber_IRLS,,0,35,31500,True,1,900,,,0.3380620356620201,0.3427769353278134,-1.39468475262542,0.592178897266535,0.5817684299673349,1.7579936311905546,0.6488956228000684,0.637601725339716,1.7404798342786993,,,1.9192080840887757,,,,,,,,,,,0.0,,,,0.0069629574687583955,0.015701270668206785,True,False
full36_grouped_cv_027_heldout,C1_5k,5,9,0.1,Huber_IRLS,,0,30,27000,True,1,900,,,0.3380620356620201,0.3409574529601204,-0.8564751414426929,0.592178897266535,0.5778262617715026,2.423699250561507,0.6488956228000684,0.6355374189649727,2.0586059399589254,,,1.4764541538520681,,,,,,,,,,,0.0,,,,0.0069364310122593835,0.01567793691519663,True,False
full36_fullfit_027_in_sample,C1_5k,5,9,0.1,Huber_IRLS,,0,36,32400,False,1,900,,,0.3380620356620201,0.3358164816556297,0.6642431771414226,0.592178897266535,0.5745174491130695,2.9824514576574517,0.6488956228000684,0.6329738074800186,2.453678952455417,,,1.5678375656789763,,,,,,,,,,,1.0,,,,0.0069364310122593835,0.01567793691519663,True,False
exclude027_fullfit_027_heldout,C1_5k,5,9,0.1,Huber_IRLS,,0,35,31500,True,1,900,,,0.3380620356620201,0.3411554750910512,-0.9150508198808244,0.592178897266535,0.5794455513430736,2.1502532397283733,0.6488956228000684,0.637429092383174,1.7670839521793695,,,1.1686412825462995,,,,,,,,,,,0.0,,,,0.0069364310122593835,0.01567793691519663,True,False
