scenario,candidate,model,interior_knot_count,basis_count,smoothness_penalty,v_bin_index,v_bin,v_start_px,v_end_px,point_count,frame_count,bias_mm,rmse_mm,p95_abs_mm,p99_abs_mm,max_abs_mm
full36_grouped_cv,C1_3k,C0,3,7,0.1,12,v_1200_1300,1200.0,1300.0,1469,36,0.06614709507540498,0.10053207378465702,0.1660975475905813,0.4012214900396799,0.4313197142058698
full36_grouped_cv,C1_3k,C0,3,7,0.1,13,v_1300_1400,1300.0,1400.0,1602,36,0.05864312467835675,0.10296871690869443,0.155733481986729,0.4410719552332927,0.4665276683218735
full36_grouped_cv,C1_3k,C0,3,7,0.1,14,v_1400_1500,1400.0,1500.0,1593,36,0.04893657712410663,0.10143109114562539,0.1366283739694058,0.4869275631389791,0.5367846632395867
full36_grouped_cv,C1_3k,C0,3,7,0.1,15,v_1500_1600,1500.0,1600.0,1539,36,0.02823271504705705,0.10443717620029436,0.14445841905908655,0.5195015261617255,0.561264223555213
full36_grouped_cv,C1_3k,C0,3,7,0.1,16,v_1600_1700,1600.0,1700.0,1493,36,-0.009776685623072464,0.11102483670202092,0.15952046724109523,0.5272662867408932,0.5725298157542511
full36_grouped_cv,C1_3k,C0,3,7,0.1,17,v_1700_1800,1700.0,1800.0,1464,36,-0.0029784630323613026,0.11513099129851151,0.14920864638722223,0.5897552395466307,0.6241623458050753
full36_grouped_cv,C1_3k,C0,3,7,0.1,18,v_1800_1900,1800.0,1900.0,1342,36,0.02147581582250184,0.12597419483498762,0.15176576555109375,0.6501738806756879,0.7228659990850019
full36_grouped_cv,C1_3k,C0,3,7,0.1,19,v_1900_2000,1900.0,2000.0,1253,36,0.022315851201744685,0.13571067125512937,0.14665532858308145,0.5480407800229996,0.721635899331659
full36_grouped_cv,C1_3k,C0,3,7,0.1,20,v_2000_2100,2000.0,2100.0,1126,30,0.009973015902239504,0.06659659953673448,0.1290285978546424,0.17536233858463568,0.2410398596762206
full36_grouped_cv,C1_3k,C0,3,7,0.1,21,v_2100_2200,2100.0,2200.0,842,25,0.00743196396530471,0.07003394740572626,0.14729945262568994,0.1824650088174553,0.2604344276544452
full36_grouped_cv,C1_3k,C0,3,7,0.1,22,v_2200_2300,2200.0,2300.0,689,23,0.0214009164874045,0.0691235675573569,0.140755338495021,0.19238970771727107,0.2942356733212818
full36_grouped_cv,C1_3k,C0,3,7,0.1,23,v_2300_2400,2300.0,2400.0,948,24,0.03955359726595571,0.07885291658835736,0.13442866467890885,0.2894473177349534,0.5468938822320979
full36_grouped_cv,C1_3k,C0,3,7,0.1,24,v_2400_2500,2400.0,2500.0,1089,24,0.045896897463021856,0.07342255009189358,0.1562786992023046,0.2211319181943826,0.2235989540171203
full36_grouped_cv,C1_3k,C0,3,7,0.1,25,v_2500_2600,2500.0,2600.0,813,24,0.027843471139610186,0.06585753335022303,0.13408227072193352,0.18141991312479297,0.2600665925551766
full36_grouped_cv,C1_3k,C0,3,7,0.1,26,v_2600_2700,2600.0,2700.0,441,20,0.007666429355021539,0.059935531197308135,0.12657093232634187,0.19154606362517781,0.2209102815943424
full36_grouped_cv,C1_3k,C0,3,7,0.1,27,v_2700_2800,2700.0,2800.0,541,18,-0.050285897794756035,0.08863257425615513,0.14868127869897046,0.22527681330694702,0.4147937548120808
full36_grouped_cv,C1_3k,C0,3,7,0.1,28,v_2800_2900,2800.0,2900.0,580,15,-0.09579441420854594,0.1053780795847208,0.15652447863847269,0.18036562192537503,0.2298343950697017
