scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
1689,2107.74565923959,0.02792078038863303,0.9161284779489733,0.00872760743157922,1.0,1.0,True
1690,2107.7941182106733,0.011338534847219011,0.8971869218466964,0.003544441817304262,1.0,1.0,True
1691,2107.827952466905,0.00018682644273666552,0.882817472656825,5.8404571996898765e-05,1.0,1.0,True
1692,2107.821304485202,0.006074583129026646,0.8811042647959084,0.001899008413246479,1.0,1.0,True
1693,2107.7869023010135,0.009465792317198074,0.8880685984611887,0.00295909239119456,1.0,1.0,True
1694,2107.738752245903,0.011441857846343469,0.8993316091080032,0.003576711553860269,1.0,1.0,True
1695,2107.664191350341,0.010476378914080164,0.918851108674744,0.003274719815287164,1.0,1.0,False
1696,2107.5597338974476,0.008151664117340526,0.9477151829581771,0.002547846270047409,1.0,1.0,False
1697,2107.555572837591,0.017480869035226918,0.9452310782842233,0.005463775279585971,1.0,1.0,True
1698,2107.5817806124687,0.02412574117145447,0.9332559866798533,0.007540933483449243,1.0,1.0,True
1699,2107.612430781126,0.01945713476190274,0.9198931580027647,0.00608190582609836,1.0,1.0,True
1700,2107.5869246572256,0.006859041346935661,0.9240846078189975,0.002143970563920518,1.0,1.0,True
1701,2107.519482731819,0.006851475987627955,0.9413849165168244,0.002141499004097585,1.0,1.0,True
1702,2107.5127252042294,0.010415118469769578,0.939718478578925,0.003255365905406399,1.0,1.0,True
1703,2107.530518859625,0.007487092610020748,0.9303793952707338,0.0023402388046949367,1.0,1.0,True
1704,2107.5408416837454,0.0015079510194470221,0.9233765077659086,0.0004713491053153097,1.0,1.0,True
1705,2107.6030836105347,0.0032330004555736593,0.9001453573825415,0.001010624491086189,1.0,1.0,True
1706,2107.6356054395437,0.009257702789387662,0.8862047955410048,0.0028940389485322413,1.0,1.0,True
1707,2107.627995312214,0.012561362436489835,0.8848107881856322,0.003926805701225184,1.0,1.0,True
1708,2107.5887634903193,0.010458887971948142,0.893303160078176,0.0032694706988197603,1.0,1.0,True
1709,2107.5260850936174,0.006728133235460824,0.9091257374093971,0.0021031328457801575,1.0,1.0,True
1710,2107.503504604101,0.001921854145248257,0.9124150386168708,0.0006007423872450169,1.0,1.0,True
1711,2107.4412223398685,0.004032146850188721,0.9281153576999372,0.0012603307406863432,1.0,1.0,True
1712,2107.390880689025,0.009746564085265521,0.9400840445728704,0.003046384367403558,1.0,1.0,True
1713,2107.352989792824,0.011622414945364139,0.9481620482328026,0.0036326146009729014,1.0,1.0,True
1714,2107.34342969954,0.013475211479327296,0.9473863177984185,0.004211718242973237,1.0,1.0,True
1715,2107.3748180419207,0.009842490312476316,0.9338130072387685,0.0030764181073239224,1.0,1.0,True
1716,2107.408087477088,0.007567614164100811,0.9196524186320971,0.002365466034207471,1.0,1.0,True
1717,2107.423351302743,0.021755212750383494,0.911120792658437,0.006800353102792123,1.0,1.0,True
1718,2107.438344284892,0.027118314929697736,0.902674866651239,0.00847697920640375,1.0,1.0,True
1719,2107.4529937803745,0.026541809262341474,0.8943373645300312,0.008296961932361865,1.0,1.0,True
1720,2107.443494990468,0.025104412067301688,0.8935497422888261,0.007847646369080663,1.0,1.0,True
1721,2107.3988207429647,0.024120915357299974,0.9037590488357523,0.007539982129087629,1.0,1.0,True
1722,2107.343292400241,0.0207489567421859,0.9173620588446738,0.006485683521878955,1.0,1.0,True
1723,2107.2913404405117,0.013735152167518234,0.929847902435256,0.004293162282293189,1.0,1.0,True
1724,2107.2415011897683,0.005241919453133296,0.9416741701602973,0.0016383977159082743,1.0,1.0,True
1725,2107.20118547976,0.002014914386760311,0.9505246867757364,0.0006297590843557046,1.0,1.0,True
1726,2107.1921136528254,0.005804463976920326,0.9496110710978769,0.0018141822967364602,1.0,1.0,True
1727,2107.2122978568077,0.004518774363095504,0.9395545852918303,0.0014123806520992862,1.0,1.0,True
1728,2107.2419287860394,0.0007525952004347792,0.9265462960227069,0.00023523855812930482,1.0,1.0,True
1729,2107.263276696205,4.239972960195939e-05,0.9161278657032881,1.3253264656043412e-05,1.0,1.0,True
1730,2107.263647571206,0.0060816005793037095,0.9122674687858421,0.0019010009323435907,1.0,1.0,True
1731,2107.251292295754,0.01319646275998837,0.9123862406664216,0.004124978232612335,1.0,1.0,True
1732,2107.231779061258,0.016231752349197427,0.9147436827156525,0.0050737194147763825,1.0,1.0,True
1733,2107.203213095665,0.014286116844676896,0.9199320133926108,0.004465485068443353,1.0,1.0,True
1734,2107.170518003404,0.008232301575253993,0.9264121347979426,0.0025731643196163258,1.0,1.0,True
1735,2107.1582096666098,0.000569340703109412,0.9265211418276067,0.00017795827579312413,1.0,1.0,True
1736,2107.1938221156597,0.009227757453520672,0.9116524996968565,0.002884432662925873,1.0,1.0,True
1737,2107.272314488888,0.013013471680466196,0.8833801413751416,0.004068106410979845,1.0,1.0,True
1738,2107.335310176015,0.006624367694427003,0.8599514945402689,0.0020709635604939623,1.0,1.0,True
1739,2107.3010109364986,0.003973815611849644,0.8669403482122107,0.0012423012444410316,1.0,1.0,False
1740,2107.1767340302467,0.008500682169859239,0.9020575535304829,0.002657230907773188,1.0,1.0,False
1741,2107.036153031513,0.005750913771709203,0.9422683976706026,0.001797472951755154,1.0,1.0,False
1742,2106.929749365896,0.0009305866100523487,0.9717946168814819,0.000290834248484189,1.0,1.0,False
1743,2106.8938373439014,0.0043123759775815914,0.9792901176450641,0.0013477083634543658,1.0,1.0,True
1744,2106.9046024270356,0.0024685988691997658,0.9721991147921472,0.0007715045258892295,1.0,1.0,True
1745,2106.8745600022376,0.0040209199834166315,0.9778626786692257,0.0012566265094235054,1.0,1.0,True
1746,2106.809648156166,0.008637785868065177,0.994424485817035,0.0026993707607760706,1.0,1.0,True
1747,2106.753869190812,0.012877358433200264,1.0081327546618581,0.0040241091269218755,1.0,1.0,True
1748,2106.7329819351435,0.014404507342143998,1.0109384851904792,0.00450129789423152,1.0,1.0,True
1749,2106.7640786096454,0.009735532147667796,0.9975006071369421,0.003042394781457881,1.0,1.0,True
1750,2106.8247631192207,0.004570383179097093,0.9748166475143307,0.001428356044081567,1.0,1.0,True
1751,2106.873342718929,0.0065670005652476125,0.9559157538369618,0.002052457725227398,1.0,1.0,True
1752,2106.895509108901,0.014194763550529534,0.9452706273482931,0.004436580796102445,1.0,1.0,True
1753,2106.90059992671,0.019062450599022472,0.9399635076277377,0.005958067401741031,1.0,1.0,True
1754,2106.8918894156814,0.02320847823388763,0.9389712489247017,0.007253948117072534,1.0,1.0,True
1755,2106.8887753374875,0.026255194887399202,0.9362310074982361,0.008206279309282603,1.0,1.0,True
1756,2106.9563687248155,0.020503255103346562,0.9113909310607937,0.006408915353235395,1.0,1.0,False
1757,2107.2125717028975,0.007299823625374719,0.8275855543416242,0.002282326989671189,1.0,1.0,False
