row_v_px,bias_mm,build_sample_count,supported,in_high_precision_work_region,smooth_window,aggregate
742,-0.150960946,5,True,True,1,median
743,-0.149079798,5,True,True,1,median
744,-0.152664231,5,True,True,1,median
745,-0.159185461,5,True,True,1,median
746,-0.168939333,5,True,True,1,median
747,-0.164449875,5,True,True,1,median
748,-0.150507340,5,True,True,1,median
749,-0.141998761,5,True,True,1,median
750,-0.138902046,5,True,True,1,median
751,-0.137725061,5,True,True,1,median
752,-0.134321118,5,True,True,1,median
753,-0.135102245,5,True,True,1,median
754,-0.141251543,5,True,True,1,median
755,-0.145319400,5,True,True,1,median
756,-0.134135384,5,True,True,1,median
757,-0.114849044,5,True,True,1,median
758,-0.111606580,5,True,True,1,median
759,-0.135545655,5,True,True,1,median
760,-0.129746475,5,True,True,1,median
761,-0.111388791,5,True,True,1,median
762,-0.116045519,5,True,True,1,median
763,-0.143113969,5,True,True,1,median
764,-0.165477589,5,True,True,1,median
765,-0.171049922,5,True,True,1,median
766,-0.179495958,5,True,True,1,median
767,-0.183631883,5,True,True,1,median
768,-0.170077541,5,True,True,1,median
769,-0.159666201,5,True,True,1,median
770,-0.177859468,6,True,True,1,median
771,-0.166851600,5,True,True,1,median
772,-0.168101687,5,True,True,1,median
773,-0.157909949,5,True,True,1,median
774,-0.145400275,5,True,True,1,median
775,-0.145529201,5,True,True,1,median
776,-0.156804159,5,True,True,1,median
777,-0.166996977,5,True,True,1,median
778,-0.168955349,5,True,True,1,median
779,-0.167647320,5,True,True,1,median
780,-0.168136182,5,True,True,1,median
781,-0.169386878,5,True,True,1,median
782,-0.166826699,5,True,True,1,median
783,-0.158150871,5,True,True,1,median
784,-0.151538342,6,True,True,1,median
785,-0.142770734,6,True,True,1,median
786,-0.130496788,6,True,True,1,median
787,-0.117585412,6,True,True,1,median
788,-0.108293666,6,True,True,1,median
789,-0.109871644,6,True,True,1,median
790,-0.114510355,6,True,True,1,median
791,-0.137829419,5,True,True,1,median
792,-0.143080160,5,True,True,1,median
793,-0.144873136,5,True,True,1,median
794,-0.141604690,5,True,True,1,median
795,-0.138780203,5,True,True,1,median
796,-0.143335294,5,True,True,1,median
797,-0.142826308,5,True,True,1,median
798,-0.147651563,5,True,True,1,median
799,-0.153471916,5,True,True,1,median
800,-0.167630471,5,True,True,1,median
801,-0.170803676,5,True,True,1,median
802,-0.165051244,5,True,True,1,median
803,-0.148430803,5,True,True,1,median
804,-0.143909740,5,True,True,1,median
805,-0.155998688,5,True,True,1,median
