split,bin_width_px,v_start,v_end,v_center,point_count,unique_frame_count,frame_ids,u_min,u_max,u_span,frame_median_u_span,lambda_min,lambda_max,lambda_span,frame_median_lambda_span,board_depth_span,slope_dlambda_du,slope_intercept,robust_RMSE,corr_u_lambda,local_design_condition_number,quadratic_coefficient,quadratic_linear_coefficient,quadratic_intercept,quadratic_RMSE,linear_quadratic_RMSE_ratio,slope_p05,slope_p50,slope_p95,slope_relative_interval,m0_local_gain_dlambda_du,m0_point_derivative_median,m0_derivative_u_trend_slope,m0_derivative_u_trend_RMSE,m0_derivative_u_trend_corr,m0_derivative_u_trend_condition_number,truth_slope_minus_m0_local_gain,truth_slope_to_m0_local_gain_ratio,m0_gain_step_px,classification,task2_support_300px_region,task2_support_point_count,task2_support_unique_frame_count,task2_support_lambda_span
fit,30,900,930,915,424,27,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1842.71692233,2122.07116367,279.354241345,277.812089074,633.883794703,713.140380939,79.2565862367,78.8655417633,63.593293018,0.28901371952,99.2517580055,0.79936837265,0.999519299442,88.3061145556,0.000119813431462,0.293383921559,683.428566594,0.0624952495176,12.790866167,0.28324558834,0.28865775594,0.296441868668,0.0457160081651,0.293136081856,0.293136081856,0.000246426162203,0.00102156724978,0.998899165284,88.3061145556,-0.00412236233556,0.985937035422,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,930,960,945,413,27,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1845.6991273,2121.73298575,276.03385845,274.394698483,634.726810823,713.116500385,78.3896895616,78.0242580832,63.593293018,0.289343011134,98.6766834428,0.789894426032,0.999520291883,86.8133463006,0.000120554638718,0.293060002395,682.975599082,0.0694106243015,11.38002192,0.283681775632,0.290017264297,0.297645969952,0.0481495277683,0.29569624481,0.29569624481,0.000246700144126,0.00100584202048,0.998911141581,86.8133463006,-0.00635323367555,0.978514324118,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,960,990,975,412,27,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1848.68727394,2121.03084001,272.343566074,271.749657527,635.518734431,713.085379771,77.5666453397,77.3820287307,63.593293018,0.288943341613,99.6258157218,0.759964339377,0.999536460028,85.387399714,0.000119215875833,0.292686138664,682.554000863,0.0713324000926,10.6538450745,0.282922316699,0.289299727908,0.29691106876,0.0483538375996,0.295086891845,0.295086891845,0.000247081089966,0.000987982419816,0.998933200405,85.387399714,-0.00614355023256,0.979180538335,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,990,1020,1005,401,27,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1851.50823991,2120.56017837,269.051938457,268.585906953,636.443734953,713.057855836,76.6141208829,76.4108894999,63.593293018,0.289134641303,99.3377354546,0.765438603006,0.999519870562,84.0293011568,0.000122151575295,0.292223753795,682.090540495,0.0669409268944,11.4345384583,0.282968657815,0.289209120364,0.296506251209,0.0468090127203,0.294043172527,0.294043172527,0.000246869635134,0.000964097014668,0.998938537836,84.0293011568,-0.00490853122311,0.983306766891,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,1020,1050,1035,402,27,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1854.97102213,2120.02271956,265.05169743,264.249443654,637.455106334,713.02828046,75.573174126,75.3423479223,63.593293018,0.289234976476,99.2401897517,0.739837235655,0.999539897585,82.8187296809,0.000120871221995,0.291757870181,681.613625351,0.0683667930014,10.8215875453,0.284178377895,0.289234976476,0.296101050071,0.041221405244,0.293581529303,0.293581529303,0.00024695727306,0.000944511307807,0.998954377227,82.8187296809,-0.00434655282658,0.985194733344,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,1050,1080,1065,369,27,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1857.34544472,2119.52813035,262.182685632,261.506133722,638.354807983,713.002416694,74.6476087109,74.567576611,63.593293018,0.290227171402,97.2992629304,0.745109788571,0.999532460594,81.7067666237,0.000122206161245,0.291556225213,681.155279904,0.0816414974236,9.12660610211,0.285077505041,0.290292411663,0.29661004621,0.039727325642,0.292944703467,0.292944703467,0.000247356106944,0.0009338301789,0.998964063638,81.7067666237,-0.00271753206512,0.990723395805,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,1080,1110,1095,384,29,"001,002,003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1861.23173012,2119.08185442,257.850124302,257.767118067,639.378582202,712.974014069,73.5954318678,73.5829888319,63.593293018,0.290620163769,96.4460047296,0.739834015402,0.999509619231,78.2658785128,0.000123463819194,0.291095453984,680.802827417,0.0788854658958,9.3785845973,0.284687519952,0.290649301539,0.297225814856,0.0431389129015,0.295453080878,0.295453080878,0.000247887957603,0.000927241190251,0.998932918455,78.2658785128,-0.00483291710866,0.983642353316,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,1110,1140,1125,393,27,"002,003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,027,028,029,030,031,032,033,034,035,036",1872.74936526,2118.63531083,245.885945569,245.39994065,642.348338705,712.949774135,70.6014354303,70.5744209858,63.593293018,0.29138489006,94.9969363055,0.648383069266,0.999564563166,74.6827096632,0.000121611616121,0.290707449462,680.275888072,0.119464190641,5.42742612483,0.285466193315,0.29142651181,0.298791398548,0.0457240665957,0.290208308822,0.290208308822,0.000249102411955,0.000824742454335,0.999035003444,74.6827096632,0.00117658123786,1.00405426448,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,1140,1170,1155,384,28,"002,003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1866.3416924,2118.05051131,251.708818908,251.540318552,640.788866855,712.923881708,72.1350148532,72.1223973443,63.593293018,0.290565766499,96.8482126185,0.704307299423,0.999529355339,77.5772242116,0.000121615383843,0.29054432776,679.901929822,0.0883468273711,7.97207234692,0.28458311412,0.290404469905,0.29816702288,0.0467758253341,0.289727184188,0.289727184188,0.0002476421289,0.000900862810697,0.998944107174,77.5772242116,0.000838582310942,1.00289438602,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
fit,30,1170,1200,1185,406,30,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036",1869.33185055,2117.61885596,248.287005408,247.983334147,641.813343719,712.897726795,71.0843830759,71.0566334615,63.593293018,0.290789643386,96.5088002392,0.701886961402,0.999520882481,77.1049262472,0.0001237672503,0.290057604561,679.616193841,0.0985979086473,7.11868001088,0.284741550223,0.291065819223,0.298771986906,0.0482036562047,0.289615000075,0.289615000075,0.000248652687726,0.000897955542797,0.998967344101,77.1049262472,0.00117464331116,1.0040558787,0.5,WELL_CONSTRAINED,bin_0900_1199,3988,30,79.2565862367
