split,bin_width_px,v_start,v_end,v_center,unique_frame_count,bootstrap_reps,bootstrap_seed,slope_p05,slope_p50,slope_p95,slope_interval_width,slope_relative_interval,resampling_unit
fit,30,2460,2490,2475,16,500,20260814,0.27963253988,0.286351568975,0.296481203911,0.0168486640317,0.0588390840395,frame
fit,30,2490,2520,2505,15,500,20260814,0.277861174262,0.286298229011,0.296603339713,0.0187421654506,0.0654637840945,frame
fit,30,2520,2550,2535,13,500,20260814,0.278982043246,0.288445338873,0.298491388815,0.0195093455685,0.0676361963232,frame
fit,30,2550,2580,2565,12,500,20260814,0.281978299121,0.291729002347,0.299847308402,0.0178690092813,0.0612520837405,frame
fit,30,2580,2610,2595,11,500,20260814,0.280593571387,0.290260128063,0.299012775027,0.0184192036398,0.0634575742894,frame
fit,30,2610,2640,2625,11,500,20260814,0.280797017251,0.291709123914,0.298869270868,0.0180722536166,0.0619529940448,frame
fit,30,2640,2670,2655,9,500,20260814,0.285198760912,0.294543127465,0.304018025827,0.0188192649142,0.0638930708592,frame
fit,30,2670,2700,2685,8,500,20260814,0.281847590417,0.291757605033,0.299483316263,0.0176357258455,0.0604464992216,frame
fit,30,2700,2730,2715,7,500,20260814,0.281994199995,0.293143517266,0.301935072148,0.0199408721531,0.0680242644934,frame
fit,30,2730,2760,2745,5,500,20260814,0.274856973085,0.285085784645,0.297894172385,0.0230371993001,0.0808079551521,frame
fit,60,240,300,270,8,500,20260814,0.271378234223,0.281978788001,0.302928157348,0.0315499231243,0.111887576182,frame
fit,60,300,360,330,9,500,20260814,0.274321798024,0.287093602767,0.307325177373,0.033003379349,0.114956860866,frame
fit,60,360,420,390,15,500,20260814,0.274358402366,0.283201853958,0.296760312488,0.0224019101224,0.0791022721401,frame
fit,60,420,480,450,17,500,20260814,0.272528629712,0.279986298479,0.291974194485,0.0194455647732,0.0694518441751,frame
fit,60,480,540,510,19,500,20260814,0.27518070624,0.281204730733,0.289936131003,0.0147554247622,0.0524721782728,frame
fit,60,540,600,570,23,500,20260814,0.27735238415,0.285527515701,0.295262608554,0.0179102244039,0.0627267896052,frame
fit,60,600,660,630,25,500,20260814,0.280180585745,0.288620998649,0.300027401478,0.0198468157327,0.068764281967,frame
fit,60,660,720,690,26,500,20260814,0.281522480822,0.287780758148,0.29668614205,0.0151636612282,0.0526917133926,frame
fit,60,720,780,750,26,500,20260814,0.281588278588,0.288022546754,0.296623584052,0.0150353054633,0.0522018350046,frame
fit,60,780,840,810,26,500,20260814,0.282099332005,0.288062187808,0.297320917258,0.0152215852528,0.0528413165524,frame
fit,60,840,900,870,27,500,20260814,0.283244266317,0.288767705415,0.297667307043,0.0144230407253,0.0499468619754,frame
fit,60,900,960,930,27,500,20260814,0.283005670357,0.288963065356,0.297294963942,0.0142892935854,0.0494502422576,frame
fit,60,960,1020,990,27,500,20260814,0.283202297777,0.289078552591,0.29660362391,0.013401326133,0.046358770005,frame
fit,60,1020,1080,1050,27,500,20260814,0.284281667121,0.289643786772,0.296564750719,0.0122830835979,0.0424075507878,frame
fit,60,1080,1140,1110,29,500,20260814,0.283768740509,0.29002354075,0.297551688997,0.0137829484886,0.0475235508571,frame
fit,60,1140,1200,1170,30,500,20260814,0.285039941633,0.291441815894,0.298854151451,0.0138142098176,0.0473995462018,frame
fit,60,1200,1260,1230,30,500,20260814,0.284416950414,0.291045147987,0.298281197303,0.0138642468888,0.0476360694713,frame
fit,60,1260,1320,1290,30,500,20260814,0.285996268741,0.291761096813,0.297741623295,0.0117453545539,0.0402567534951,frame
fit,60,1320,1380,1350,30,500,20260814,0.285666084722,0.291240046946,0.297841437474,0.0121753527515,0.0418052149048,frame
fit,60,1380,1440,1410,30,500,20260814,0.286190016798,0.291283865441,0.297553752396,0.0113637355973,0.0390125816961,frame
fit,60,1440,1500,1470,30,500,20260814,0.286350535127,0.292829399556,0.29804501573,0.0116944806027,0.0399361560705,frame
fit,60,1500,1560,1530,30,500,20260814,0.286887892347,0.291435911296,0.297974929716,0.0110870373692,0.0380427975398,frame
fit,60,1560,1620,1590,30,500,20260814,0.286875217864,0.292254583725,0.297654858901,0.0107796410369,0.0368844207661,frame
fit,60,1620,1680,1650,30,500,20260814,0.286493806771,0.29174316244,0.297312838107,0.0108190313354,0.0370840956303,frame
fit,60,1680,1740,1710,30,500,20260814,0.287039926432,0.291930163088,0.297270561981,0.0102306355492,0.0350448046922,frame
fit,60,1740,1800,1770,28,500,20260814,0.28607077277,0.290292686996,0.297049499705,0.0109787269348,0.0378195091596,frame
fit,60,1800,1860,1830,26,500,20260814,0.284538046769,0.290169201437,0.29764084214,0.0131027953712,0.0451557067612,frame
fit,60,1860,1920,1890,23,500,20260814,0.285060233302,0.290830512035,0.299073555949,0.0140133226472,0.0481838117642,frame
fit,60,1920,1980,1950,21,500,20260814,0.284687288442,0.291615936279,0.29892844664,0.0142411581985,0.0488353221712,frame
fit,60,1980,2040,2010,21,500,20260814,0.284728033443,0.291198074198,0.299166648206,0.0144386147623,0.0495834830024,frame
fit,60,2040,2100,2070,21,500,20260814,0.284307327266,0.290392977991,0.299019550252,0.0147122229864,0.0506631499433,frame
fit,60,2100,2160,2130,21,500,20260814,0.28683795192,0.291311825054,0.298668637748,0.0118306858282,0.0406117596702,frame
fit,60,2160,2220,2190,21,500,20260814,0.28390759217,0.290782875331,0.299526052434,0.0156184602643,0.0537117608682,frame
fit,60,2220,2280,2250,20,500,20260814,0.284254205444,0.290109392099,0.298878945651,0.0146247402075,0.0504111228587,frame
fit,60,2280,2340,2310,21,500,20260814,0.285355106362,0.291915961921,0.299451254709,0.0140961483478,0.0482883781174,frame
fit,60,2340,2400,2370,19,500,20260814,0.282195922347,0.29029589368,0.297154348454,0.0149584261071,0.0515282042659,frame
fit,60,2400,2460,2430,16,500,20260814,0.28028069037,0.286712086259,0.295320315371,0.0150396250002,0.0524554970682,frame
fit,60,2460,2520,2490,16,500,20260814,0.278021926516,0.286409537178,0.295460550676,0.0174386241594,0.0608870232856,frame
fit,60,2520,2580,2550,13,500,20260814,0.279253819799,0.287590981403,0.298907546132,0.0196537263334,0.068339160837,frame
fit,60,2580,2640,2610,12,500,20260814,0.282896616763,0.291467138976,0.298911035475,0.0160144187122,0.0549441654674,frame
fit,60,2640,2700,2670,10,500,20260814,0.288351369037,0.294696627797,0.305408863759,0.0170574947217,0.0578815402442,frame
fit,60,2700,2760,2730,7,500,20260814,0.282008270893,0.293557486156,0.301996817584,0.0199885466904,0.0680907407682,frame
fit,100,200,300,250,8,500,20260814,0.271849257506,0.283713958552,0.303335699959,0.0314864424533,0.110979532392,frame
fit,100,300,400,350,13,500,20260814,0.275287088108,0.284145881387,0.296705724131,0.0214186360232,0.0753790127754,frame
fit,100,400,500,450,17,500,20260814,0.271754183456,0.280176117122,0.291051805314,0.0192976218581,0.0688767552935,frame
fit,100,500,600,550,23,500,20260814,0.277839122073,0.287295264662,0.295361814079,0.0175226920063,0.0609919276844,frame
fit,100,600,700,650,26,500,20260814,0.280528452569,0.287912194654,0.296982156408,0.01645370384,0.0571483394781,frame
fit,100,700,800,750,26,500,20260814,0.282021701368,0.288059155708,0.296466314509,0.0144446131413,0.05014460695,frame
fit,100,800,900,850,27,500,20260814,0.282816678995,0.288331171653,0.296918056496,0.0141013775012,0.0489068782273,frame
fit,100,900,1000,950,27,500,20260814,0.283937933856,0.288917647892,0.296591607301,0.0126536734452,0.0437968173197,frame
fit,100,1000,1100,1050,29,500,20260814,0.284920632772,0.289827055351,0.297034868836,0.0121142360642,0.0417981545909,frame
fit,100,1100,1200,1150,30,500,20260814,0.286513925134,0.291209409846,0.298288584745,0.0117746596111,0.0404336508814,frame
fit,100,1200,1300,1250,30,500,20260814,0.285245424916,0.291446776729,0.297968257937,0.0127228330212,0.0436540529424,frame
fit,100,1300,1400,1350,30,500,20260814,0.285224826172,0.292300927132,0.297665235726,0.0124404095546,0.0425602808608,frame
fit,100,1400,1500,1450,30,500,20260814,0.285846430737,0.29183894239,0.297625701834,0.0117792710967,0.0403622319908,frame
fit,100,1500,1600,1550,30,500,20260814,0.28689851741,0.292296246436,0.298099912459,0.0112013950485,0.0383220625824,frame
fit,100,1600,1700,1650,30,500,20260814,0.287236226756,0.291637139509,0.297318751775,0.0100825250193,0.0345721571549,frame
fit,100,1700,1800,1750,30,500,20260814,0.28670628952,0.292655066203,0.297311002077,0.0106047125571,0.0362362172462,frame
fit,100,1800,1900,1850,26,500,20260814,0.283324691059,0.29015784378,0.298086187032,0.0147614959729,0.0508740200872,frame
fit,100,1900,2000,1950,22,500,20260814,0.284286680939,0.290388281773,0.29809786812,0.0138111871809,0.047561103694,frame
fit,100,2000,2100,2050,21,500,20260814,0.285110644134,0.291162049528,0.29924122384,0.0141305797063,0.0485316672597,frame
fit,100,2100,2200,2150,21,500,20260814,0.285180835983,0.29030337362,0.298196505597,0.0130156696139,0.0448347170465,frame
fit,100,2200,2300,2250,20,500,20260814,0.283434556138,0.29007809696,0.298468869196,0.0150343130581,0.0518285014127,frame
fit,100,2300,2400,2350,20,500,20260814,0.282875448857,0.290984881289,0.298536595327,0.0156611464705,0.0538211689937,frame
fit,100,2400,2500,2450,16,500,20260814,0.278530757298,0.286577449957,0.295855589426,0.0173248321274,0.0604542755545,frame
fit,100,2500,2600,2550,15,500,20260814,0.279689275091,0.28585553832,0.29681796166,0.0171286865684,0.0599207791079,frame
fit,100,2600,2700,2650,11,500,20260814,0.280989019268,0.29261796518,0.301081224273,0.0200922050053,0.0686636071472,frame
fit,100,2700,2800,2750,7,500,20260814,0.283828932496,0.294348203001,0.306231793651,0.0224028611552,0.0761100659927,frame
validation,30,270,300,285,3,500,20260814,0.296792447791,0.301468112906,0.312077556217,0.0152851084258,0.0507022393793,frame
validation,30,300,330,315,4,500,20260814,0.0504161697265,0.301468851019,0.314975148849,0.264558979123,0.877566548678,frame
validation,30,330,360,345,5,500,20260814,0.29622007118,0.301751884114,0.317468104889,0.021248033709,0.0704155792478,frame
validation,30,360,390,375,5,500,20260814,0.295744787131,0.302008713162,0.315270373938,0.0195255868067,0.0646523956287,frame
validation,30,390,420,405,5,500,20260814,0.174941897956,0.300600339432,0.312477942639,0.137536044683,0.457537888823,frame
validation,30,420,450,435,5,500,20260814,0.290630482508,0.300131243134,0.314469028933,0.023838546425,0.0794270738895,frame
validation,30,450,480,465,5,500,20260814,0.17342957674,0.299960095083,0.312452281796,0.139022705056,0.463470666048,frame
validation,30,480,510,495,6,500,20260814,0.294462573672,0.299794469619,0.303583780762,0.00912120709002,0.0304248677489,frame
validation,30,510,540,525,6,500,20260814,0.294186325271,0.300035537371,0.303686897501,0.00950057223002,0.0316648231515,frame
validation,30,540,570,555,6,500,20260814,0.279535357145,0.299768434187,0.303763903658,0.0242285465127,0.0808242087878,frame
