candidate_weighting,metric_weighting,region,v_min_px,v_max_px,sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,after_bias_mm,after_mae_mm,after_rmse_mm,after_p95_abs_mm,after_residual_energy,explained_fraction
point_equal,frame_equal,bin_1800_2099,1800,2100,1732,0,-0.075958263494,0.083006489909,0.0998179993596,0.179854957962,17.4203390465,0.00711127022165,0.0207094117558,0.0247821850792,0.0406185340103,1.07378683044,0.938360164657
point_equal,frame_equal,bin_2100_2399,2100,2400,1561,0,-0.0930666137189,0.0954954272722,0.108885450842,0.179099752059,18.0993109585,0.00906635206304,0.0181518790865,0.0224225950247,0.0398017178033,0.767527739827,0.957593538142
point_equal,frame_equal,bin_2400_2699,2400,2700,1759,0,-0.11061886776,0.124046560441,0.142061446516,0.24052023172,36.0232015452,0.00410119760932,0.0258027105725,0.0316570821969,0.049960012066,1.78884046608,0.950341991013
point_equal,frame_equal,bin_2700_2999,2700,3000,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,-0.00798994756798,0.0328484205827,0.0436071480923,0.093781842136,3.87342832648,0.97997558306
point_equal,frame_equal,extrap_top_v_lt_242,0,241.997693497,1141,0,0.30313726771,0.315218808272,0.392308392434,0.730880570828,162.075187525,0.0368152758865,0.0537148848753,0.0649525339706,0.112228241626,4.44276695045,0.972588235014
point_equal,frame_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,0,-0.248499816585,0.30080875986,0.313207026879,0.412384234489,181.194136487,-0.0113531116356,0.0318177804664,0.0421095861859,0.0887288794681,3.2752397247,0.981924140658
point_equal,v_region_equal,top_0_299,0,300,1605,0,0.286592086279,0.305866738086,0.379494468127,0.688220936835,252.949792572,0.0359517227656,0.0526466160107,0.0640577960709,0.108113747663,7.20721393349,0.971507334083
point_equal,v_region_equal,middle_300_2699,300,2700,13979,0,-0.0780251129459,0.1073157933,0.130961775974,0.241230912066,240.991945252,0.00143990045948,0.0218662426895,0.0269570468192,0.0499928677151,10.2107593625,0.957630287802
point_equal,v_region_equal,bottom_2700_2999,2700,3000,1980,0,-0.16082211758,0.285722516962,0.302005869544,0.419320640496,160.196932458,0.00257554741271,0.0409456766607,0.0531775765761,0.109765979458,4.96684390815,0.968995386916
point_equal,v_region_equal,bin_0000_0299,0,300,1605,0,0.286592086279,0.305866738086,0.379494468127,0.688220936835,252.949792572,0.0359517227656,0.0526466160107,0.0640577960709,0.108113747663,7.20721393349,0.971507334083
point_equal,v_region_equal,bin_0300_0599,300,600,1900,0,-0.021777677273,0.113925073127,0.148369931403,0.345094914097,38.6647512268,-0.00700598329037,0.0242407631209,0.0325870719301,0.0696807521625,1.86515147016,0.951760934417
point_equal,v_region_equal,bin_0600_0899,600,900,1717,0,-0.131947252677,0.170822249627,0.185203494912,0.304113729188,60.2451075645,-0.0183628589062,0.0247202888579,0.0295801289161,0.0646131892027,1.53682194449,0.974490510406
point_equal,v_region_equal,bin_0900_1199,900,1200,1875,0,-0.0870323329374,0.105988705592,0.133346624065,0.255862191337,31.2311142235,-0.00336075628645,0.0222281681698,0.0261820392629,0.0487621894882,1.20401075969,0.961448357203
point_equal,v_region_equal,bin_1200_1499,1200,1500,1490,0,-0.00496585226374,0.0602185663041,0.071186242252,0.125502174831,8.90052377939,0.0150911413139,0.0221942451529,0.0262337138732,0.0481947024549,1.20876808083,0.864191354263
point_equal,v_region_equal,bin_1500_1799,1500,1800,1945,0,-0.0935593562295,0.0997221105906,0.118154058019,0.20446276614,24.5200139373,0.00286760071599,0.01814138286,0.0219017918275,0.037940428184,0.842524855501,0.965639299486
point_equal,v_region_equal,bin_1800_2099,1800,2100,1732,0,-0.0705829132632,0.0782106456986,0.0954708148369,0.17466533717,16.0090177794,0.00924713549154,0.0204497056994,0.0246697062121,0.0407612309281,1.06893521222,0.933229182018
point_equal,v_region_equal,bin_2100_2399,2100,2400,1561,0,-0.105078562403,0.107941641103,0.123340201836,0.223774725707,26.719771385,0.00566208211635,0.0180389133813,0.0221687048193,0.0389139601189,0.863185367822,0.967694881989
point_equal,v_region_equal,bin_2400_2699,2400,2700,1759,0,-0.10925695652,0.121697354357,0.140560508402,0.242342571352,34.7016453557,0.00738084252105,0.0249164742734,0.0303828309288,0.04865509984,1.62136167174,0.953277095218
point_equal,v_region_equal,bin_2700_2999,2700,3000,1980,0,-0.16082211758,0.285722516962,0.302005869544,0.419320640496,160.196932458,0.00257554741271,0.0409456766607,0.0531775765761,0.109765979458,4.96684390815,0.968995386916
point_equal,v_region_equal,extrap_top_v_lt_242,0,241.997693497,1141,0,0.310697812626,0.322846891336,0.396769748752,0.716922558465,174.002008827,0.0365654234064,0.0555577172975,0.0664239658613,0.110641579617,4.87670809324,0.971973265561
point_equal,v_region_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,0,-0.193657385766,0.289713215891,0.307258672468,0.424236186474,143.907134949,-0.0036608680296,0.038163600973,0.0500245645003,0.104828646865,3.81452670963,0.973493137008
frame_equal,point_equal,top_0_299,0,300,1605,0,0.248688937721,0.268909597551,0.349411427421,0.70124943431,195.951794708,0.0217028686838,0.0477658980998,0.0583895382555,0.103731040118,5.47198777518,0.972074826958
frame_equal,point_equal,middle_300_2699,300,2700,13979,0,-0.0831932681855,0.107613120549,0.13037101474,0.235597199471,237.595492149,-0.00401825158496,0.0233188338287,0.0287048551818,0.0588134395503,11.5182586112,0.951521560839
frame_equal,point_equal,bottom_2700_2999,2700,3000,1980,0,-0.221416896774,0.288827925514,0.303276070222,0.407948499672,182.113222043,-0.00624365273563,0.0321097613585,0.0425992436228,0.0895377959622,3.59309720332,0.980269981701
