weighting,kind,vector_rank_from_smallest,parameter_a,parameter_b,value,absolute_value
v_region_equal,covariance_correlation,,phi_axis,A_z,0.951504008939,0.951504008939
v_region_equal,covariance_correlation,,phi_axis,alpha,0.962051813754,0.962051813754
v_region_equal,covariance_correlation,,A_x,A_y,-0.943162510134,0.943162510134
v_region_equal,covariance_correlation,,A_x,A_z,0.999438978264,0.999438978264
v_region_equal,covariance_correlation,,A_x,alpha,0.997882107823,0.997882107823
v_region_equal,covariance_correlation,,A_y,A_z,-0.947104219751,0.947104219751
v_region_equal,covariance_correlation,,A_y,alpha,-0.959430066709,0.959430066709
v_region_equal,covariance_correlation,,A_z,alpha,0.999038280406,0.999038280406
v_region_equal,right_singular_vector,1,theta_axis,,0.00680305080445,0.00680305080445
v_region_equal,right_singular_vector,1,phi_axis,,0.00568902969915,0.00568902969915
v_region_equal,right_singular_vector,1,A_x,,0.819550480483,0.819550480483
v_region_equal,right_singular_vector,1,A_y,,-0.268951745282,0.268951745282
v_region_equal,right_singular_vector,1,A_z,,0.494313278477,0.494313278477
v_region_equal,right_singular_vector,1,alpha,,0.10759974355,0.10759974355
v_region_equal,right_singular_vector,2,theta_axis,,0.0905252288257,0.0905252288257
v_region_equal,right_singular_vector,2,phi_axis,,0.0172622625474,0.0172622625474
v_region_equal,right_singular_vector,2,A_x,,-0.26652481952,0.26652481952
v_region_equal,right_singular_vector,2,A_y,,-0.955053774875,0.955053774875
v_region_equal,right_singular_vector,2,A_z,,-0.0859356439018,0.0859356439018
v_region_equal,right_singular_vector,2,alpha,,0.0309688556704,0.0309688556704
