frame,group,row_index,model,u,v,root_1,root_2,selected_root_index,selected_lambda,Zc,Zg,validity_reason,m0_selected_root_index,m0_selected_lambda,m0_Zg,root_switch_vs_m0,lambda_delta_vs_m0,validity_changed_vs_m0
frame_061303_measure,baseline,17,M3_v_region_equal,2102.964164,2408.0,719.4671643670843,711.7373548415154,1,711.7373548415154,711.7373548415154,0.037925048240822434,valid,1,711.7804763594863,-0.005186159996924289,0,-0.04312151797091701,0
frame_061303_measure,baseline,18,M3_v_region_equal,2102.94044,2409.0,719.4654851661458,711.7356309486472,1,711.7356309486472,711.7356309486472,0.03875256336004895,valid,1,711.7750795269427,-0.0006866330088541872,0,-0.03944857829549164,0
frame_061303_measure,baseline,19,M3_v_region_equal,2102.938807,2410.0,719.465169698523,711.7352081968659,1,711.7352081968659,711.7352081968659,0.038375130660369905,valid,1,711.7767056052643,-0.003112455193445385,0,-0.04149740839841343,0
frame_061303_measure,baseline,20,M3_v_region_equal,2102.927901,2411.0,719.4642821095508,711.7342389822437,1,711.7342389822437,711.7342389822437,0.038503781727740716,valid,1,711.7753820673678,-0.0026296132980405673,0,-0.041143085124076606,0
frame_061303_measure,baseline,21,M3_v_region_equal,2102.898778,2412.0,719.4622703600677,711.7321964325362,1,711.7321964325362,711.7321964325362,0.03962644668183657,valid,1,711.7682651119487,0.0035662156409443924,0,-0.03606867941255132,0
frame_061303_measure,baseline,22,M3_v_region_equal,2102.863797,2413.0,719.4598972795228,711.729808601591,1,711.729808601591,711.729808601591,0.0410688886574917,valid,1,711.7592845460614,0.011599809211816137,0,-0.02947594447039137,0
frame_061303_measure,baseline,23,M3_v_region_equal,2102.849791,2414.0,719.4588190413599,711.728656160704,1,711.728656160704,711.728656160704,0.04136726977856142,valid,1,711.7569718826676,0.013058108653240197,0,-0.02831572196362231,0
frame_061303_measure,baseline,24,M3_v_region_equal,2102.873896,2415.0,719.4600933025284,711.7297485487642,1,711.7297485487642,711.7297485487642,0.03958675679064072,valid,1,711.7667755229199,0.002568326084542605,0,-0.03702697415576495,0
frame_061303_measure,baseline,25,M3_v_region_equal,2102.912715,2416.0,719.4622759810245,711.7317075153392,1,711.7317075153392,711.7317075153392,0.03700372507842076,valid,1,711.7812569217929,-0.012534292029613425,0,-0.04954940645370698,0
frame_061303_measure,baseline,26,M3_v_region_equal,2102.931741,2417.0,719.4632372328456,711.7325003146374,1,711.7325003146374,711.7325003146374,0.035500677692198224,valid,1,711.7894440070341,-0.02142998255976636,0,-0.05694369239677144,0
frame_061303_measure,baseline,27,M3_v_region_equal,2102.924414,2418.0,719.4625721426904,711.7317404931107,1,711.7317404931107,711.7317404931107,0.03543550966355724,valid,1,711.7892503357756,-0.0220612379347358,0,-0.057509842664899224,0
frame_061303_measure,baseline,28,M3_v_region_equal,2102.891783,2419.0,719.4603454586871,711.7294898480977,1,711.7294898480977,711.7294898480977,0.036750996000023406,valid,1,711.7810094052451,-0.014756897732240759,0,-0.05151955714734413,0
frame_061303_measure,baseline,29,M3_v_region_equal,2102.851905,2420.0,719.4576717119098,711.7268120997181,1,711.7268120997181,711.7268120997181,0.0384620373421285,valid,1,711.7704631559097,-0.005179196021458665,0,-0.043651056191606585,0
frame_061303_measure,baseline,30,M3_v_region_equal,2102.821986,2421.0,719.4556128902126,711.7247208192957,1,711.7247208192957,711.7247208192957,0.03962997226551579,valid,1,711.7630825405661,0.0012768338176556426,0,-0.038361721270348426,0
frame_061303_measure,baseline,31,M3_v_region_equal,2102.80488,2422.0,719.4543451387784,711.7233841213472,1,711.7233841213472,711.7233841213472,0.04009910874981415,valid,1,711.7597748382061,0.0037164893891485917,0,-0.03639071685893214,0
frame_061303_measure,baseline,32,M3_v_region_equal,2102.803997,2423.0,719.4540789232165,711.7230028755874,1,711.7230028755874,711.7230028755874,0.03968341957533994,valid,1,711.7616242114484,0.0010706343192623535,0,-0.03862133586096661,0
frame_061303_measure,baseline,33,M3_v_region_equal,2102.814625,2424.0,719.4545234132678,711.7232995102909,1,711.7232995102909,711.7232995102909,0.03863996018026228,valid,1,711.7671325270367,-0.005183398114809279,0,-0.04383301674579343,0
frame_061303_measure,baseline,34,M3_v_region_equal,2102.822999,2425.0,719.4548290129744,711.7234631632288,1,711.7234631632288,711.7234631632288,0.03771966691499529,valid,1,711.7719230899405,-0.010729633343544265,0,-0.04845992671175736,0
frame_061303_measure,baseline,35,M3_v_region_equal,2102.824485,2426.0,719.4547097019234,711.7232208543784,1,711.7232208543784,711.7232208543784,0.037175346982962765,valid,1,711.7745223701738,-0.014114975943016361,0,-0.051301515795444175,0
frame_061303_measure,baseline,36,M3_v_region_equal,2102.819864,2427.0,719.4542136833055,711.7226185897371,1,711.7226185897371,711.7226185897371,0.03696439549889874,valid,1,711.7751786401008,-0.015584247456104094,0,-0.052560050363695154,0
frame_061303_measure,baseline,37,M3_v_region_equal,2102.829633,2428.0,719.4546060721362,711.7228638046774,1,711.7228638046774,711.7228638046774,0.0359686052380539,valid,1,711.7804094731036,-0.021564634413607564,0,-0.05754566842620079,0
frame_061303_measure,baseline,38,M3_v_region_equal,2102.853951,2429.0,719.4558966893178,711.7239658714345,1,711.7239658714345,711.7239658714345,0.034179293786110065,valid,1,711.7902656706191,-0.03210624993903366,0,-0.06629979918454865,0
frame_061303_measure,baseline,39,M3_v_region_equal,2102.849377,2430.0,719.4554042556239,711.7233657585355,1,711.7233657585355,711.7233657585355,0.0339663882413106,valid,1,711.7909334811134,-0.03358688342643745,0,-0.06756772257790544,0
frame_061303_measure,baseline,40,M3_v_region_equal,2102.803639,2431.0,719.4523713171369,711.7203405483931,1,711.7203405483931,711.7203405483931,0.035999391958512206,valid,1,711.7785104757801,-0.022158175494382704,0,-0.058169927386984455,0
frame_061303_measure,baseline,41,M3_v_region_equal,2102.747536,2432.0,719.4486988801762,711.716704574461,1,711.716704574461,711.716704574461,0.038598046988681745,valid,1,711.7627909079936,-0.0074785612496270915,0,-0.04608633353257119,0
frame_061303_measure,baseline,42,M3_v_region_equal,2102.690638,2433.0,719.4449776298108,711.7130215906853,1,711.7130215906853,711.7130215906853,0.041240258557877496,valid,1,711.7468180094241,0.007450922268731119,0,-0.03379641873880246,0
frame_061303_measure,baseline,43,M3_v_region_equal,2102.641041,2434.0,719.4417072556945,711.7097685040346,1,711.7097685040346,711.7097685040346,0.043484359195645084,valid,1,711.7331658805897,0.020091852696850765,0,-0.02339737655506724,0
frame_061303_measure,baseline,44,M3_v_region_equal,2102.640471,2435.0,719.4414630873915,711.709403225795,1,711.709403225795,711.709403225795,0.04305405214370239,valid,1,711.7351006846932,0.01736191333009174,0,-0.025697458898207515,0
frame_061303_measure,baseline,45,M3_v_region_equal,2102.666495,2436.0,719.4428605469926,711.710604303942,1,711.710604303942,711.710604303942,0.04117313892140828,valid,1,711.7454900038492,0.006294627983265855,0,-0.034885699907249546,0
frame_061303_measure,baseline,46,M3_v_region_equal,2102.712827,2437.0,719.4455116805531,711.7130014710194,1,711.7130014710194,711.7130014710194,0.038184523497648115,valid,1,711.7623358663107,-0.011139746383832971,0,-0.04933439529122552,0
frame_061303_measure,baseline,47,M3_v_region_equal,2102.771933,2438.0,719.4489515074266,711.7161509451471,1,711.7161509451471,711.7161509451471,0.03449919410650182,valid,1,711.7832434791032,-0.03257962032807882,0,-0.06709253395615633,0
frame_061303_measure,baseline,48,M3_v_region_equal,2102.800536,2439.0,719.4505088823258,711.7175033729516,1,711.7175033729516,711.7175033729516,0.032478140108878506,valid,1,711.7944510809479,-0.04445390543389749,0,-0.07694770799628259,0
frame_061303_measure,baseline,49,M3_v_region_equal,2102.767067,2440.0,719.4482352604005,711.7151990581629,1,711.7151990581629,711.7151990581629,0.03384366008310735,valid,1,711.7859186835892,-0.036861663832382874,0,-0.07071962542636356,0
frame_061303_measure,baseline,50,M3_v_region_equal,2102.694605,2441.0,719.4435551626431,711.7105975707605,1,711.7105975707605,711.7105975707605,0.03733664619926458,valid,1,711.7649861034657,-0.017040972244444674,0,-0.054388532705274883,0
frame_061303_measure,baseline,51,M3_v_region_equal,2102.617971,2442.0,719.4386178410667,711.70575016575,1,711.70575016575,711.70575016575,0.04105740329964647,valid,1,711.742726942619,0.004087988153855804,0,-0.0369767768689826,0
frame_061303_measure,baseline,52,M3_v_region_equal,2102.567249,2443.0,719.4352800906732,711.7024289764094,1,711.7024289764094,711.7024289764094,0.043364727096900424,valid,1,711.7287064758549,0.01709242184097093,0,-0.026277499445541252,0
frame_061303_measure,baseline,53,M3_v_region_equal,2102.547237,2444.0,719.4338380069693,711.7009165974613,1,711.7009165974613,711.7009165974613,0.0439968961793511,valid,1,711.724449300682,0.02046881549858881,0,-0.023532703220666917,0
frame_061303_measure,baseline,54,M3_v_region_equal,2102.531605,2445.0,719.4326664863173,711.699662022552,1,711.699662022552,711.699662022552,0.04439032342338578,valid,1,711.7215835852446,0.022473040276395295,0,-0.02192156269256884,0
frame_061303_measure,baseline,55,M3_v_region_equal,2102.49674,2446.0,719.430308138566,711.6972743131356,1,711.6972743131356,711.6972743131356,0.04583318616175802,valid,1,711.7126017835197,0.03050868768048076,0,-0.015327470384136177,0
frame_061303_measure,baseline,56,M3_v_region_equal,2102.529889,2447.0,719.432147829998,711.6988928050789,1,711.6988928050789,711.6988928050789,0.043565832743297506,valid,1,711.7252433357661,0.017220387227212086,0,-0.026350530687182072,0
frame_061303_measure,baseline,57,M3_v_region_equal,2102.496666,2448.0,719.4298912782184,711.6966014055404,1,711.6966014055404,711.6966014055404,0.044919531584014294,valid,1,711.7167811444382,0.024743660431795433,0,-0.02017973889780933,0
frame_061303_measure,baseline,58,M3_v_region_equal,2102.494462,2449.0,719.4295494430302,711.6961369954336,1,711.6961369954336,711.6961369954336,0.04458122761047889,valid,1,711.7181801368929,0.022542286185966987,0,-0.022043141459334947,0
frame_061303_measure,baseline,59,M3_v_region_equal,2102.505387,2450.0,719.4300181560716,711.6964457519213,1,711.6964457519213,711.6964457519213,0.043526887508733125,valid,1,711.7237523334906,0.016225480245452673,0,-0.027306581569291666,0
frame_061303_measure,baseline,60,M3_v_region_equal,2102.524708,2451.0,719.4310053022984,711.6972488789664,1,711.6972488789664,711.6972488789664,0.04201470929308471,valid,1,711.7319930641327,0.007277073157183622,0,-0.034744185166232455,0
frame_061303_measure,baseline,61,M3_v_region_equal,2102.538186,2452.0,719.431632050091,711.6977076173242,1,711.6977076173242,711.6977076173242,0.04082148983991374,valid,1,711.7383749980723,0.000161732627816491,0,-0.040667380748118376,0
frame_061303_measure,baseline,62,M3_v_region_equal,2102.519527,2453.0,719.4302755183616,711.6962730875438,1,711.6962730875438,711.6962730875438,0.04138169266798286,valid,1,711.7345374023262,0.0031245039474470104,0,-0.03826431478239556,0
frame_061303_measure,baseline,63,M3_v_region_equal,2102.472295,2454.0,719.4271556898378,711.6931552425643,1,711.6931552425643,711.6931552425643,0.04350088016860809,valid,1,711.7216136992984,0.015047683416128166,0,-0.028458456734028914,0
frame_061303_measure,baseline,64,M3_v_region_equal,2102.422297,2455.0,719.4238653911646,711.6898742787502,1,711.6898742787502,711.6898742787502,0.04577115635368045,valid,1,711.7078098075151,0.02783891716035214,0,-0.017935528764951414,0
