record_type,frame,region,model,step_px,n_total,n_valid,valid_fraction,median_u_base,median_u_top,delta_u,median_Zg_base,median_Zg_top,delta_Zg,G_mm_per_px,gain_ratio_vs_M0,median_dZg_du,p95_abs_dZg_du,rms_dZg_du,derivative_ratio_vs_M0
local_dZg_du,ALL_GAUGE,v0_999,M1_point_equal,1.0,221,221,1.0,,,,,,,,,-0.05596829221531152,0.05598780599996189,0.055450431624360585,0.17810988805271674
local_dZg_du,ALL_GAUGE,v0_999,M2_frame_equal,1.0,221,221,1.0,,,,,,,,,-0.05595577578895927,0.05597535636155726,0.05543823965789582,0.17807005658371564
local_dZg_du,ALL_GAUGE,v0_999,M3_v_region_equal,1.0,221,221,1.0,,,,,,,,,-0.05472682855850053,0.05474509362028357,0.05422974829661159,0.1741591340778504
local_dZg_du,ALL_GAUGE,v1000_1999,M0,0.5,235,235,1.0,,,,,,,,,-0.3134501900073019,0.31350471777225264,0.3000847947997015,1.0
local_dZg_du,ALL_GAUGE,v1000_1999,M1_point_equal,0.5,235,235,1.0,,,,,,,,,-0.05582666570535366,0.05583949933452459,0.05532459745723141,0.17810378645504463
local_dZg_du,ALL_GAUGE,v1000_1999,M2_frame_equal,0.5,235,235,1.0,,,,,,,,,-0.05581354362902857,0.05582646777227183,0.055311794244440105,0.17806192310085497
local_dZg_du,ALL_GAUGE,v1000_1999,M3_v_region_equal,0.5,235,235,1.0,,,,,,,,,-0.05459627767106667,0.05460770423472923,0.05411406543010157,0.17417848006343475
local_dZg_du,ALL_GAUGE,v1000_1999,M0,1.0,235,235,1.0,,,,,,,,,-0.3134502371720487,0.3135047649583953,0.3000848382998787,1.0
local_dZg_du,ALL_GAUGE,v1000_1999,M1_point_equal,1.0,235,235,1.0,,,,,,,,,-0.055826666042094075,0.0558394996772563,0.055324597787712655,0.17810376073013326
local_dZg_du,ALL_GAUGE,v1000_1999,M2_frame_equal,1.0,235,235,1.0,,,,,,,,,-0.0558135439553098,0.055826468105186676,0.05531179457810715,0.17806189734887481
local_dZg_du,ALL_GAUGE,v1000_1999,M3_v_region_equal,1.0,235,235,1.0,,,,,,,,,-0.05459627798472866,0.05460770457989952,0.05411406574606192,0.17417845485553576
local_dZg_du,ALL_GAUGE,v2000_2999,M0,0.5,452,452,1.0,,,,,,,,,-0.31348612598839054,0.3136268770707943,0.2995301994318074,1.0
local_dZg_du,ALL_GAUGE,v2000_2999,M1_point_equal,0.5,452,452,1.0,,,,,,,,,-0.055773260152534476,0.0557758078447705,0.05523928049197113,0.17791300963220283
local_dZg_du,ALL_GAUGE,v2000_2999,M2_frame_equal,0.5,452,452,1.0,,,,,,,,,-0.055759201138471326,0.05576198978866387,0.05522553052352906,0.17786816230756022
local_dZg_du,ALL_GAUGE,v2000_2999,M3_v_region_equal,0.5,452,452,1.0,,,,,,,,,-0.05455401615660094,0.05455683435236551,0.0540424077901378,0.17402370195681724
local_dZg_du,ALL_GAUGE,v2000_2999,M0,1.0,452,452,1.0,,,,,,,,,-0.31348617312880833,0.31362692423613225,0.29953024273179385,1.0
local_dZg_du,ALL_GAUGE,v2000_2999,M1_point_equal,1.0,452,452,1.0,,,,,,,,,-0.05577326049129283,0.05577580818823833,0.05523928081757251,0.17791298395918775
local_dZg_du,ALL_GAUGE,v2000_2999,M2_frame_equal,1.0,452,452,1.0,,,,,,,,,-0.05575920147893498,0.05576199011853191,0.05522553084995018,0.17786813664672887
local_dZg_du,ALL_GAUGE,v2000_2999,M3_v_region_equal,1.0,452,452,1.0,,,,,,,,,-0.05455401648256952,0.05455683466595644,0.05404240809910755,0.1740236768278575
