v,sample_count,residual_median_mm,residual_mean_mm,residual_std_mm,residual_mad_mm,residual_p95_abs_mm
1420,19,-0.048443,-0.037875000000000006,0.10210472352442858,0.0524,0.17066359999999964
1421,19,-0.025002,-0.03462005263157895,0.10082518551349366,0.04220700000000001,0.16330979999999964
1422,19,-0.018301,-0.030355631578947367,0.10320696301241314,0.034697000000000006,0.15965679999999957
1423,19,-0.018797,-0.028211578947368424,0.10820681199049438,0.024165,0.17740749999999955
1424,19,-0.020841,-0.027368631578947363,0.10891017737934858,0.028450999999999997,0.1687913999999995
1425,19,-0.032466,-0.03201426315789474,0.10631521509791432,0.041205000000000006,0.16057679999999955
1426,19,-0.049675,-0.03858057894736842,0.1031304265283722,0.049081,0.15016769999999957
1427,19,-0.053362,-0.040834052631578945,0.10059875747823004,0.054354000000000006,0.14120589999999955
1428,19,-0.047556,-0.039293842105263155,0.09990422350557289,0.046484,0.14269499999999954
1429,20,-0.0466005,-0.0349345,0.1001754103163677,0.045106,0.12602745000000015
1430,19,-0.053869,-0.03553015789473685,0.10853365960140514,0.046915,0.15758519999999948
1431,19,-0.047471,-0.036944736842105266,0.11534708442871314,0.043618000000000004,0.1866637999999995
1432,19,-0.046954,-0.03965942105263158,0.11382521620269667,0.040932,0.19444919999999954
1433,19,-0.039993,-0.04353147368421052,0.10859073145703674,0.037731,0.20962919999999965
1434,19,-0.043168,-0.04473542105263159,0.10533268796918106,0.04435600000000001,0.2100884999999997
1435,19,-0.040754,-0.04235205263157895,0.10357909984777264,0.04829,0.20240159999999974
1436,19,-0.030397,-0.03762726315789474,0.10314820569713276,0.051434,0.19414759999999973
1437,20,-0.0354985,-0.034347100000000005,0.1036420638716174,0.041513,0.2072595500000001
1438,20,-0.0335895,-0.029821900000000002,0.10664785091668454,0.036434499999999995,0.2000138500000001
1439,20,-0.0240335,-0.026289399999999997,0.10812708337069225,0.0318445,0.18956475000000012
1440,19,-0.019867,-0.021267684210526317,0.10915861586804805,0.034398,0.18909439999999958
1441,19,-0.020671,-0.018940000000000002,0.10509929729546245,0.02556,0.18006569999999958
1442,19,-0.02798,-0.018723526315789468,0.09996938896669455,0.027554000000000002,0.1699043999999996
1443,19,-0.038794,-0.018945684210526312,0.09586039569838156,0.031015999999999995,0.1593359999999996
1444,20,-0.0455425,-0.0236588,0.09354750495398467,0.025363000000000004,0.14216435000000013
1445,20,-0.0433785,-0.02404785,0.08983033683929124,0.027995,0.14204585000000014
1446,20,-0.030095,-0.0226858,0.08029355671835824,0.03496950000000001,0.14719035000000008
1447,20,-0.010429500000000001,-0.019507600000000003,0.07662763478523232,0.0306545,0.15999500000000003
1448,21,-0.004666,-0.02073852380952381,0.07592792885797627,0.038582000000000005,0.174467
1449,21,-0.013824,-0.029421190476190476,0.06074715856533461,0.040441,0.116878
1450,20,-0.0122015,-0.0229367,0.05973034443854621,0.0379205,0.11481945000000003
1451,19,0.005734,-0.01979057894736842,0.05728553301597164,0.039967,0.10851249999999991
1452,19,-0.005974,-0.015363684210526312,0.057246930154524096,0.041816,0.0980722999999999
1453,20,-0.020972499999999998,-0.0192611,0.05899849984167751,0.05118,0.09357740000000003
1454,20,-0.0313955,-0.018939499999999998,0.06492725586580075,0.044368,0.13815505
1455,19,-0.015681,-0.01257478947368421,0.06163680556613606,0.03788,0.1376314
1456,19,-0.00333,-0.007695052631578947,0.06130231882733464,0.045215,0.12343249999999997
1457,19,-0.001729,-0.006529315789473686,0.06073469125910809,0.041182,0.1149632
1458,19,-0.00706,-0.009100052631578948,0.05945244884637141,0.040809,0.10737489999999995
1459,20,-9.999999999999593e-06,-0.0074684,0.06740191088529666,0.0357235,0.12476870000000002
1460,20,-0.0045335,-0.0119293,0.06276035225916707,0.029238,0.12314895
1461,20,-0.0093385,-0.012464949999999999,0.05966547941691243,0.034972500000000004,0.12850215
1462,20,-0.008942499999999999,-0.0125886,0.05867326598016295,0.019925,0.14073000000000002
1463,19,-0.01336,-0.021761315789473684,0.03961567109400105,0.024757,0.07746309999999985
1464,19,-0.012571,-0.022177473684210528,0.04160606716089002,0.029360999999999998,0.07809199999999988
1465,19,-0.015154,-0.023868105263157892,0.04420046042733383,0.034688,0.09202399999999991
1466,19,-0.020602,-0.027991210526315785,0.04534906764272367,0.029512999999999998,0.11082919999999995
1467,19,-0.025542,-0.028529631578947372,0.04754906227163982,0.025793999999999997,0.12162119999999997
1468,19,-0.02707,-0.028019157894736847,0.04885060658814014,0.024594,0.12135609999999995
1469,19,-0.02298,-0.027941631578947374,0.048403851083256365,0.022095999999999998,0.12057569999999997
1470,20,-0.025841,-0.027810800000000004,0.0460025714871634,0.025216000000000002,0.12351705
1471,19,-0.021754,-0.02437278947368421,0.04447692578627328,0.019497,0.11408339999999996
1472,19,0.002477,-0.017801,0.04475825325506397,0.022437,0.10609339999999995
1473,19,0.009189,-0.010437,0.04740946242517884,0.017954,0.10517039999999997
1474,19,-0.000432,-0.00941321052631579,0.055326047524931636,0.036664,0.10793289999999998
1475,19,0.000656,-0.00978521052631579,0.06204582470738771,0.038604999999999993,0.11313699999999996
1476,19,0.000704,-0.01218642105263158,0.0645132029418232,0.036503999999999995,0.12033169999999992
1477,18,-0.008047,-0.021848555555555555,0.048914707279727625,0.03585,0.09157149999999994
1478,18,-0.021047,-0.021274944444444447,0.04963175391108851,0.034781,0.09593334999999995
1479,18,-0.039924,-0.026196055555555556,0.05531848195194188,0.0341175,0.10335534999999993
1480,18,-0.0399645,-0.025624611111111112,0.05579620964054489,0.039607500000000004,0.11043099999999995
1481,18,-0.0247375,-0.021089888888888887,0.053105214306837734,0.029657499999999996,0.11694914999999996
1482,18,-0.0145685,-0.016791222222222225,0.051628316410275064,0.028112500000000002,0.12391250000000001
1483,18,-0.004182,-0.015700666666666665,0.05199622292843519,0.0297985,0.1243097
1484,18,0.0006275,-0.016705666666666667,0.05307443828967674,0.0323905,0.12945925
1485,18,-0.0044855,-0.01746394444444444,0.053285932186616876,0.033224500000000004,0.12785849999999999
1486,18,-0.008426,-0.018179444444444443,0.05237895782852704,0.035715000000000004,0.11869939999999997
1487,18,-0.0080125,-0.01991216666666667,0.05048739958497507,0.044636999999999996,0.10398909999999996
1488,18,-0.020428,-0.02260261111111111,0.048736022031225575,0.0486775,0.08603219999999998
1489,18,-0.032521,-0.026745666666666668,0.05105876695937501,0.047445,0.09716729999999997
1490,18,-0.026215000000000002,-0.02707422222222223,0.04961279753374307,0.042775999999999995,0.10026275
1491,18,-0.03211,-0.028466722222222216,0.051794439340197125,0.040704500000000005,0.10475319999999998
1492,18,-0.026754,-0.029055777777777778,0.05366339179558571,0.042022000000000004,0.1102073
1493,18,-0.022543,-0.03102322222222222,0.055292269864523035,0.037683,0.11683135
1494,19,-0.02222,-0.031621263157894736,0.05589899778851347,0.032783,0.12058009999999997
1495,18,-0.035777,-0.03658933333333333,0.05216223552589385,0.043711,0.11900834999999998
1496,18,-0.043022500000000005,-0.03807194444444445,0.04992335985166749,0.0440265,0.11535334999999998
1497,18,-0.042533,-0.0377525,0.049728558516681926,0.03715,0.12214804999999998
1498,19,-0.037156,-0.03286678947368421,0.05061657095104434,0.039415,0.12635899999999997
1499,19,-0.023632,-0.03168631578947369,0.05101639879059873,0.031085,0.12746249999999995
1500,19,-0.015267,-0.03003836842105264,0.05113430074618377,0.025113999999999997,0.12743209999999994
1501,19,-0.009639,-0.028158947368421054,0.04936664841601472,0.031242,0.12623799999999996
1502,19,-0.010832,-0.02739315789473684,0.049176175011961,0.029847,0.1257682
1503,19,-0.015143,-0.027852526315789477,0.051629536145470944,0.024092000000000002,0.12739389999999998
1504,19,-0.014227,-0.027905,0.05388617252237453,0.030835,0.1279544
1505,19,-0.014889,-0.027031684210526315,0.054784344363505724,0.027673999999999997,0.1266495
1506,19,-0.011189,-0.026271578947368424,0.055204447091713134,0.039864000000000004,0.12046539999999999
1507,19,-0.006571,-0.02711505263157895,0.0555471003128313,0.040728,0.11346499999999998
1508,19,-0.007136,-0.029767315789473687,0.056713586345045745,0.042291999999999996,0.1183769
1509,19,-0.012992,-0.03220321052631579,0.05814299886637632,0.040826,0.1304137
1510,18,-0.021034499999999998,-0.039068,0.05640469725746148,0.029493,0.13675669999999995
1511,18,-0.0306985,-0.039910499999999995,0.05720020302848584,0.030349999999999995,0.14381879999999994
1512,18,-0.034397,-0.038696777777777774,0.05545286752523482,0.036054499999999996,0.12960724999999992
1513,18,-0.0339685,-0.035965,0.05292308499189011,0.041167499999999996,0.1114078499999999
1514,19,-0.037578,-0.02822568421052631,0.054707837052892595,0.04214999999999999,0.09896309999999987
1515,18,-0.0379575,-0.030795444444444445,0.05296213073977228,0.045125,0.10254269999999993
1516,15,-0.009104,-0.0270794,0.05940391343385672,0.044559,0.10840129999999996
1517,15,-0.004815,-0.02681766666666667,0.05878796531928071,0.045251,0.10730069999999996
1518,15,-0.01638,-0.027837933333333332,0.05853934283328077,0.036104,0.11549549999999999
1519,15,-0.031406,-0.0292134,0.061482224801505496,0.049396,0.12278819999999999
1520,15,-0.03736,-0.03174026666666666,0.0648449417087372,0.046412999999999996,0.130573
1521,15,-0.049247,-0.03404206666666666,0.06423854272104722,0.046005,0.138097
1522,15,-0.044846,-0.034486533333333326,0.05962803123276198,0.038932999999999995,0.12828649999999997
1523,15,-0.038395,-0.033583600000000005,0.05598046744662692,0.039248000000000005,0.11448109999999996
1524,16,-0.041095,-0.03271675,0.052632914675767924,0.0382605,0.10485275
1525,16,-0.03176,-0.020314562499999998,0.06538919116588893,0.0446155,0.12241925000000001
1526,16,-0.031621,-0.03336775,0.05189753698908391,0.039089,0.1144335
1527,16,-0.027971999999999997,-0.036059625,0.051904443257297345,0.0413885,0.119007
1528,16,-0.0350535,-0.0406410625,0.051121482832521915,0.043470499999999995,0.11799875
1529,16,-0.043160500000000004,-0.046256187500000004,0.049518602243626586,0.040135500000000005,0.11608874999999999
1530,15,-0.04822,-0.047175,0.048580184731754864,0.042793,0.11860859999999995
1531,16,-0.0492815,-0.0498999375,0.04966735168897002,0.03861250000000001,0.11777875
1532,15,-0.054542,-0.045482600000000005,0.052241704946199015,0.027142,0.11656259999999996
1533,15,-0.037602,-0.041131999999999995,0.05838280320069797,0.047165,0.11158519999999995
1534,16,-0.033301,-0.042538312499999995,0.05992448542036746,0.0517705,0.11976175
1535,17,-0.038411,-0.06028164705882353,0.08842584434141777,0.049897,0.18098779999999987
1536,17,-0.045958,-0.05177964705882353,0.05407799516663545,0.046301999999999996,0.14265
1537,17,-0.061437,-0.05005923529411765,0.051148274507222403,0.035296999999999995,0.10879339999999997
1538,17,-0.043051,-0.048978529411764705,0.04664034869230403,0.041066,0.11040979999999997
1539,17,-0.046151,-0.044695,0.050420394517000755,0.043597,0.10921759999999997
1540,17,-0.050094,-0.046422647058823534,0.053304911105756914,0.048354999999999995,0.11535499999999997
1541,18,-0.049729,-0.04005894444444444,0.07105465412787558,0.04370449999999999,0.14917924999999999
1542,18,-0.054789000000000004,-0.042710055555555564,0.0677934852418138,0.043923500000000004,0.13205774999999995
1543,18,-0.047919,-0.043889944444444454,0.06270661792119217,0.041965,0.14084805
1544,18,-0.03601,-0.044088,0.0597538791386605,0.0501095,0.14000269999999998
1545,18,-0.028754000000000002,-0.044294888888888884,0.058723437074725805,0.042008000000000004,0.12846339999999998
1546,18,-0.0301,-0.04804616666666667,0.05464218000264244,0.0343585,0.12759779999999998
1547,19,-0.018163,-0.042241578947368415,0.05782604699855881,0.031826,0.13025109999999993
1548,19,-0.02954,-0.04608010526315789,0.05222288732910412,0.031145999999999997,0.13064359999999992
1549,19,-0.045172,-0.05053510526315789,0.048526544836471536,0.02620200000000001,0.1304196999999999
1550,19,-0.053612,-0.0534903157894737,0.04800111148256261,0.028802,0.1301477999999999
1551,19,-0.06149,-0.05580384210526317,0.04882735224038896,0.027716000000000005,0.12877729999999987
1552,19,-0.070224,-0.05811989473684211,0.0505993908613914,0.03297799999999999,0.12368109999999988
1553,19,-0.064529,-0.056860842105263154,0.05422638570153337,0.03756,0.12853429999999988
1554,18,-0.051937,-0.05107188888888889,0.05529024037683418,0.03785550000000001,0.1214242999999999
1555,18,-0.0573665,-0.05179483333333333,0.05617709363228564,0.033593,0.1284082499999999
1556,18,-0.0598335,-0.05240772222222222,0.056237850060158676,0.045807,0.1266239499999999
1557,18,-0.051901,-0.05303672222222222,0.055632541317010585,0.0382865,0.13986649999999992
1558,18,-0.055919500000000004,-0.05598711111111111,0.054452231798791134,0.039585999999999996,0.15005639999999995
1559,18,-0.06645200000000001,-0.059075,0.05285123337199593,0.041895,0.14782224999999996
1560,18,-0.06644549999999999,-0.06326966666666667,0.05398392407984828,0.0445355,0.14368824999999993
1561,18,-0.056426500000000004,-0.06724977777777778,0.05734514878764484,0.041767000000000006,0.14493684999999992
1562,18,-0.059436,-0.07196716666666667,0.061230154020086615,0.049211000000000005,0.15770644999999994
1563,18,-0.053286,-0.07137355555555555,0.06212538250915238,0.053505,0.16020679999999995
1564,18,-0.045562,-0.0638871111111111,0.061748126764527074,0.052445000000000006,0.1560336
1565,18,-0.049218,-0.057998999999999995,0.061404256395867315,0.050307000000000004,0.14170904999999998
1566,19,-0.055896,-0.04829284210526316,0.055990628112869784,0.050604,0.11939729999999996
1567,16,-0.058901999999999996,-0.05430475,0.05016859083330924,0.04378,0.1198005
1568,16,-0.053488999999999995,-0.0521886875,0.04864961536363024,0.03988250000000001,0.1285845
1569,16,-0.05257,-0.053443624999999995,0.050596535554488974,0.047374,0.13102625
1570,16,-0.0625745,-0.055064437499999994,0.0525601179006399,0.054400500000000004,0.126005
1571,16,-0.0661665,-0.058021500000000004,0.053309074455793484,0.0458645,0.1285725
