frame_id,fold,point_count,q_mae_mm,c_mae_mm,q_rmse_mm,c_rmse_mm,q_p95_mm,c_p95_mm,delta_mae_mm,delta_rmse_mm,delta_p95_mm,delta_sq_error_sum_mm2,rmse_winner,mae_winner,p95_winner
015,2,900,0.0833853718007185,0.0738574812810663,0.1012185996986721,0.08986643420364117,0.17178331892708906,0.15293755974578285,0.009527890519652207,0.01135216549503093,0.01884575918130621,1.9523060356343924,Cone,Cone,Cone
016,3,900,0.045551965115726116,0.03957982131249128,0.06223038326028252,0.055959308562813455,0.12088398770334825,0.10986757033394941,0.005972143803234839,0.006271074697469063,0.011016417369398845,0.667058747304135,Cone,Cone,Cone
017,4,900,0.07304490365443406,0.07274055929194266,0.08621356076980435,0.08475140498882677,0.15689102207618358,0.13816185584489055,0.00030434436249139607,0.001462155780977581,0.018729166231293032,0.2249796717257544,Cone,Cone,Cone
018,5,900,0.08204125547985423,0.08134669840872596,0.10198282882380087,0.10541393005971061,0.1891535626521942,0.20519777175090895,0.0006945570711282684,-0.003431101235909742,-0.016044209098714735,-0.6404393481560007,Quadratic,Cone,Quadratic
025,0,900,0.08430316478142633,0.09513220178219838,0.10648085460485249,0.12730345423271572,0.22433739862631222,0.289881142372036,-0.010829037000772049,-0.02082259962786323,-0.06554374374572378,-4.38119735598127,Quadratic,Quadratic,Quadratic
026,1,900,0.06083630353367017,0.0676877519572124,0.07836693821180352,0.08769457356918298,0.1559767874039152,0.1772714180898901,-0.006851448423542225,-0.00932763535737946,-0.021294630685974897,-1.3940651059093945,Quadratic,Quadratic,Quadratic
027,2,900,0.24134896534955158,0.24764957620455624,0.3054249221627577,0.31335812677343655,0.5248416567356287,0.5402005494186483,-0.0063006108550046624,-0.007933204610678868,-0.015358892683019598,-4.418039283147493,Quadratic,Quadratic,Quadratic
028,3,900,0.06244494563965187,0.08047658640749177,0.0798718912865418,0.09558461070623706,0.159062457097616,0.17322175084172492,-0.018031640767839897,-0.01571271941969525,-0.01415929374410893,-2.4812089075563604,Quadratic,Quadratic,Quadratic
029,4,900,0.05198755412263882,0.05319340073462774,0.0715916124868225,0.07304374018658008,0.1571080471981644,0.1654197850773584,-0.0012058466119889213,-0.0014521276997575827,-0.008311737879194009,-0.18902610178312784,Quadratic,Quadratic,Quadratic
030,5,900,0.04512510532169859,0.04518837114748302,0.07107773893729301,0.06775135577438621,0.13692027721324954,0.12900630241180686,-6.32658257844268e-05,0.0033263831629068014,0.00791397480144268,0.41561888685347004,Cone,Quadratic,Cone
031,0,900,0.0506661244862847,0.05488062313847632,0.06933365328846039,0.06852117080798985,0.14727021892773556,0.12864196341421344,-0.004214498652191617,0.0008124824804705416,0.018628255513522124,0.10080416648404089,Cone,Quadratic,Cone
032,1,900,0.06341460724127838,0.05758091348957371,0.08543047890771754,0.07830390706002101,0.17669772390045752,0.1672892927998531,0.005833693751704672,0.007126571847696536,0.009408431100604409,1.0501783789838077,Cone,Cone,Cone
033,2,900,0.04022352138446228,0.039900372514928555,0.05748777109054326,0.05652231806428248,0.14259280505694386,0.1361837787975843,0.00032314886953372507,0.0009654530262607833,0.006409026259359546,0.09906424703890959,Cone,Cone,Cone
