task_id,frame_index,filename,image_height,image_width,seed_row,adaptive_row_threshold,raw_candidate_top,raw_candidate_bottom,margin_before_clip,margin_after_clip,roi_max_height_applied,final_band_top,final_band_bottom
multiheight,39,images/multiheight/0039.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,40,images/multiheight/0040.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,41,images/multiheight/0041.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,42,images/multiheight/0042.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,43,images/multiheight/0043.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,44,images/multiheight/0044.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,45,images/multiheight/0045.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,46,images/multiheight/0046.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,47,images/multiheight/0047.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,48,images/multiheight/0048.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,49,images/multiheight/0049.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
multiheight,50,images/multiheight/0050.tif,2048,2448,1296,76.5,1294,1301,"[1246, 1349]","[1246, 1349]",false,1246,1349
