record_type,model,name,region,point_count,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,measured_height_mean_mm,measured_height_median_mm,measured_height_std_mm,height_difference_mae_mm,height_difference_bias_mm,height_difference_rmse_mm,baseline_inlier_count,height_inlier_count,profile_slope_z_per_mm,profile_intercept_z_mm,model_id,valid_baseline_count,valid_height_count,s_min,s_max,s_extrapolated_count,mean_c1_correction_mm,max_abs_c1_correction_mm,within_0_2mm,worst_position_rmse_mm,worst_position_p95_abs_mm,position_bias_range_mm,position_rmse_range_mm,position_p95_range_mm,all_positions_within_0_2mm
position,C0,P08_v2905.0,bottom,61,-0.07093257017151683,0.07093257017151683,0.0753838722859045,0.11294948222353796,0.1279786810011032,19.929067429828486,19.92797634194534,0.025520554258879273,0.07093257017151683,-0.07093257017151683,0.0753838722859045,161,61,0.0026661819425906983,-0.06409539204104553,C0,169,67,0.1946902776541396,0.2037112277937999,65,0.0,0.0,true,,,,,,
position,C1_4k,P08_v2905.0,bottom,61,-0.03852390505003275,0.04079359116558549,0.04816744143115307,0.08502589827091356,0.10131741648532966,19.961476094949965,19.961790496534526,0.02891385746868831,0.04079359116558549,-0.03852390505003275,0.04816744143115307,160,61,0.002115594001705781,-0.043152609209038996,C1_4k,169,67,0.1946902776541396,0.2037112277937999,65,-0.05381768021771588,0.06365442169385203,true,,,,,,
region,C0,Top,top,78,-0.11549521086417787,0.11549521086417787,0.1177823993484182,0.1499827631694753,0.1566264140533562,,,,,,,,,,,,,,,,,,,true,,,,,,
region,C0,Middle,middle,426,-0.051544932986483244,0.054999718111239056,0.06348522786312413,0.11425819306871965,0.13131485976763813,,,,,,,,,,,,,,,,,,,true,,,,,,
region,C0,Bottom,bottom,61,-0.07093257017151683,0.07093257017151683,0.0753838722859045,0.11294948222353796,0.1279786810011032,,,,,,,,,,,,,,,,,,,true,,,,,,
overall,C0,All_positions,global,565,-0.06246664545152259,0.06507149228894908,0.07461590036211495,0.12550839367896457,0.1566264140533562,,,,,,,,,,,,,,,,,,,,0.1177823993484182,0.1499827631694753,0.12328602450290067,0.10217827037874158,0.12235839236226162,true
region,C1_4k,Top,top,78,-0.24541515675504022,0.24541515675504022,0.24848524877889885,0.30082416132096607,0.3213906666137447,,,,,,,,,,,,,,,,,,,false,,,,,,
region,C1_4k,Middle,middle,426,-0.05705387539153353,0.05706357153880239,0.06214237948513476,0.10370276656840893,0.11976377681948236,,,,,,,,,,,,,,,,,,,true,,,,,,
region,C1_4k,Bottom,bottom,61,-0.03852390505003275,0.04079359116558549,0.04816744143115307,0.08502589827091356,0.10131741648532966,,,,,,,,,,,,,,,,,,,true,,,,,,
overall,C1_4k,All_positions,global,565,-0.08105715283493527,0.0813095093159711,0.10810273389869857,0.2651379061575475,0.3213906666137447,,,,,,,,,,,,,,,,,,,,0.24848524877889885,0.30082416132096607,0.2075665796666865,0.20770401520939583,0.23842480370532132,false
