variant,mask,model,region,v_bin_lo_px,v_bin_hi_px,point_count,frame_count,valid_intersections,valid_rate,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,surface_rmse_mm,ray_rmse_mm
new,new_full_board_physical_inset_0mm,global_plane,v_0800_0900,800.0,900.0,629,17,629,1.0,-0.01107012867222442,0.048005423059035116,0.060178971530122014,0.11618550767368561,0.22258530946999144,0.018278216476203153,0.060940251238551124
new,new_full_board_physical_inset_0mm,global_plane,v_0900_1000,900.0,1000.0,812,18,812,1.0,0.09064959745749575,0.0927504176060255,0.10821336635104899,0.17768492880445588,0.3655460570852256,0.034107125467440755,0.11314565973472518
new,new_full_board_physical_inset_0mm,global_plane,v_1000_1100,1000.0,1100.0,805,18,805,1.0,0.17245031411656744,0.17263406197479433,0.1811476938514685,0.2595135124800663,0.3778216270821986,0.05651149271238986,0.1876305191526623
new,new_full_board_physical_inset_0mm,global_plane,v_1100_1200,1100.0,1200.0,723,18,723,1.0,0.2465375780249197,0.24680312960410944,0.25524946112878383,0.33257031696816736,0.5503011298193314,0.07842221657705986,0.2603143022763169
new,new_full_board_physical_inset_0mm,global_plane,v_1200_1300,1200.0,1300.0,874,18,874,1.0,0.3068471189263088,0.3068471189263088,0.3098451554231099,0.3834037247187495,0.4577736514775097,0.09593368378175109,0.3180117361700916
new,new_full_board_physical_inset_0mm,global_plane,v_1300_1400,1300.0,1400.0,840,18,840,1.0,0.3004733443227435,0.3004733443227435,0.30533786745339336,0.38171803472109783,0.46444602171823135,0.0945211394702647,0.3136317397965376
new,new_full_board_physical_inset_0mm,global_plane,v_1400_1500,1400.0,1500.0,753,18,753,1.0,0.2862599859414154,0.2862599859414154,0.29054532434907804,0.3638431515827278,0.4280371969979342,0.0896057924033992,0.2971293144172039
new,new_full_board_physical_inset_0mm,global_plane,v_1500_1600,1500.0,1600.0,846,18,846,1.0,0.24157252836865498,0.24157252836865498,0.24912979647187047,0.3262182070377264,0.5174089606614416,0.07673888854047632,0.2545088247742661
new,new_full_board_physical_inset_0mm,global_plane,v_1600_1700,1600.0,1700.0,891,18,891,1.0,0.15990799532653838,0.15990799532653838,0.1719265957329952,0.2589880544809944,0.42613197068430964,0.05371606374589317,0.17706847233386958
new,new_full_board_physical_inset_0mm,global_plane,v_1700_1800,1700.0,1800.0,782,18,782,1.0,0.1271694795725119,0.12718409748288587,0.13980927531875648,0.22089820085315068,0.3804865700084292,0.044140459236396486,0.14470550567831433
new,new_full_board_physical_inset_0mm,global_plane,v_1800_1900,1800.0,1900.0,660,18,660,1.0,0.10813322978843579,0.11055148501984138,0.12606014508929986,0.2184521426715321,0.2977115455050807,0.03974657013044907,0.13031530469345226
new,new_full_board_physical_inset_0mm,global_plane,v_1900_2000,1900.0,2000.0,677,18,677,1.0,0.04672467042255203,0.06707865299925511,0.08115855481193816,0.14435555081468,0.23487492903075236,0.025876889725523593,0.08415421779545021
new,new_full_board_physical_inset_0mm,global_plane,v_2000_2100,2000.0,2100.0,635,15,635,1.0,-0.027215614746345578,0.0693412522150798,0.08423719717416468,0.16192138330121672,0.22502080718709294,0.025858992116934904,0.08586431745387949
new,new_full_board_physical_inset_0mm,global_plane,v_2100_2200,2100.0,2200.0,368,11,368,1.0,-0.09594983069217763,0.101446454107767,0.12740547551561174,0.22684838033544566,0.357829075560403,0.03781899529473924,0.12839489982878982
new,new_full_board_physical_inset_0mm,global_plane,v_2200_2300,2200.0,2300.0,299,9,299,1.0,-0.21148407212495554,0.21150553633539407,0.23728938052462054,0.3896149555268947,0.5921126149672773,0.07077524113568438,0.24017857807127907
