dataset,split,pose,frame_count,exposure_us,search_mode,peak_p50_dn,peak_p95_dn,saturation_fraction,near_saturation_fraction,fwhm_p50_px,fwhm_p95_px,valid_fraction,response_p50,frame_index,filename,search_start_px,search_end_px
obs/test,fit,006,1,200.0,hard_roi,94.0,163.0,0.002509410288582183,0.003136762860727729,2.8229898648648657,5.600000000000023,0.5313333333333333,15.912491798400879,1,fit/laser 006.tif,1760.0,2240.0
obs/test,fit,006,1,200.0,hard_roi,94.0,164.0,0.0024968789013732834,0.0024968789013732834,2.8078009561060355,5.724166666666684,0.534,15.89473295211792,2,fit/laser 006_02.tif,1760.0,2240.0
obs/test_350,fit,001,1,350.0,hard_roi,63.0,252.0,0.047443762781186095,0.05439672801635992,3.5625,6.046666666666665,0.815,6.363286018371582,1,fit/laser 001.tif,1760.0,2240.0
obs/test_350,fit,001,1,350.0,hard_roi,64.0,253.0,0.04895960832313342,0.05426356589147287,3.5378151260504183,6.034992784992795,0.817,6.362453460693359,2,fit/laser 001_02.tif,1760.0,2240.0
obs/test_350,fit,002,1,350.0,hard_roi,106.0,255.0,0.0587995100040833,0.062474479379338504,3.2698412698412653,5.949999999999989,0.8163333333333334,20.327091217041016,1,fit/laser 002.tif,1760.0,2240.0
obs/test_350,fit,002,1,350.0,hard_roi,108.5,255.0,0.056511056511056514,0.06306306306306306,3.263092538798304,6.0036538461538465,0.814,20.50529193878174,2,fit/laser 002_02.tif,1760.0,2240.0
obs/test_350,fit,003,1,350.0,hard_roi,131.0,255.0,0.05416495691423882,0.06114074681986048,3.100502512562798,5.923223443223423,0.8123333333333334,23.012544631958008,1,fit/laser 003.tif,1760.0,2240.0
obs/test_350,fit,003,1,350.0,hard_roi,131.0,255.0,0.054665022605836416,0.06041923551171394,3.1160377358490905,6.0,0.811,23.06171989440918,2,fit/laser 003_02.tif,1760.0,2240.0
obs/test_350,fit,004,1,350.0,hard_roi,119.0,248.0,0.04326728669632026,0.04771532551556813,3.192307692307679,5.953663003663002,0.8243333333333334,21.005064010620117,1,fit/laser 004.tif,1760.0,2240.0
obs/test_350,fit,004,1,350.0,hard_roi,118.5,248.04999999999973,0.044758064516129036,0.04959677419354839,3.193246637497964,5.933541666666669,0.8266666666666667,20.866737365722656,2,fit/laser 004_02.tif,1760.0,2240.0
obs/test_350,fit,005,1,350.0,hard_roi,64.0,236.0,0.03289209787404733,0.03810669875651825,3.5108359133126896,6.069999999999994,0.831,6.871532917022705,1,fit/laser 005.tif,1760.0,2240.0
obs/test_350,fit,005,1,350.0,hard_roi,64.0,236.0,0.03278688524590164,0.03638544582167133,3.503390596745021,6.130681818181813,0.8336666666666667,6.851901531219482,2,fit/laser 005_02.tif,1760.0,2240.0
obs/test_350,fit,006,1,350.0,hard_roi,51.0,228.75,0.03441608662026296,0.03557617942768755,3.9229242979242827,6.199999999999989,0.862,5.7362587451934814,1,fit/laser 006.tif,1760.0,2240.0
obs/test_350,fit,006,1,350.0,hard_roi,51.0,229.0,0.033179012345679014,0.035493827160493825,3.9331521739130437,6.272162698412685,0.864,5.700772762298584,2,fit/laser 006_02.tif,1760.0,2240.0
