dataset,split,pose,frame_count,exposure_us,search_mode,peak_p50_dn,peak_p95_dn,saturation_fraction,near_saturation_fraction,fwhm_p50_px,fwhm_p95_px,valid_fraction,response_p50
laser_plane,fit,017,1,200.0,auto,98.5,171.0,0.0,0.0,2.0700549450549453,3.9268382352941167,0.07,15.750306606292725
laser_plane,fit,018,1,200.0,auto,116.0,187.3499999999999,0.002818489289740699,0.002818489289740699,2.264436439179633,3.10414548022599,0.5913333333333334,18.76639747619629
laser_plane,validation,019,1,200.0,auto,123.0,207.54999999999995,0.0087248322147651,0.010067114093959731,2.1917827130852316,3.5011427717019834,0.49666666666666665,20.124975204467773
laser_plane,validation,020,1,200.0,auto,104.0,170.0,0.0034317089910775567,0.0034317089910775567,2.489001081860799,3.335377506265665,0.4856666666666667,16.914316177368164
laser_plane,validation,021,1,200.0,auto,169.0,255.0,0.1148018648018648,0.12237762237762238,1.7990335589197848,2.2532834288080794,0.572,25.9473934173584
laser_plane,validation,022,1,200.0,auto,116.5,180.0,0.0005995203836930455,0.0017985611510791368,2.0636363636363626,2.5647913253351717,0.556,18.38844394683838
laser_plane,validation,023,1,200.0,auto,109.0,173.0,0.003989361702127659,0.004654255319148936,2.486484538784067,3.4594562466446783,0.5013333333333333,17.848401069641113
laser_plane,validation,024,1,200.0,auto,152.0,232.0,0.027860106698280974,0.03260225251926497,2.005882352941171,2.530402772902768,0.5623333333333334,23.817583084106445
obs/.chessboard.inprogress,fit,001,2,200.0,hard_roi,98.0,159.89999999999964,0.001248829222603809,0.0018732438339057135,2.715617715617725,3.5625,0.5338333333333334,15.631229400634766
obs/.chessboard.inprogress,fit,002,2,200.0,hard_roi,102.0,166.0,0.002280501710376283,0.002280501710376283,2.6259590792838594,3.683756293348182,0.4385,16.29098892211914
obs/.chessboard.inprogress,fit,003,2,200.0,hard_roi,103.0,165.0,0.00191131498470948,0.00191131498470948,2.5871493031172577,3.610633116883136,0.436,16.459948539733887
obs/.chessboard.inprogress,fit,004,2,200.0,hard_roi,103.0,164.0,0.0026936026936026937,0.0026936026936026937,2.5722441319631173,3.603492063492065,0.495,16.44056987762451
obs/.chessboard.inprogress,fit,005,2,200.0,hard_roi,104.0,167.0,0.0009927200529450694,0.0016545334215751159,2.6097689518324785,3.6043841575091733,0.5036666666666667,16.489810943603516
obs/.chessboard.inprogress,fit,006,2,200.0,hard_roi,103.0,172.0,0.00578915295551493,0.007007921998781231,2.5634088717454233,3.7245604470492166,0.547,16.610898971557617
obs/test,fit,001,2,200.0,hard_roi,95.0,159.0,0.0035961272475795295,0.004702627939142462,2.7417647058823036,5.584294871794855,0.6025,15.562027931213379
obs/test,fit,002,2,200.0,hard_roi,94.0,165.0,0.0063465783664459164,0.006622516556291391,2.769894153046323,5.583333333333314,0.6040000000000001,15.632030010223389
obs/test,fit,003,2,200.0,hard_roi,92.0,157.0,0.0030864197530864196,0.003367003367003367,2.7930782395898746,5.285714285714278,0.5940000000000001,14.975811958312988
obs/test,fit,004,2,200.0,hard_roi,88.0,158.0,0.0046444121915820025,0.0046444121915820025,2.852515243902417,5.123333333333332,0.5741666666666667,14.080682754516602
obs/test,fit,005,2,200.0,hard_roi,90.0,159.0,0.0021691973969631237,0.0021691973969631237,2.9284163473818694,6.0995535714285865,0.46099999999999997,15.908280372619629
obs/test,fit,006,2,200.0,hard_roi,94.0,164.0,0.0025031289111389237,0.002816020025031289,2.8157728216171165,5.635912698412682,0.5326666666666666,15.89473295211792
obs/test_350,fit,001,2,350.0,hard_roi,63.0,252.0,0.04820261437908497,0.054330065359477125,3.5523644179894234,6.042261904761901,0.816,6.362869739532471
obs/test_350,fit,002,2,350.0,hard_roi,108.0,255.0,0.05765692087507667,0.06276835003066858,3.2642540116081022,6.0,0.8151666666666666,20.364919662475586
obs/test_350,fit,003,2,350.0,hard_roi,131.0,255.0,0.054414784394250515,0.06078028747433265,3.1062368488065317,5.9643269230769125,0.8116666666666668,23.048789978027344
obs/test_350,fit,004,2,350.0,hard_roi,119.0,248.0,0.04401372905309913,0.04865737936604078,3.192307692307679,5.949999999999989,0.8255,20.880451202392578
obs/test_350,fit,005,2,350.0,hard_roi,64.0,236.0,0.03283940728874649,0.03724469363235883,3.5066004402224564,6.1025000000000125,0.8323333333333334,6.866129159927368
obs/test_350,fit,006,2,350.0,hard_roi,51.0,229.0,0.03379683275395906,0.035534955581305525,3.9270032051282158,6.25,0.863,5.718085765838623
