scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
51,2166.321699514985,0.005738061617091413,nan,0.0,1.0,0.0,False
52,2166.348490267992,0.003366816699595748,nan,0.0,1.0,0.0,False
53,2166.293659776449,0.017504049801907912,nan,0.0,1.0,0.0,False
54,2166.1774848923087,0.024342892271694727,nan,0.0,1.0,0.0,False
55,2166.099662628025,0.022791124334864566,nan,0.0,1.0,0.0,False
56,2166.1044872775674,0.015497859812789356,nan,0.0,1.0,0.0,False
57,2166.1446011662483,0.007815964468951254,nan,0.0,1.0,0.0,False
58,2166.172983624041,0.004928494414182032,nan,0.0,1.0,0.0,False
59,2166.1836549714208,0.0074606559992922905,nan,0.0,1.0,0.0,False
60,2166.1980054602027,0.008900371271000174,nan,0.0,1.0,0.0,False
61,2166.2084698677063,0.006185534707731574,nan,0.0,1.0,0.0,False
62,2166.197100572288,0.00026033054653966473,nan,0.0,1.0,0.0,False
63,2166.169086486101,0.011269835484146255,nan,0.0,1.0,0.0,False
64,nan,0.0,nan,0.0,0.0,0.0,False
65,2166.0609653089195,0.0332677482275017,nan,0.0,1.0,0.0,False
66,2165.980439506704,0.032019124462036426,nan,0.0,1.0,0.0,False
67,2165.9240433555096,0.019814516329672835,nan,0.0,1.0,0.0,False
68,2165.9276236258447,0.01106108741182786,nan,0.0,1.0,0.0,False
69,2165.9512343108654,0.003937226878986124,nan,0.0,1.0,0.0,False
70,2165.9556515123695,0.007536549302570251,nan,0.0,1.0,0.0,False
71,2165.9384421519935,0.022727956745658865,nan,0.0,1.0,0.0,False
72,2165.9121860079467,0.037246218431933764,nan,0.0,1.0,0.0,False
73,2165.886932965368,0.0464417335463436,nan,0.0,1.0,0.0,False
74,2165.8609625175595,0.048932417364163074,nan,0.0,1.0,0.0,False
75,2165.8304659053683,0.045281573052452416,nan,0.0,1.0,0.0,False
76,2165.801150612533,0.033707058000420904,nan,0.0,1.0,0.0,False
77,2165.7755752131343,0.01789724828837817,nan,0.0,1.0,0.0,False
78,2165.7464439868927,0.0071792941753456895,nan,0.0,1.0,0.0,False
79,2165.704460963607,0.0046121928528199,nan,0.0,1.0,0.0,False
80,2165.651170924306,0.0052433419092705385,nan,0.0,1.0,0.0,False
81,2165.621084958315,0.004872428568950415,nan,0.0,1.0,0.0,False
82,2165.6436977386475,0.010684521125451213,nan,0.0,1.0,0.0,False
83,2165.6849824637175,0.018927580683787613,nan,0.0,1.0,0.0,False
84,2165.699666827917,0.0,nan,0.0,0.5,0.0,False
85,2165.728587895632,0.01332063791241359,nan,0.0,1.0,0.0,False
86,2165.737494841218,0.004474330511340766,nan,0.0,1.0,0.0,False
87,2165.7480112686753,0.008399329535902667,nan,0.0,1.0,0.0,False
88,2165.7606571912766,0.017635210794473815,nan,0.0,1.0,0.0,False
89,2165.7470123544335,0.01815084587586822,nan,0.0,1.0,0.0,False
90,2165.7183118909597,0.013256427188707244,nan,0.0,1.0,0.0,False
91,2165.701797142625,0.005193650774876195,nan,0.0,1.0,0.0,False
92,2165.705639600754,0.006536891910342643,nan,0.0,1.0,0.0,False
93,2165.700170278549,0.017134126912527796,nan,0.0,1.0,0.0,False
94,2165.6510203182697,0.017561158781640173,nan,0.0,1.0,0.0,False
95,2165.5820361822844,0.009417692226335017,nan,0.0,1.0,0.0,False
