split,weighting,region,v_min_px,v_max_px,baseline_sample_count,analysis_sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,after_bias_mm,after_mae_mm,after_rmse_mm,after_p95_abs_mm,after_residual_energy,explained_energy,explained_fraction
validation,point_equal,bin_1500_1799,1500,1800,585,585,0,-0.122198901033,0.122198901033,0.12819991838,0.177059721383,9.61460315752,0.02189015366,0.0224177030452,0.0286058184141,0.0419929048885,0.478701315577,9.13590184195,0.950211016749
validation,point_equal,bin_1800_2099,1800,2100,605,605,0,-0.101984697754,0.102017463163,0.10717180777,0.157727635795,6.9489068103,0.0128294916811,0.0231035358815,0.0264973450065,0.0410051715153,0.424776121897,6.52413068841,0.938871518428
validation,point_equal,bin_2100_2399,2100,2400,508,508,0,-0.113760562057,0.115057180353,0.121442797637,0.181272090717,7.49216337373,0.0013544512889,0.029452352101,0.0302776679528,0.0404230776085,0.465702485743,7.02646088799,0.937841386725
validation,point_equal,bin_2400_2699,2400,2700,840,840,0,-0.172680115548,0.173015003577,0.178647201559,0.248277984133,26.8084510048,0.0107592058994,0.0360337203488,0.0363560319681,0.0441480707202,1.11027929079,25.698171714,0.95858472798
validation,point_equal,bin_2700_2999,2700,3000,631,631,0,-0.16103678896,0.284423823118,0.297654034991,0.422421954237,55.9052903887,-2.28878750574e-06,0.0424141264154,0.0435311749022,0.0581321763726,1.19572177186,54.7095686168,0.978611652608
validation,point_equal,extrap_top_v_lt_242,0,241.997693497,567,567,0,0.133904054026,0.161910953032,0.270033744384,0.593889942504,41.3446325013,0.0446442429525,0.0446442429525,0.0475585521377,0.0716680096813,1.28244960478,40.0621828965,0.968981472873
validation,point_equal,extrap_bottom_v_gt_2732,2731.97787458,3000,535,535,0,-0.141432357597,0.286959868912,0.302164570406,0.424545170576,48.8473337707,-0.00125954031005,0.043164962689,0.0443143797225,0.0581619012172,1.05061387385,47.7967198969,0.97849188906
validation,frame_equal,top_0_299,0,300,684,684,0,0.0762319921213,0.118753318879,0.216512122978,0.55364753237,32.9425650781,0.0382993179595,0.0382993179595,0.0409245790046,0.0652484901375,1.17695922327,31.7656058549,0.96427238679
validation,frame_equal,middle_300_2699,300,2700,4734,4734,0,-0.141968970987,0.142213494312,0.156620526634,0.261268288383,115.489021128,0.0241955219097,0.0315921272037,0.0333293252481,0.0434819307322,5.22993610884,110.259085019,0.954714863303
validation,frame_equal,bottom_2700_2999,2700,3000,631,631,0,-0.130461871086,0.273245195826,0.286226244277,0.417738645933,52.2838552592,0.00789584995714,0.0402758671515,0.0413334736099,0.0566674862399,1.09031630913,51.1935389501,0.979146214377
validation,frame_equal,bin_0000_0299,0,300,684,684,0,0.0762319921213,0.118753318879,0.216512122978,0.55364753237,32.9425650781,0.0382993179595,0.0382993179595,0.0409245790046,0.0652484901375,1.17695922327,31.7656058549,0.96427238679
validation,frame_equal,bin_0300_0599,300,600,531,531,0,-0.111922347711,0.112452269788,0.12658774309,0.223138286152,8.62414930817,0.0395390614705,0.0395390614705,0.0404762297497,0.0546395277756,0.881724802677,7.7424245055,0.897760953438
validation,frame_equal,bin_0600_0899,600,900,542,542,0,-0.250925642463,0.250925642463,0.253383137502,0.313666165941,34.6784580483,0.0350651322261,0.0350651322261,0.0354465314019,0.0426378535886,0.678659366985,33.9997986813,0.980429943972
validation,frame_equal,bin_0900_1199,900,1200,555,555,0,-0.160744503495,0.160744503495,0.168732625356,0.230839411054,15.5763422358,0.0311801660005,0.0311801660005,0.0315962083179,0.0403199086662,0.546181882561,15.0301603532,0.964935164219
validation,frame_equal,bin_1200_1499,1200,1500,568,568,0,-0.0729195506945,0.0729195506945,0.0803562677187,0.137697460437,3.63102669146,0.0289344110686,0.0289344110686,0.0311788758376,0.0407274481303,0.546651862899,3.08437482856,0.849449781192
validation,frame_equal,bin_1500_1799,1500,1800,585,585,0,-0.125367673124,0.125367673124,0.130872078075,0.17834961956,9.90452595614,0.0240577279486,0.0249224700678,0.0300747963817,0.0404954667772,0.523052267111,9.38147368903,0.947190580405
validation,frame_equal,bin_1800_2099,1800,2100,605,605,0,-0.105642959617,0.105683654822,0.110626005857,0.159015422274,7.18469905155,0.0158495844715,0.0253995233783,0.027826633856,0.0396810950497,0.45458537933,6.73011367222,0.936728681874
validation,frame_equal,bin_2100_2399,2100,2400,508,508,0,-0.118588452513,0.119886603059,0.126473207121,0.182513749741,7.68033953346,0.00620952447057,0.0307512905227,0.0313500817504,0.0392465627625,0.471911664266,7.2084278692,0.938555885165
validation,frame_equal,bin_2400_2699,2400,2700,840,840,0,-0.174008183387,0.174258329781,0.179573209397,0.248270070198,28.2094803033,0.0161944338693,0.0355510170517,0.0358953752183,0.0440460777953,1.12716888301,27.0823114203,0.960042905049
