bin_width_px,v_start_px,v_end_px,v_center_px,region,model,status,unique_frame_count,point_count,lambda_ref_mm,lambda_min_mm,lambda_max_mm,lambda_span_mm,crossframe_median_lambda_span_mm,b0_offset_only_mm,b0_mm,b1_mm_per_mm,design_condition_number_standardized,corr_lambda_residual,total_energy,offset_remaining_energy,depth_remaining_energy,offset_explained_fraction,offset_plus_depth_explained_fraction,incremental_depth_explained_fraction,offset_rmse_mm,depth_rmse_mm,depth_usable,bootstrap_count,b0_p05_mm,b0_p50_mm,b0_p95_mm,b1_p05_mm_per_mm,b1_p50_mm_per_mm,b1_p95_mm_per_mm,b1_bootstrap_sign_consistency,b1_loo_min_mm_per_mm,b1_loo_max_mm_per_mm,b1_loo_sign_consistency,b1_stable,row_type,total_energy_frame_equal,offset_remaining_energy_frame_equal,offset_plus_depth_remaining_energy_frame_equal,before_rmse_mm,offset_plus_depth_rmse_mm,depth_rmse_reduction_vs_offset_fraction,frame_mean_std_before_mm,frame_mean_std_after_offset_mm,frame_mean_std_after_offset_plus_depth_mm
30,450,480,465.0,middle_formal,M_current29_circular,depth_informative,14,204,687.82335277033,633.1378410413779,713.5259355338092,80.38809449243126,80.34939677030854,0.05113450849243225,0.04837858789019058,-0.0003071548438608035,1.5268919785793182,-0.22388490473407618,0.0969196104417754,0.06031327901909864,0.05948977699623047,0.37769788029294726,0.3861946336240276,0.008496753331080397,0.06563605227698452,0.06518642332146345,True,500,0.021639286637956834,0.050248860722650335,0.07109001769354545,-0.0014820116081214806,-0.00026581686639319204,0.0007305573074054123,0.658,-0.0008037309585095579,9.278236881864439e-05,0.9285714285714286,False,,,,,,,,,,
30,480,510,495.0,middle_formal,M0,depth_informative,14,217,687.398256899188,633.6751042882872,713.4988957155011,79.8237914272139,79.80928398817753,0.02773359680684373,0.026008613499674788,-0.0002011719949853906,1.467453943891305,0.0759738939483155,0.0481234620200128,0.037355328534188784,0.03700500721516924,0.2237605740282348,0.2310402107026256,0.007279636674390855,0.051654987682140205,0.05141220478722457,True,500,0.007714912452486312,0.026214626278815413,0.04164484140136938,-0.0011297405525534567,-0.0002513875510015451,0.000861628701868239,0.648,-0.0006964336017132353,0.00019718656937989275,0.7857142857142857,False,,,,,,,,,,
30,480,510,495.0,middle_formal,M_current29_circular,depth_informative,14,217,687.398256899188,633.6751042882872,713.4988957155011,79.8237914272139,79.80928398817753,0.048347861956149096,0.04401025511932509,-0.0005058628783244762,1.467453943891305,-0.06156101932536706,0.07198921459482664,0.03926399401459474,0.0370488746002806,0.454585048113355,0.4853552048205977,0.030770156707242712,0.052958200507971204,0.05144266892118184,True,500,0.02655834934153113,0.04440975860909155,0.060482724316596057,-0.0013766238697292855,-0.0005025665640867402,0.0006402672332860655,0.78,-0.0010026973339737344,-0.00010948725201608701,1.0,False,,,,,,,,,,
30,510,540,525.0,middle_formal,M0,depth_informative,17,260,686.8872651861004,630.0800738345737,713.4737158955722,83.39364206099856,83.00509540519897,0.007545852085799822,0.007805855188232664,2.5771992483433743e-05,1.504576883898631,-0.06149275280775429,0.06541850568869736,0.0644505276657843,0.06444303005560778,0.014796700302500354,0.014911310229730912,0.00011460992723059123,0.06157278221545635,0.061569200692060976,True,500,-0.01470793594836006,0.008693728190237749,0.029748372044997397,-0.001162269470779629,4.0847958527908125e-05,0.0009548379731971083,0.534,-0.0003454333519542744,0.0003724556422026206,0.6470588235294118,False,,,,,,,,,,
30,510,540,525.0,middle_formal,M_current29_circular,depth_informative,17,260,686.8872651861004,630.0800738345737,713.4737158955722,83.39364206099856,83.00509540519897,0.028072862426922005,0.02530156730843508,-0.0002746959412973625,1.504576883898631,-0.18976657134732675,0.07884253993661616,0.06544508465432103,0.06459329698334312,0.1699267336271224,0.18073038951723808,0.010803655890115692,0.06204603824595801,0.06164094179117104,True,500,0.0036553635072929,0.025922770627487112,0.0462099801921824,-0.0015109799235724403,-0.0002962768197801171,0.0006540361597373183,0.684,-0.0006480066208011987,7.249218833850265e-05,0.8823529411764706,False,,,,,,,,,,
30,540,570,555.0,middle_formal,M0,depth_informative,20,297,686.5004045783385,630.862361368145,713.4460435619725,82.58368219382749,82.11547584975483,-0.009658816654951677,-0.012038585543838982,-0.0003164539453067136,1.3532350396433015,-0.1618051206521356,0.07223667456457986,0.07037081978110041,0.0691373769724658,0.025829743613285605,0.042904765630417674,0.017075022017132065,0.05931729081014254,0.058795143070012934,True,500,-0.029549338646587396,-0.011939660519518364,0.004498521541509052,-0.0009064150794903432,-0.0003195146149515569,0.0003055768245184143,0.832,-0.0004755734276409574,-0.00011125729048310051,1.0,False,,,,,,,,,,
30,540,570,555.0,middle_formal,M_current29_circular,depth_informative,20,297,686.5004045783385,630.862361368145,713.4460435619725,82.58368219382749,82.11547584975483,0.009578862514300717,0.004922448607176828,-0.0006191948128960494,1.3532350396433015,-0.2906147610940474,0.07575057853173567,0.07391548639037815,0.06919319689772702,0.024225453810741593,0.08656543304499564,0.06233997923425406,0.060792880500260126,0.05881887320313397,True,500,-0.010880819253396267,0.0045510887439343594,0.01968389662666734,-0.0012143954080011826,-0.0006179324753571196,4.955853298758157e-05,0.944,-0.0007787926483428505,-0.0004136720276029227,1.0,False,,,,,,,,,,
30,570,600,585.0,middle_formal,M0,depth_informative,21,311,687.0801899090868,631.843052261521,713.4210304110471,81.57797814952607,81.121709250158,-0.02328502099172662,-0.028960632104074676,-0.0008753765013683831,1.3128876782445287,-0.3472964156296555,0.06754556482849043,0.0561595285742023,0.04601309779021157,0.16856822921237236,0.3187843212645185,0.15021609205214614,0.05171327939164374,0.04680918600843194,True,500,-0.04563185478853196,-0.0286807648095877,-0.011806570244602285,-0.0014519781557210457,-0.000880543401534278,-0.0002311885475802382,0.986,-0.0010925486768853722,-0.000711449620564186,1.0,True,,,,,,,,,,
30,570,600,585.0,middle_formal,M_current29_circular,depth_informative,21,311,687.0801899090868,631.843052261521,713.4210304110471,81.57797814952607,81.121709250158,-0.0051376177820184775,-0.012791268802527303,-0.0011804590061590414,1.3128876782445287,-0.46487720631146795,0.0651297965059546,0.06457549905999824,0.04612426795611613,0.008510658342156585,0.2918100404029492,0.28329938206079264,0.055452896811274174,0.046865698673934295,True,500,-0.02873647044774532,-0.013157177811139398,0.002806393532916657,-0.0018112906261704205,-0.0012039220961699974,-0.0004829604478531897,0.996,-0.0013983974058659767,-0.0010162466963705168,1.0,True,,,,,,,,,,
30,600,630,615.0,middle_formal,M0,depth_informative,20,346,687.4998809097032,632.8253243826526,713.418539036001,80.59321465334835,80.12103133034213,-0.03621632708392109,-0.038158402054651666,-0.0004105060099548821,1.2250542289005046,-0.22624986590834764,0.07179738180881658,0.04556493485982546,0.04370294825793808,0.3653677374871882,0.39130164419767954,0.025933906710491426,0.04773098305075303,0.04674556035493536,True,500,-0.05319925170907002,-0.03798544357224236,-0.023091418352064203,-0.0011408469919044722,-0.0003860243837562992,0.00045821730176593073,0.788,-0.0006794596384857314,-6.515571361140175e-05,1.0,False,,,,,,,,,,
30,600,630,615.0,middle_formal,M_current29_circular,depth_informative,20,346,687.4998809097032,632.8253243826526,713.418539036001,80.59321465334835,80.12103133034213,-0.019291173966173938,-0.02267289069259952,-0.0007148102215850388,1.2250542289005046,-0.35957333191077295,0.05676970365021793,0.04932671579035419,0.04368099988458664,0.13110845012901817,0.23055790190972836,0.09944945178071016,0.04966221692109314,0.04673382066800586,True,500,-0.03785894080585629,-0.021589724998074357,-0.006948236067668016,-0.0013874704060147952,-0.0007050652398465362,0.00010137806435838809,0.926,-0.0009848255288874704,-0.0003724438617425086,1.0,False,,,,,,,,,,
30,630,660,645.0,middle_formal,M0,depth_informative,23,367,687.5732957188193,633.8372464826175,713.3895304401847,79.55228395756717,79.07477547357416,-0.06110094145779141,-0.06424893017267709,-0.0007059028761829131,1.1986789905205162,-0.23805643300117682,0.16459324599534061,0.07872676991368618,0.07159172476209234,0.5216889402866821,0.5650385024661402,0.04334956217945798,0.05850558126987105,0.05579143021386316,True,500,-0.0812915733907439,-0.06346245916196006,-0.04832378152029228,-0.0013593040370844735,-0.0006570937493464508,7.641495859945011e-05,0.93,-0.0010148392146091577,-0.00043820246403536325,1.0,False,,,,,,,,,,
30,630,660,645.0,middle_formal,M_current29_circular,depth_informative,23,367,687.5732957188193,633.8372464826175,713.3895304401847,79.55228395756717,79.07477547357416,-0.044874392153021865,-0.04937182021318165,-0.0010085002490893193,1.1986789905205162,-0.3589776048331724,0.132590677431613,0.0862753227962396,0.07171205476768078,0.34931079267817844,0.4591470821569029,0.10983628947872447,0.06124623246486965,0.05583829711480977,True,500,-0.06697535079938313,-0.04848996327350005,-0.033408204885877084,-0.0017892483547316542,-0.001050067478665488,-0.00031480317323507565,0.988,-0.001318173508302358,-0.0007398089801858609,1.0,True,,,,,,,,,,
30,660,690,675.0,middle_formal,M0,depth_informative,24,364,687.0208888278354,634.8305920925287,713.3630312430505,78.53243915052178,78.07286514031932,-0.07921169906502601,-0.07896325511623797,5.0841285246785525e-05,1.2180032624690202,-0.030209583122570986,0.27648855480737033,0.12590071635693256,0.12586308820065906,0.5446440217221735,0.544780114719946,0.0001360929977724447,0.07242833134581285,0.07241750714912884,True,500,-0.10388182450102285,-0.07931478610651194,-0.05977747550468904,-0.0007406578294231505,5.8338527014997854e-06,0.0011543393048109448,0.504,-0.0003163036116743253,0.0003044649054727191,0.7083333333333334,False,,,,,,,,,,
