weighting,t,region,v_min_px,v_max_px,sample_count,invalid_count,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,linear_bias_mm,linear_mae_mm,linear_rmse_mm,linear_p95_abs_mm,linear_residual_energy,exact_bias_mm,exact_mae_mm,exact_rmse_mm,exact_p95_abs_mm,exact_residual_energy,linearization_gap_bias_mm,linearization_gap_mae_mm,linearization_gap_rmse_mm,linearization_gap_p95_abs_mm,linearization_gap_residual_energy,exact_explained_fraction
frame_equal,0.109375,bin_2100_2399,2100,2400,1561,0,-0.0930666137189,0.0954954272722,0.108885450842,0.179099752059,18.0993109585,-0.0826953711155,0.0848617919327,0.0971292360546,0.160185232294,14.4019825399,0.25231748753,0.25231748753,0.257504198026,0.325517951777,101.225740275,0.335012858645,0.335012858645,0.335013252911,0.335603965865,171.335087152,-4.59279524547
frame_equal,0.109375,bin_2400_2699,2400,2700,1759,0,-0.11061886776,0.124046560441,0.142061446516,0.24052023172,36.0232015452,-0.0989848193527,0.111165555925,0.127815682348,0.216172731989,29.1607123343,0.235811738683,0.235811738683,0.249521535605,0.3347064461,111.133735382,0.334796558036,0.334796558036,0.334797379785,0.335611758442,200.075515159,-2.08505992292
frame_equal,0.109375,bin_2700_2999,2700,3000,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,-0.204599606317,0.263541207928,0.274587342745,0.367628376857,153.58230574,0.128937216525,0.137908830405,0.225515897371,0.555484447398,103.593970563,0.333536822842,0.333536822842,0.333542260235,0.337980893555,226.611470814,0.464451466724
frame_equal,0.109375,extrap_top_v_lt_242,0,241.997693497,1141,0,0.30313726771,0.315218808272,0.392308392434,0.730880570828,162.075187525,0.269817911662,0.280271210855,0.349755244366,0.651734943397,128.821931193,0.610631639746,0.610631639746,0.65071027059,0.996789108782,445.899164054,0.340813728083,0.340813728083,0.340821600805,0.344839788642,122.32509423,-1.75118709324
frame_equal,0.109375,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,0,-0.248499816585,0.30080875986,0.313207026879,0.412384234489,181.194136487,-0.221159293922,0.267863979828,0.279062590849,0.370373845952,143.841561682,0.112204283873,0.122098230957,0.205315212533,0.517089806078,77.8616142844,0.333363577796,0.333363577796,0.333368281113,0.337561140945,205.271992172,0.570286236662
frame_equal,0.1171875,top_0_299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.23532709689,0.253086891342,0.322735521674,0.626330839205,157.924542346,0.624547885688,0.624547885688,0.663337147931,1.02054917922,667.151902124,0.389220788798,0.389220788798,0.389229970828,0.39402187133,229.704042161,-2.3000170022
frame_equal,0.1171875,middle_300_2699,300,2700,13979,0,-0.0817058447148,0.108067588184,0.13124657233,0.237046762612,241.346218381,-0.0721544973875,0.0956654780697,0.116233021381,0.209071870993,189.288230901,0.311774403176,0.311774403176,0.325132564006,0.459742478465,1481.10379929,0.383928900564,0.383928900564,0.38393117363,0.386348540552,2065.24372414,-5.13684278637
frame_equal,0.1171875,bottom_2700_2999,2700,3000,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,-0.202788875603,0.261226859747,0.272190235066,0.364709958482,150.912507794,0.178591298257,0.17978445406,0.256214888024,0.602195526918,133.717694054,0.38138017386,0.38138017386,0.381386362566,0.386450264572,296.285551981,0.308721207089
frame_equal,0.1171875,bin_0000_0299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.23532709689,0.253086891342,0.322735521674,0.626330839205,157.924542346,0.624547885688,0.624547885688,0.663337147931,1.02054917922,667.151902124,0.389220788798,0.389220788798,0.389229970828,0.39402187133,229.704042161,-2.3000170022
frame_equal,0.1171875,bin_0300_0599,300,600,1900,0,-0.0369420322879,0.122858238065,0.157287159175,0.359171347126,46.6654139634,-0.0324533571169,0.10858258795,0.138962705536,0.31895169191,36.4254652624,0.353100809908,0.353100809908,0.378671538157,0.706725308463,270.479224876,0.385554167025,0.385554167025,0.385557894623,0.389554672568,280.406312267,-4.79613897968
frame_equal,0.1171875,bin_0600_0899,600,900,1717,0,-0.138964654435,0.163921505043,0.177432511513,0.288902696403,53.9115893633,-0.122628150852,0.144307467562,0.156222693253,0.253492872352,41.7930413827,0.261407666693,0.261407666693,0.279173853593,0.527506742548,133.464332395,0.384035817545,0.384035817545,0.384037819105,0.38734824355,252.55950927,-1.47561487188
frame_equal,0.1171875,bin_0900_1199,900,1200,1875,0,-0.0936907138625,0.112612971273,0.1379567258,0.254844200208,36.4385387041,-0.0830312805634,0.100135541348,0.122438049968,0.227306374601,28.7017252893,0.301116220984,0.301116220984,0.314552075606,0.439749203417,189.435036381,0.384147501547,0.384147501547,0.384148796507,0.385603184563,282.536232048,-4.1987550302
frame_equal,0.1171875,bin_1200_1499,1200,1500,1490,0,-0.00932976752532,0.0584703925301,0.0697268717622,0.1209337215,7.16401282581,-0.00827377756767,0.0520882957434,0.06189659597,0.105986053382,5.64533245682,0.376456267124,0.376456267124,0.381535366783,0.475939762809,214.499159576,0.384730044692,0.384730044692,0.384730764746,0.385879327911,218.107110125,-28.941202618
frame_equal,0.1171875,bin_1500_1799,1500,1800,1945,0,-0.0874000261735,0.0955023969594,0.114220452595,0.202463873767,25.6238119742,-0.0768357511614,0.0843752521017,0.100983272418,0.178288187462,20.0287970405,0.30671151689,0.30671151689,0.313789688951,0.406984968264,193.389692469,0.383547268052,0.383547268052,0.383548053449,0.384728658,288.931938536,-6.54726473422
frame_equal,0.1171875,bin_1800_2099,1800,2100,1732,0,-0.075958263494,0.083006489909,0.0998179993596,0.179854957962,17.4203390465,-0.0671194717735,0.0738120365828,0.088971569645,0.161686650943,13.8401687715,0.316351950748,0.316351950748,0.321804083057,0.398854806346,181.059777087,0.383471422522,0.383471422522,0.38347191833,0.384312772415,257.102330407,-9.39358514232
frame_equal,0.1171875,bin_2100_2399,2100,2400,1561,0,-0.0930666137189,0.0954954272722,0.108885450842,0.179099752059,18.0993109585,-0.0819545680724,0.0841029659093,0.0962913741985,0.159095074666,14.1545837888,0.30111190737,0.30111190737,0.305416105195,0.373881073105,142.398758622,0.383066475442,0.383066475442,0.383066924197,0.383740768537,224.012185636,-6.86763424022
frame_equal,0.1171875,bin_2400_2699,2400,2700,1759,0,-0.11061886776,0.124046560441,0.142061446516,0.24052023172,36.0232015452,-0.0981538158951,0.110246084017,0.12680002677,0.214589672581,28.6991169089,0.284664769362,0.284664769362,0.295987010871,0.38307831567,156.377817884,0.382818585257,0.382818585257,0.382819520646,0.383748507257,261.588105854,-3.34103053521
frame_equal,0.1171875,bin_2700_2999,2700,3000,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,-0.202788875603,0.261226859747,0.272190235066,0.364709958482,150.912507794,0.178591298257,0.17978445406,0.256214888024,0.602195526918,133.717694054,0.38138017386,0.38138017386,0.381386362566,0.386450264572,296.285551981,0.308721207089
frame_equal,0.1171875,extrap_top_v_lt_242,0,241.997693497,1141,0,0.30313726771,0.315218808272,0.392308392434,0.730880570828,162.075187525,0.267437957659,0.277776203702,0.346716910978,0.645926006876,126.593493379,0.657124720923,0.657124720923,0.694019753811,1.04044982524,507.230078263,0.389686763264,0.389686763264,0.389695722407,0.394279293693,159.92362022,-2.12959735545
frame_equal,0.1171875,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,0,-0.248499816585,0.30080875986,0.313207026879,0.412384234489,181.194136487,-0.219206399446,0.26551086804,0.276624708992,0.367339469455,141.339348705,0.161976086706,0.163291905747,0.235340409287,0.564076922558,102.299651554,0.381182486152,0.381182486152,0.381187839243,0.385970215572,268.385605944,0.435414116939
frame_equal,0.125,top_0_299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.233239340735,0.25081348615,0.319908791158,0.620699141528,155.170242827,0.674345351164,0.674345351164,0.709931410068,1.06745552217,764.168045326,0.44110601043,0.44110601043,0.441116367283,0.446534155604,295.027456235,-2.77990010084
frame_equal,0.125,middle_300_2699,300,2700,13979,0,-0.0817058447148,0.108067588184,0.13124657233,0.237046762612,241.346218381,-0.071517740899,0.0948406095899,0.115233999,0.207294198748,186.048351109,0.363603488856,0.363603488856,0.374967429254,0.510710835497,1969.93387669,0.435121229755,0.435121229755,0.435123796891,0.437858656145,2652.71277643,-7.16227364116
frame_equal,0.125,bottom_2700_2999,2700,3000,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,-0.20097814489,0.258912511565,0.26979328185,0.361926294168,148.266288747,0.231256439492,0.231256439492,0.294548071372,0.65195270137,176.722774657,0.432234584382,0.432234584382,0.432241566031,0.437967802041,380.568826216,0.0863983468386
frame_equal,0.125,bin_0000_0299,0,300,1605,0,0.266643439221,0.28721257077,0.365154141298,0.708281707276,202.166201471,0.233239340735,0.25081348615,0.319908791158,0.620699141528,155.170242827,0.674345351164,0.674345351164,0.709931410068,1.06745552217,764.168045326,0.44110601043,0.44110601043,0.441116367283,0.446534155604,295.027456235,-2.77990010084
frame_equal,0.125,bin_0300_0599,300,600,1900,0,-0.0369420322879,0.122858238065,0.157287159175,0.359171347126,46.6654139634,-0.0321541121055,0.107633534477,0.137742815139,0.316270381562,35.7887471234,0.404806403366,0.404806403366,0.426986162576,0.755993936013,343.903176816,0.436960515471,0.436960515471,0.436964719976,0.441483596987,360.164856347,-6.36955161453
frame_equal,0.125,bin_0600_0899,600,900,1717,0,-0.138964654435,0.163921505043,0.177432511513,0.288902696403,53.9115893633,-0.121539050614,0.142999865063,0.154810196134,0.251048207121,41.0407092329,0.313704733115,0.313704733115,0.328435446341,0.577697715917,184.720791097,0.435243783728,0.435243783728,0.435246041367,0.438988885967,324.403398452,-2.42636515225
frame_equal,0.125,bin_0900_1199,900,1200,1875,0,-0.0936907138625,0.112612971273,0.1379567258,0.254844200208,36.4385387041,-0.0823206516768,0.0993055339516,0.121405059677,0.225494717978,28.2194645331,0.353049125628,0.353049125628,0.364420942659,0.490722131142,254.26222878,0.435369777304,0.435369777304,0.435371237821,0.437015656716,362.906431054,-5.97783824002
frame_equal,0.125,bin_1200_1499,1200,1500,1490,0,-0.00932976752532,0.0584703925301,0.0697268717622,0.1209337215,7.16401282581,-0.00820337823716,0.0516683195673,0.0613774696785,0.105101600056,5.55103483588,0.427824629722,0.427824629722,0.432240172179,0.526644666337,275.300022565,0.436028007959,0.436028007959,0.436028820201,0.437327656261,280.147262789,-37.4281867243
frame_equal,0.125,bin_1500_1799,1500,1800,1945,0,-0.0874000261735,0.0955023969594,0.114220452595,0.202463873767,25.6238119742,-0.0761314661606,0.0836359704917,0.100102495447,0.176563146042,19.6809380196,0.358558460478,0.358558460478,0.364552816111,0.458226815598,261.021872166,0.434689926639,0.434689926639,0.434690812685,0.436026040841,371.122177885,-9.18669167682
frame_equal,0.125,bin_1800_2099,1800,2100,1732,0,-0.075958263494,0.083006489909,0.0998179993596,0.179854957962,17.4203390465,-0.0665302189922,0.0732009720017,0.0882504061312,0.160507912025,13.6167137075,0.368072995127,0.368072995127,0.372714860937,0.450149981136,242.880305104,0.434603214119,0.434603214119,0.434603773475,0.43555481236,330.237103664,-12.9423408727
frame_equal,0.125,bin_2100_2399,2100,2400,1561,0,-0.0930666137189,0.0954954272722,0.108885450842,0.179099752059,18.0993109585,-0.0812137650293,0.0833442563297,0.0954537963878,0.157726519041,13.9094111892,0.352930304268,0.352930304268,0.356563298344,0.42531295129,194.086626393,0.434144069297,0.434144069297,0.434144575563,0.43490664212,287.733939848,-9.72342625848
frame_equal,0.125,bin_2400_2699,2400,2700,1759,0,-0.11061886776,0.124046560441,0.142061446516,0.24052023172,36.0232015452,-0.0973228124374,0.109326656837,0.12578465713,0.213023184517,28.241332467,0.336539687055,0.336539687055,0.346056598401,0.434455183923,213.758853764,0.433862499492,0.433862499492,0.433863554836,0.434913921258,335.997606395,-4.93392160039
frame_equal,0.125,bin_2700_2999,2700,3000,1980,0,-0.229949836303,0.295943184205,0.308161049877,0.410228368583,193.435261468,-0.20097814489,0.258912511565,0.26979328185,0.361926294168,148.266288747,0.231256439492,0.231256439492,0.294548071372,0.65195270137,176.722774657,0.432234584382,0.432234584382,0.432241566031,0.437967802041,380.568826216,0.0863983468386
frame_equal,0.125,extrap_top_v_lt_242,0,241.997693497,1141,0,0.30313726771,0.315218808272,0.392308392434,0.730880570828,162.075187525,0.265058003655,0.27528119655,0.343678756755,0.640117070355,124.384628203,0.706690833031,0.706690833031,0.74065751224,1.08721880114,577.691794996,0.441632829375,0.441632829375,0.441642934881,0.446825280268,205.401641307,-2.56434444912
frame_equal,0.125,extrap_bottom_v_gt_2732,2731.97787458,3000,1784,0,-0.248499816585,0.30080875986,0.313207026879,0.412384234489,181.194136487,-0.21725350497,0.263157756252,0.27418698042,0.364563407439,138.85924614,0.214757492828,0.214757492828,0.273609042151,0.614106683277,138.274481002,0.432010997798,0.432010997798,0.432017036648,0.437423656832,344.733027041,0.236871105859
