weighting,t,total_points,invalid_count,valid_rate,bounds_ok,axis_norm,max_normalized_parameter_displacement,theta_axis_rad,phi_axis_rad,A_x_mm,A_y_mm,A_z_mm,alpha_rad,alpha_deg,before_bias_mm,before_mae_mm,before_rmse_mm,before_p95_abs_mm,before_residual_energy,linear_bias_mm,linear_mae_mm,linear_rmse_mm,linear_p95_abs_mm,linear_residual_energy,linear_explained_fraction,exact_bias_mm,exact_mae_mm,exact_rmse_mm,exact_p95_abs_mm,exact_residual_energy,linearization_gap_bias_mm,linearization_gap_mae_mm,linearization_gap_rmse_mm,linearization_gap_p95_abs_mm,linearization_gap_residual_energy,exact_explained_fraction,exact_to_linear_gain_ratio,gap_to_baseline_rmse
point_equal,0.078125,17564,0,1,True,1,1.22143538023,1.877028024,0.00980799440428,-124.330604141,1.83410623638,327.857792655,1.55466771029,89.0758983446,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0631003557631,0.131741388814,0.172824192807,0.344948889254,524.605093244,0.147898743447,0.0635346603691,0.116478903013,0.173929643516,0.327648896604,531.337712976,0.126635016132,0.126635016132,0.126639604829,0.128543740853,281.684222178,0.136963139108,0.926060194396,0.676410923348
point_equal,0.0859375,17564,0,1,True,1,1.34357891826,1.8791598309,0.00978577878035,-125.203693813,1.84332791846,327.940264544,1.55467355381,89.0762331538,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0625656042378,0.130638621413,0.171385420359,0.342205254949,515.906710041,0.162027281947,0.0901712417101,0.127575019052,0.184339695844,0.352403908136,596.844452518,0.152736845948,0.152736845948,0.152742349511,0.155032597793,409.772077769,0.0305623896778,0.188624960627,0.815831617655
point_equal,0.09375,17564,0,1,True,1,1.46572245628,1.8812916378,0.00976356315642,-126.076783485,1.85254960054,328.022736433,1.55467939733,89.0765679631,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0620308527124,0.129536116823,0.169946867598,0.339424098361,507.282355631,0.176035577566,0.119161694705,0.144421050378,0.199232052498,0.379823370381,697.175066285,0.181192547417,0.181192547417,0.181199039933,0.183908471962,576.680429163,-0.132401796455,-0.752130894706,0.967825271374
point_equal,0.1015625,17564,0,1,True,1,1.5878659943,1.88342344469,0.00974134753249,-126.949873157,1.86177128262,328.105208322,1.55468524085,89.0769027723,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0614961011871,0.128433841272,0.168508540151,0.336406999139,498.732030014,0.189923630305,0.150485644778,0.166794383525,0.218612604791,0.409519612582,839.409396179,0.211981745965,0.211981745965,0.211989299523,0.215150413283,789.316730102,-0.363429006807,-1.91355339103,1.1322830486
point_equal,0.109375,17564,0,1,True,1,1.71000953233,1.88555525159,0.00971913190857,-127.822962829,1.87099296471,328.18768021,1.55469108438,89.0772375815,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0609613496617,0.12733194452,0.167070443837,0.333559557448,490.255733191,0.203691440162,0.18412327422,0.193683988155,0.242293956706,0.441601051911,1031.11853262,0.245084623881,0.245084623881,0.245093308635,0.248738043657,1055.08230062,-0.674816749999,-3.31293622089,1.3090990881
point_equal,0.1171875,17564,0,1,True,1,1.83215307035,1.88768705849,0.00969691628464,-128.696052501,1.88021464679,328.270152099,1.5546969279,89.0775723907,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0604265981364,0.126230374983,0.165632584676,0.330673493853,481.853465161,0.217339007139,0.220055304278,0.224617602586,0.269993247572,0.475433962127,1280.351557,0.280481902414,0.280481902414,0.280491786635,0.284651538583,1381.85898258,-1.07963892192,-4.96753406639,1.49817040763
point_equal,0.125,17564,0,1,True,1,1.95429660837,1.88981886539,0.00967470066071,-129.569142173,1.88943632887,328.352623988,1.55470277142,89.0779071999,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.059891846611,0.125129212384,0.164194968899,0.327945658107,473.525225924,0.230866331235,0.258262977906,0.259711716742,0.301407062324,0.512003766387,1595.62295923,0.318154824517,0.318154824517,0.318165974649,0.32287160943,1777.99647353,-1.59172536839,-6.89457557485,1.69939681177
point_equal,0.1875,17564,0,1,True,1,2.93144491256,1.90687332058,0.0094969756693,-136.553859548,1.96320978554,329.0123991,1.55474951961,89.0805856736,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0556138344082,0.116330328809,0.152703629125,0.304746397681,409.564348585,0.33475618029,0.643756299695,0.643756299695,0.66046116796,0.88479133446,7661.57407479,0.699370134103,0.699370134103,0.699393600902,0.709518203729,8591.45534737,-11.4444786762,-34.1875052651,3.73562024303
point_equal,0.25,17564,0,1,True,1,3.90859321675,1.92392777577,0.00931925067788,-143.538576924,2.0369832422,329.672174211,1.5547962678,89.0832641474,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0513358222054,0.10755135346,0.141232277657,0.280564339818,350.341314012,0.430950484971,1.16555541888,1.16555541888,1.17402116128,1.39575038429,24208.912369,1.21689124109,1.21689124109,1.21693037681,1.23418377234,26010.8708358,-38.3218535524,-88.9240293,6.49990183511
point_equal,0.5,17564,0,1,True,1,7.8171864335,1.99214559652,0.00860835071223,-171.477446428,2.33207706886,332.311274658,1.55498326054,89.0939780423,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.0342237733942,0.0728021972444,0.0956904464671,0.18869682762,160.827603378,0.738772259951,4.49805545166,4.49805545166,4.49967572212,4.69995707121,355619.741297,4.53227922505,4.53227922505,4.53240343922,4.59183567049,360811.647958,-576.623115591,-780.515385932,24.2085972981
point_equal,0.75,17564,0,1,True,1,11.7257796502,2.06036341727,0.00789745074657,-199.416315931,2.62717089552,334.950375104,1.55517025328,89.1046919371,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,-0.017111724583,0.039852098059,0.0517950260242,0.103078454742,47.119376997,0.923465324938,9.64630700926,9.64630700926,9.64693893873,9.83641131166,1634566.10011,9.66341873384,9.66341873384,9.66364745436,9.7816746722,1640233.14639,-2653.97961373,-2873.93531956,51.6157382701
point_equal,1,17564,0,1,True,1,15.634372867,2.12858123803,0.00718655078091,-227.355185435,2.92226472218,337.58947555,1.55535724602,89.115405832,-0.0684478710166,0.142780859072,0.187222885465,0.37376107494,615.6605089,3.24228176944e-07,0.0188786750478,0.0229073302559,0.0478700633779,9.21663487028,0.985029679934,16.4833820812,16.4833820812,16.4837382373,16.6748790116,4772378.1319,16.483381757,16.483381757,16.4837223228,16.6722969709,4772368.91676,-7750.63919549,-7868.43214309,88.0433088178
frame_equal,0,17564,0,1,True,1,0,1.85570995501,0.0100301506435,-115.599707421,1.74188941554,327.033073765,1.55460927505,89.0725502525,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,0,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-3.52817658757e-16,5.22242671789e-15,1.06651513215e-13,0,1.9978251314e-22,-1.78486932374e-16,nan,5.60050069544e-13
frame_equal,0.0078125,17564,0,1,True,1,0.122437778044,1.85784689737,0.010007661492,-116.496223359,1.75504320698,327.050755893,1.55461254002,89.0727373214,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0682894441336,0.144195137987,0.188962579973,0.376929836228,627.155229848,0.0153740279762,-0.0664788056498,0.143220553771,0.188326043535,0.375429442191,622.9370955,0.00181063848384,0.00181063848384,0.00181067538183,0.00183164267276,0.0575843703232,0.0219964468539,1.43075366377,0.00950824646504
frame_equal,0.015625,17564,0,1,True,1,0.244875556087,1.85998383973,0.00998517234039,-117.392739297,1.76819699841,327.068438021,1.55461580499,89.0729243903,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0677517298125,0.143069793229,0.187493199135,0.373870640887,617.439581917,0.0306274753409,-0.0605415573664,0.139270827111,0.185051066998,0.369641375529,601.459813884,0.00721017244605,0.00721017244605,0.00721031881503,0.00729364744653,0.913129481387,0.0557155139702,1.81913505276,0.0378629372624
frame_equal,0.0234375,17564,0,1,True,1,0.367313334131,1.86212078208,0.00996268318881,-118.289255235,1.78135078984,327.086120149,1.55461906996,89.0731114593,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0672140154913,0.141944539676,0.186023965112,0.370885205024,607.800737527,0.0457603420939,-0.0510629465474,0.133788148088,0.180909818179,0.36260098235,574.840955676,0.016151068944,0.016151068944,0.0161513955622,0.016337685378,4.58187815063,0.0975067928904,2.13081433461,0.0848144572464
frame_equal,0.03125,17564,0,1,True,1,0.489751112174,1.86425772444,0.00994019403723,-119.185771172,1.79450458127,327.103802277,1.55462233493,89.0732985282,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0666763011702,0.140819476197,0.184554881409,0.367819469009,598.238696678,0.0607726282354,-0.0380891459109,0.127393561223,0.176421943252,0.352695117075,546.674266993,0.0285871552593,0.0285871552593,0.0285877311614,0.0289168089498,14.3543260627,0.141728146557,2.33210494053,0.150120334372
frame_equal,0.0390625,17564,0,1,True,1,0.612188890218,1.86639466679,0.00991770488565,-120.08228711,1.8076583727,327.121484405,1.5546255999,89.0734855972,-0.0688271584547,0.145320627237,0.190432104226,0.37998903157,636.94768132,-0.0661385868491,0.139694652568,0.183085951644,0.364693054863,588.75345937,0.0756643337653,-0.021665015213,0.12090958864,0.172356128413,0.342637104979,521.767337168,0.044473571636,0.044473571636,0.0444744641629,0.0449853916762,34.7412049347,0.180831719041,2.38992019149,0.233544991501
