v_px,fit_sample_count,fit_residual_median_mm,fit_residual_mean_mm,fit_residual_std_mm,fit_residual_mad_mm,fit_residual_p95_abs_mm,fit_positive_fraction,fit_sign_consistency,validation_sample_count,validation_residual_median_mm,validation_residual_mean_mm,validation_residual_std_mm,validation_residual_mad_mm,validation_residual_p95_abs_mm,validation_positive_fraction,validation_sign_consistency
817,6,-0.167110255,-0.124361083,0.177322513,0.063715608,0.288320234,0.166666667,0.833333333,1,-0.226085517,-0.226085517,0.000000000,0.000000000,0.226085517,0.000000000,1.000000000
818,6,-0.162488751,-0.126053982,0.171086947,0.073573893,0.289895057,0.166666667,0.833333333,1,-0.236152910,-0.236152910,0.000000000,0.000000000,0.236152910,0.000000000,1.000000000
819,6,-0.168533275,-0.130246225,0.165281678,0.079690827,0.285487038,0.166666667,0.833333333,2,-0.289486212,-0.289486212,0.057052509,0.040342216,0.325794206,0.000000000,1.000000000
820,7,-0.195142370,-0.155215472,0.164621794,0.096612700,0.308221334,0.142857143,0.857142857,2,-0.289024115,-0.289024115,0.041469423,0.029323310,0.315415094,0.000000000,1.000000000
821,6,-0.152748113,-0.116448928,0.167227891,0.085268093,0.275323176,0.166666667,0.833333333,2,-0.285240751,-0.285240751,0.027061174,0.019135140,0.302462377,0.000000000,1.000000000
822,6,-0.131964973,-0.100470324,0.168770922,0.076214384,0.270811721,0.166666667,0.833333333,2,-0.276067677,-0.276067677,0.010871614,0.007687392,0.282986330,0.000000000,1.000000000
823,6,-0.115422798,-0.090079095,0.168917149,0.064246355,0.273524544,0.166666667,0.833333333,2,-0.262437210,-0.262437210,0.006144738,0.004344986,0.266347697,0.000000000,1.000000000
824,6,-0.108678669,-0.084825910,0.170336490,0.044859239,0.273669862,0.166666667,0.833333333,2,-0.248940359,-0.248940359,0.020294758,0.014350561,0.261855864,0.000000000,1.000000000
825,6,-0.111743343,-0.082102622,0.177361581,0.034272447,0.273159253,0.166666667,0.833333333,2,-0.237216150,-0.237216150,0.024799718,0.017536049,0.252998593,0.000000000,1.000000000
826,6,-0.118063193,-0.078602420,0.185856154,0.037580859,0.273288753,0.166666667,0.833333333,2,-0.228732343,-0.228732343,0.015307094,0.010823750,0.238473718,0.000000000,1.000000000
827,6,-0.116807809,-0.076701997,0.186529431,0.048639374,0.274433704,0.166666667,0.833333333,2,-0.224360784,-0.224360784,0.002490145,0.001760798,0.225945502,0.000000000,1.000000000
828,6,-0.111956223,-0.075442121,0.178692558,0.049454187,0.261779199,0.166666667,0.833333333,2,-0.225982918,-0.225982918,0.003955595,0.002797028,0.228500243,0.000000000,1.000000000
829,6,-0.105598432,-0.074061711,0.170295132,0.045066042,0.255594392,0.166666667,0.833333333,2,-0.235351393,-0.235351393,0.006187767,0.004375412,0.239289264,0.000000000,1.000000000
830,6,-0.103062062,-0.075457072,0.165228994,0.037929283,0.261911345,0.166666667,0.833333333,2,-0.244123595,-0.244123595,0.002892721,0.002045463,0.245964511,0.000000000,1.000000000
831,5,-0.121781345,-0.084752898,0.179886451,0.039559937,0.272767984,0.200000000,0.800000000,2,-0.243166551,-0.243166551,0.004883082,0.003452860,0.246274125,0.000000000,1.000000000
832,5,-0.116370109,-0.092941655,0.172099168,0.030459654,0.271482294,0.200000000,0.800000000,2,-0.235456388,-0.235456388,0.017746369,0.012548578,0.246750108,0.000000000,1.000000000
833,5,-0.122488560,-0.100131978,0.165498248,0.040076456,0.263793053,0.200000000,0.800000000,2,-0.243480703,-0.243480703,0.011841422,0.008373150,0.251016538,0.000000000,1.000000000
834,5,-0.130502598,-0.103620909,0.164050820,0.046787583,0.262023520,0.200000000,0.800000000,2,-0.241560299,-0.241560299,0.013794915,0.009754478,0.250339329,0.000000000,1.000000000
835,5,-0.139118145,-0.103793212,0.164478987,0.061541993,0.259958309,0.200000000,0.800000000,2,-0.242846459,-0.242846459,0.002956130,0.002090299,0.244727728,0.000000000,1.000000000
836,5,-0.151321947,-0.101933358,0.167962337,0.081232747,0.257563198,0.200000000,0.800000000,2,-0.231362971,-0.231362971,0.010485861,0.007414623,0.238036132,0.000000000,1.000000000
837,5,-0.167983627,-0.101877184,0.179196137,0.100047583,0.265472480,0.200000000,0.800000000,2,-0.240001356,-0.240001356,0.008888444,0.006285079,0.245657927,0.000000000,1.000000000
838,5,-0.178118441,-0.102656948,0.193879984,0.108990514,0.280596272,0.200000000,0.800000000,2,-0.233552557,-0.233552557,0.015007300,0.010611764,0.243103144,0.000000000,1.000000000
839,5,-0.179045071,-0.101178819,0.207016156,0.110589251,0.294391190,0.200000000,0.800000000,2,-0.226269509,-0.226269509,0.017264285,0.012207693,0.237256433,0.000000000,1.000000000
840,5,-0.176920950,-0.105060240,0.202158574,0.110180239,0.297880077,0.200000000,0.800000000,2,-0.229891570,-0.229891570,0.035136321,0.024845131,0.252252188,0.000000000,1.000000000
841,5,-0.172016989,-0.113778612,0.184291574,0.105301143,0.293281076,0.200000000,0.800000000,2,-0.223691656,-0.223691656,0.031616870,0.022356503,0.243812509,0.000000000,1.000000000
842,5,-0.166071395,-0.121803171,0.167894986,0.099316600,0.290735296,0.200000000,0.800000000,2,-0.230389687,-0.230389687,0.028278559,0.019995961,0.248386052,0.000000000,1.000000000
843,5,-0.167504499,-0.125435746,0.160330547,0.102032849,0.282592369,0.200000000,0.800000000,2,-0.251861631,-0.251861631,0.033364807,0.023592482,0.273094864,0.000000000,1.000000000
844,5,-0.183779960,-0.125353629,0.172881386,0.121710907,0.288537290,0.200000000,0.800000000,2,-0.261755036,-0.261755036,0.026116224,0.018466959,0.278375299,0.000000000,1.000000000
845,6,-0.201996596,-0.131660170,0.168333889,0.049171422,0.273719104,0.166666667,0.833333333,2,-0.269792598,-0.269792598,0.024048751,0.017005035,0.285097130,0.000000000,1.000000000
