frame_id,is_frame027,subset,solver,subset_point_count,status,valid_lambda_count,normal_angle_diff_deg,plane_distance_diff_mm,abs_plane_distance_diff_mm,subset_reprojection_rmse_px,subset_depth_min_mm,lambda_delta_bias_mm,lambda_delta_rmse_mm,lambda_delta_p95_abs_mm,lambda_delta_max_abs_mm
002,False,bottom_half,iterative_lm,55,ok,890,0.039776871687260074,-0.08863204154192772,0.08863204154192772,0.11990564425745782,628.6805342564338,-0.061827130554151066,0.06881349930749578,0.10687498613888237,0.10976763836174541
002,False,central_subset,iterative_lm,35,ok,890,0.019298532265240524,0.06432462310908704,0.06432462310908704,0.10427617209144659,642.7282951596563,-0.009178540384168295,0.010208008447271764,0.015807379238282238,0.01652864464256254
003,False,full,full_iterative_lm,88,ok,900,0.0,0.0,0.0,0.15082336512204414,628.8485306382465,0.0,0.0,0.0,0.0
003,False,left_half,iterative_lm,48,ok,900,0.02903915831249408,-0.02055336773082672,0.02055336773082672,0.13878187392137517,628.8123364910052,0.013751068915826434,0.01751650164939162,0.031042458699249664,0.036801593713676084
003,False,right_half,iterative_lm,48,ok,900,0.01736400868755594,0.0017217653559100654,0.0017217653559100654,0.16053343169518228,661.0419914478769,-0.019888716098547168,0.021058067003809012,0.030904827766886453,0.03456341708158561
003,False,top_half,iterative_lm,44,ok,900,0.0653061783926794,-0.07835035261257417,0.07835035261257417,0.11662399407806735,632.2071522685952,-0.055959488005375355,0.05678784539868071,0.0695611052911147,0.07348751655331398
003,False,bottom_half,iterative_lm,55,ok,900,0.0517574788336654,-0.09349153020991707,0.09349153020991707,0.12218357575897253,628.8295356353606,-0.07030496441301201,0.07031545085259887,0.07205722742108947,0.07253030643198599
003,False,central_subset,iterative_lm,35,ok,900,0.025766454417245465,0.006208940003944008,0.006208940003944008,0.11999472573106898,643.4257992851709,0.00832427586525657,0.008693535594662068,0.012342855301130839,0.01370062678506656
004,False,full,full_iterative_lm,88,ok,900,0.0,0.0,0.0,0.10089911315776134,642.2058919944509,0.0,0.0,0.0,0.0
004,False,left_half,iterative_lm,48,ok,900,0.0335179300905857,0.07793640119666634,0.07793640119666634,0.08463569744092381,642.2357544605298,0.06751994631047827,0.06899927636182669,0.08944338681600357,0.09120844362098524
004,False,right_half,iterative_lm,48,ok,900,0.06548642914016202,0.09047541686004479,0.09047541686004479,0.09619747686700487,647.3718271493523,0.05711742289451271,0.05829485796173862,0.07502316723441708,0.07656654676486596
004,False,top_half,iterative_lm,44,ok,900,0.03723268660698172,-0.09943204434523523,0.09943204434523523,0.09339474284228158,643.7854320395262,-0.06641823951606449,0.0716101987666363,0.10767367395275186,0.11099291814457501
004,False,bottom_half,iterative_lm,55,ok,900,0.047099086889889,0.020269898990477486,0.020269898990477486,0.09131968308695255,642.242826036091,-0.024312194149904626,0.04228175021718607,0.07676230982399375,0.08201022697608096
004,False,central_subset,iterative_lm,35,ok,900,0.044083214838934716,-0.06530309018421576,0.06530309018421576,0.08138881766674408,644.9725431716753,-0.021102259156676965,0.03742271536978503,0.06871185612367299,0.07257471185641862
005,False,full,full_iterative_lm,88,ok,900,0.0,0.0,0.0,0.1029680148290363,647.1900370297213,0.0,0.0,0.0,0.0
005,False,left_half,iterative_lm,48,ok,900,0.013943318412925983,0.014773704054164227,0.014773704054164227,0.10040557007811966,650.0157053824935,0.013887650911163089,0.015029909239334348,0.022799733853008774,0.023536017147989696
005,False,right_half,iterative_lm,48,ok,900,0.015466480634103547,-0.038037412998505715,0.038037412998505715,0.10300800119678978,647.1757103890321,-0.041456184319983755,0.04417923800376531,0.06518937174628263,0.06715238799927192
005,False,top_half,iterative_lm,44,ok,900,0.02222822360373156,-0.022533282594281445,0.022533282594281445,0.10346132462672025,650.5095042340181,-0.01570887592636306,0.019575796991070028,0.032940846010649234,0.03658361475231686
005,False,bottom_half,iterative_lm,55,ok,900,0.03165267728262273,0.01988972045751325,0.01988972045751325,0.09840025723549811,647.2050211087803,0.014028566534580907,0.014035551741138932,0.01465608880357081,0.014706862261959941
005,False,central_subset,iterative_lm,35,ok,900,0.03093751928539596,-0.0025239856826146934,0.0025239856826146934,0.09785228970840379,649.9988588119671,-0.011375116972071232,0.03291581647823583,0.059397611605248805,0.06337035531510082
006,False,full,full_iterative_lm,88,ok,900,0.0,0.0,0.0,0.09617947945335815,697.8344573885129,0.0,0.0,0.0,0.0
