bin_width_px,v_start_px,v_end_px,v_center_px,model,point_count,unique_frame_count,u_ref_px,u_span_px,residual_span_mm,status,b_mm,delta_g_mm_per_px,b_p05_mm,b_p50_mm,b_p95_mm,delta_g_p05_mm_per_px,delta_g_p50_mm_per_px,delta_g_p95_mm_per_px,bootstrap_count,weighted_rmse_mm,weighted_r2,fit_mae_mm,fit_rmse_mm,fit_p95_mm
30,240,270,255.0,M0,15,2,1973.9876164637617,187.12345402856567,0.27235310691548875,ok,0.1050824738891661,0.0007386628431595369,-26.554186310514673,0.10508247388916607,0.5488339701496898,-0.2864120868265169,0.0007386628431595366,0.0007386628431595366,1000,0.056037213534935786,0.5999558939220514,0.030220673073781013,0.04240590514114337,0.09449697118350672
30,240,270,255.0,M_local_fullfit,15,2,1973.9876164637617,187.12345402856567,0.26908540293516126,ok,0.12926124758210453,0.0007207906909520944,-26.52409458799942,0.12926124758210453,0.5115505381282335,-0.2863662815692252,0.0007207906909520944,0.0007207906909520944,1000,0.056034563000481014,0.5881663606209079,0.03021558944101539,0.042401016901437015,0.09443605690892141
30,270,300,285.0,M0,65,7,2065.212980671218,251.3045480129008,0.5248721674016679,ok,0.12798117298100503,-0.0006791087290156114,0.08247052760779035,0.12780459061709504,0.1751949116914158,-0.002000121125521722,-0.0006183077297223828,0.00016103165946712765,1000,0.11579660205289921,0.20820124204338586,0.08976629923516727,0.12241649850486279,0.25667922410990796
30,270,300,285.0,M_local_fullfit,65,7,2065.212980671218,251.3045480129008,0.5244158794544092,ok,0.1489141306645826,-0.0007035159377031448,0.09961800468848511,0.1489141306645825,0.1904698309167496,-0.002080634164719661,-0.0006422487073098959,0.00010905820578467516,1000,0.11592098207618544,0.21971453967489818,0.08982914359036864,0.12248491983258977,0.2572673915832704
30,300,330,315.0,M0,92,8,2065.9965750814995,250.81269112617701,0.48505570681368226,ok,0.13032033538083632,-0.00030186069660814117,0.09662171076899949,0.13348005261507567,0.16352738734386343,-0.0012761724774041415,-0.0003316284827054554,0.0003477922576165549,1000,0.09181698081357735,0.07352277219256143,0.0749336104964958,0.104374839482275,0.24090897857182111
30,300,330,315.0,M_local_fullfit,92,8,2065.9965750814995,250.81269112617701,0.4845420970898431,ok,0.15000848904244263,-0.000328536087898914,0.11249931483066024,0.15255224163416012,0.18241423499936393,-0.0012934527219108695,-0.00037948694156095464,0.0003153198629747129,1000,0.09191330037742475,0.08576088249355074,0.07510961539193906,0.10450147287320274,0.2410812499570579
30,330,360,345.0,M0,116,8,2064.834999067682,250.78147115602178,0.3150685057381679,ok,0.10890391022653063,-0.00017986427669934642,0.07989305999960217,0.1119567227125447,0.14252258705149085,-0.0007799494440171184,-0.00019733963870020111,0.00016988526560197647,1000,0.060208112906479636,0.061429096003012607,0.04302561772878993,0.05639491856011822,0.12494093218318326
30,330,360,345.0,M_local_fullfit,116,8,2064.834999067682,250.78147115602178,0.31431330713053285,ok,0.12748573943077984,-0.00020786177141480667,0.09388034324616211,0.1306390745241433,0.16279937119499555,-0.0008413946427828784,-0.0002241766329248281,0.00013584483188585058,1000,0.06040064709813767,0.07991380624124744,0.04322357976822138,0.056575945468799016,0.12502312683734815
30,360,390,375.0,M0,135,10,2063.4213888692216,296.2513445775171,0.29127776150926366,ok,0.09089588957198917,0.00017869491813999138,0.06184391771895215,0.09269666768344403,0.12389826093734248,-0.0005117780880644036,0.00018891915990552303,0.0004860797792728868,1000,0.06628759156872986,0.06764535183027165,0.05630329783168425,0.06795023924987874,0.1208857408299503
30,360,390,375.0,M_local_fullfit,134,10,2063.4213888692216,296.1470424496083,0.2903507338515965,ok,0.1082005656572782,0.0001575762805589183,0.0754942310422335,0.11120918296230833,0.14231315452578677,-0.0005762313004137278,0.00016771173125034816,0.0004633463187761647,1000,0.06707810302718922,0.052202518268932296,0.056635969832125474,0.06847025664102994,0.12202271308884771
