roi_id,u,detected_frame_count,detected_frame_fraction,sigma_pixel_px,median_center_position_px
h010,1912,50,1.0,0.021904360200854987,1343.3832843452692
h010,1913,50,1.0,0.024262026522076367,1343.4039326012135
h010,1914,50,1.0,0.022833610426628487,1343.4599124789238
h010,1915,50,1.0,0.01460084828571889,1343.5164635777473
h010,1916,50,1.0,0.02447741487095145,1343.5179130882025
h010,1917,50,1.0,0.022289751134972877,1343.4777520895004
h010,1918,50,1.0,0.020452769858658886,1343.4766029566526
h010,1919,50,1.0,0.023483328340757816,1343.47763890028
h010,1920,50,1.0,0.029566026250308568,1343.4601163566113
h010,1921,50,1.0,0.029230340838556808,1343.3685245215893
h010,1922,50,1.0,0.025600518338047655,1343.3041289150715
h010,1923,35,0.7,0.026463121941926574,1343.2843910753727
h030,1949,50,1.0,0.017801286913500507,1319.0429194308817
h030,1950,50,1.0,0.017879689047698585,1319.061314277351
h030,1951,50,1.0,0.02118215526717591,1319.0737780630589
h030,1952,50,1.0,0.022885402523174066,1319.0612280648202
h030,1953,50,1.0,0.022044542769513124,1319.0232072966173
h030,1954,50,1.0,0.020030451764679456,1318.9590929932892
h030,1955,50,1.0,0.018751039760305035,1318.9194063693285
h030,1956,50,1.0,0.01816389754366565,1318.9642115589231
h030,1957,50,1.0,0.017802161145960206,1318.980607391335
h030,1958,50,1.0,0.0173510341179664,1318.9588918872178
h030,1959,50,1.0,0.016838503152165677,1318.9318675398827
h030,1960,50,1.0,0.017183182763280385,1318.9076325185597
h030,1961,50,1.0,0.018189680276393717,1318.8770603314042
h030,1962,50,1.0,0.01830297697107052,1318.823533669114
h030,1963,50,1.0,0.016787050630023233,1318.7807601988316
h030,1964,50,1.0,0.01613675854326653,1318.8250140324235
h030,1965,50,1.0,0.017620126389324735,1318.9039739370346
h030,1966,50,1.0,0.02083768256859177,1318.960482062772
h030,1967,50,1.0,0.024052665366027844,1319.0104764546268
h030,1968,50,1.0,0.026433091443872368,1319.087565496564
h030,1969,50,1.0,0.029471854456711275,1319.1697064340115
h030,1970,50,1.0,0.033214169207286544,1319.2217155769467
h030,1971,50,1.0,0.035859713858868325,1319.1863130629063
h030,1972,50,1.0,0.03546085103523865,1319.04467545636
h030,1973,50,1.0,0.03092539815779972,1318.9277568794787
h030,1974,50,1.0,0.023406976764097726,1318.9067150950432
h030,1975,50,1.0,0.02092988895295434,1318.9415705502033
h030,1976,50,1.0,0.02436521831106856,1318.9618985373527
h030,1977,50,1.0,0.027554357252716426,1318.9447908122092
h030,1978,50,1.0,0.02770653413068369,1318.9361413531005
h030,1979,50,1.0,0.025100897801151892,1318.9699859777465
h030,1980,50,1.0,0.022937874317057867,1319.0431352015585
h030,1981,50,1.0,0.022904138468144902,1319.0998833738267
h030,1982,50,1.0,0.021837249936605525,1319.044019214809
h030,1983,50,1.0,0.020612662472284004,1318.8861247189343
