u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2126.927068,576.000000,5.515301,-90.961710,713.443095,5.525676,90.967664,-0.107940
2126.916990,577.000000,5.514312,-90.864607,713.444245,5.524775,90.870574,-0.109927
2126.906896,578.000000,5.513321,-90.767504,713.445388,5.523871,90.773484,-0.111908
2126.893842,579.000000,5.512035,-90.670280,713.445585,5.522631,90.676265,-0.112957
2126.880854,580.000000,5.510756,-90.573060,713.445802,5.521399,90.579049,-0.114025
2126.854511,581.000000,5.508146,-90.475298,713.441751,5.518646,90.481257,-0.110895
2126.807772,582.000000,5.503505,-90.376711,713.431185,5.513572,90.382588,-0.101354
2126.770182,583.000000,5.499775,-90.278498,713.423540,5.509540,90.284315,-0.094687
2126.769875,584.000000,5.499759,-90.181793,713.427803,5.509750,90.187648,-0.099736
2126.787313,585.000000,5.501511,-90.085803,713.437732,5.511980,90.091743,-0.110362
2126.774414,586.000000,5.500241,-89.988588,713.437971,5.510757,89.994533,-0.111452
2126.713802,587.000000,5.494217,-89.889452,713.422967,5.504105,89.895277,-0.097545
2126.656503,588.000000,5.488524,-89.790453,713.409022,5.497829,89.796168,-0.084678
2126.654237,589.000000,5.488313,-89.693669,713.412653,5.497817,89.699417,-0.089106
2126.657054,590.000000,5.488609,-89.597089,713.417907,5.498382,89.602883,-0.095131
2126.642879,591.000000,5.487211,-89.499826,713.417731,5.497014,89.505622,-0.095814
2126.608876,592.000000,5.483839,-89.401769,713.411222,5.493390,89.407515,-0.090264
2126.565141,593.000000,5.479498,-89.303325,713.401604,5.488658,89.308996,-0.081655
2126.557722,594.000000,5.478773,-89.206335,713.403583,5.488059,89.212025,-0.084457
2126.593808,595.000000,5.482382,-89.111081,713.419457,5.492410,89.116904,-0.100932
2126.622560,596.000000,5.485261,-89.015531,713.432987,5.495926,89.021468,-0.115101
2126.629889,597.000000,5.486006,-88.919124,713.439674,5.497005,88.925118,-0.122536
2126.601184,598.000000,5.483161,-88.821281,713.434850,5.493983,88.827240,-0.118644
2126.545034,599.000000,5.477583,-88.722350,713.421259,5.487838,88.728200,-0.106125
2126.494328,600.000000,5.472547,-88.623638,713.409406,5.482313,88.629395,-0.095317
2126.472106,601.000000,5.470349,-88.526059,713.406649,5.480029,88.531797,-0.093460
