config_id,method,roi_id,roi_label,height_mm,trim_px,x_start,x_end,frame_count,detected_frame_fraction,detected_event_fraction,valid_column_fraction,y_median_px,sigma_pixel_p50_px,sigma_pixel_p95_px,delta_y_median_px,sensitivity_px_per_mm,roi_trim_relative_change_vs_trim0,background_false_detection_rate,center_shift_px,sensitivity_relative_change,sigma_pixel_p95_ratio
B12p5_A20,centroid,h010,H10,10.0,2,1773,1805,50,1.0,0.9587878787878787,0.9393939393939394,1900.694348785872,0.043670549541764477,0.06577683975242438,-8.082352371556453,0.8082352371556454,0.0013058809369761888,0.0,-0.023596430471570784,0.004312976380383397,2.58111876076919
B12p5_A20,steger,h010,H10,10.0,2,1773,1805,50,1.0,0.9981818181818182,1.0,1900.7185216993093,0.019873938839429613,0.025483848613313112,-8.117362363702114,0.8117362363702114,0.004438023873602181,,,,
B12p5_A20,centroid,h010,H10,10.0,3,1774,1804,50,1.0,0.9561290322580646,0.9354838709677419,1900.694348785872,0.044329780537098316,0.06643808053734601,-8.123476303341477,0.8123476303341477,0.006400639597648759,0.0,-0.023596430471570784,0.0007531928926447965,2.604048622136735
B12p5_A20,steger,h010,H10,10.0,3,1774,1804,50,1.0,0.9980645161290322,1.0,1900.7185216993093,0.01995714431360207,0.025513379424855237,-8.117362363702114,0.8117362363702114,0.004438023873602181,,,,
B12p5_A20,centroid,h010,H10,10.0,4,1775,1803,50,1.0,0.953103448275862,0.9310344827586207,1900.694348785872,0.044329780537098316,0.06709932132226767,-8.071811546730714,0.8071811546730714,0.0,0.0,-0.009144680359440827,0.00561152932818263,2.6269254639064004
B12p5_A20,steger,h010,H10,10.0,4,1775,1803,50,1.0,0.9979310344827587,1.0,1900.7185216993093,0.01995714431360207,0.02554291023639736,-8.117362363702114,0.8117362363702114,0.004438023873602181,,,,
B12p5_A20,centroid,h030,H30,30.0,0,1836,1862,50,1.0,1.0,1.0,1883.4200851393189,0.038759722405971954,0.053828623786492995,-24.519352993354005,0.8173117664451335,0.0,0.0,-0.07283633125825872,0.001117912097290534,2.8240778631113903
B12p5_A20,steger,h030,H30,30.0,0,1836,1862,50,1.0,1.0,1.0,1883.4600072205067,0.017106618148369696,0.019060601865696445,-24.49197312031629,0.8163991040105429,0.0,,,,
B12p5_A20,centroid,h030,H30,30.0,2,1838,1860,50,1.0,1.0,1.0,1883.35178125,0.039337576430267536,0.054370407040490176,-24.524248950630636,0.8174749650210212,0.0001996772622001803,0.0,-0.08581566483144343,0.00017456689438382982,2.852222203842446
B12p5_A20,steger,h030,H30,30.0,2,1838,1860,50,1.0,1.0,1.0,1883.4600072205067,0.017533824861156722,0.01906247240037738,-24.51996857586596,0.8173322858621986,0.0011430461487175329,,,,
B12p5_A20,centroid,h030,H30,30.0,3,1839,1859,50,1.0,1.0,1.0,1883.35178125,0.039717034105916725,0.05464129866748877,-24.519352993354005,0.8173117664451335,0.0,0.0,-0.07283633125825872,0.0016975825694690967,2.8662923030292666
B12p5_A20,steger,h030,H30,30.0,3,1839,1859,50,1.0,1.0,1.0,1883.4600072205067,0.01784754281005197,0.019063407667717847,-24.561047399306972,0.8187015799768991,0.0028202823288821224,,,,
