weighting,profile_type,t,weak_singular_value,weak_to_strong_ratio,invalid_count,theta_axis_rad,phi_axis_rad,A_x_mm,A_y_mm,A_z_mm,alpha_rad,alpha_deg,rmse_mm,p95_abs_mm,residual_energy,explained_fraction_vs_theta0
point_equal,weak_singular_direction,-6,2.35687497705e-05,1.62826960676e-06,0,2.57852081896,-0.00579364225728,-386.88206871,96.6294965154,470.644803828,1.56120567905,89.4504963616,0.0505784298755,0.0954115233871,44.9318308161,0.9270184945
point_equal,weak_singular_direction,-5.8,2.35687497705e-05,1.62826960676e-06,0,2.57853994317,-0.00576745576717,-385.287799314,95.9609372925,471.623310367,1.5612460537,89.4528096587,0.048804739808,0.0929627713622,41.8357377534,0.932047391138
point_equal,weak_singular_direction,-5.6,2.35687497705e-05,1.62826960676e-06,0,2.57855906738,-0.00574126927707,-383.693529918,95.2923780695,472.601816906,1.56128642835,89.4551229558,0.0471480496491,0.0905969286781,39.0436933194,0.936582430162
point_equal,weak_singular_direction,-5.4,2.35687497705e-05,1.62826960676e-06,0,2.5785781916,-0.00571508278696,-382.099260522,94.6238188466,473.580323445,1.56132680301,89.4574362529,0.0456082538444,0.0883139980133,36.5351015483,0.940657065022
point_equal,weak_singular_direction,-5.2,2.35687497705e-05,1.62826960676e-06,0,2.57859731581,-0.00568889629685,-380.504991126,93.9552596236,474.558829984,1.56136717766,89.45974955,0.0441847693093,0.086113982122,34.2900889867,0.944303575605
point_equal,weak_singular_direction,-5,2.35687497705e-05,1.62826960676e-06,0,2.57861644003,-0.00566270980674,-378.910721729,93.2867004007,475.537336523,1.56140755231,89.4620628471,0.0428764654769,0.0840031425053,32.289504649,0.947553068319
point_equal,weak_singular_direction,-4.8,2.35687497705e-05,1.62826960676e-06,0,2.57863556424,-0.00563652331663,-377.316452333,92.6181411777,476.515843062,1.56144792696,89.4643761442,0.0416816022014,0.0819762854991,30.5149201178,0.950435475921
point_equal,weak_singular_direction,-4.6,2.35687497705e-05,1.62826960676e-06,0,2.57865468845,-0.00561033682652,-375.722182937,91.9495819548,477.494349601,1.56148830161,89.4666894413,0.0405977804219,0.080032087169,28.9486295714,0.952979557479
point_equal,weak_singular_direction,-4.4,2.35687497705e-05,1.62826960676e-06,0,2.57867381267,-0.00558415033641,-374.127913541,91.2810227318,478.47285614,1.56152867626,89.4690027384,0.0396219105766,0.0781749308701,27.5736497915,0.955212898354
point_equal,weak_singular_direction,-4.2,2.35687497705e-05,1.62826960676e-06,0,2.57869293688,-0.00555796384631,-372.533644145,90.6124635088,479.451362679,1.56156905091,89.4713160355,0.0387502031145,0.0772738150134,26.3737202322,0.957161910093
point_equal,weak_singular_direction,-4,2.35687497705e-05,1.62826960676e-06,0,2.5787120611,-0.0055317773562,-370.939374749,89.9439042859,480.429869218,1.56160942556,89.4736293326,0.0379781840315,0.0765697688545,25.3333030084,0.958851830445
point_equal,weak_singular_direction,-3.8,2.35687497705e-05,1.62826960676e-06,0,2.57873118531,-0.00550559086609,-369.345105353,89.2753450629,481.408375758,1.56164980021,89.4759426297,0.0373007367861,0.0756815410435,24.4375829615,0.960306723254
