threshold,split,image_id,frame_key,u_px,v_px,response,ray_x,ray_y,ray_z,Xc_mm,Yc_mm,Zc_mm,board_nx,board_ny,board_nz,board_d_mm,pnp_rmse_px,fit_group,frame_id,lambda_truth_mm,in_v_domain,v_bin_index,v_bin,lambda_quadratic_mm,quadratic_valid,residual_mm,abs_residual_mm,xn,yn,pca_s,pca_t,frame_residual_median_mm,residual_centered_mm,abs_centered_residual_mm,s_bin_index,s_bin,response_quintile,Xb_mm,Yb_mm,Zb_mm,mask_boundary_distance_mm,mask_boundary_band,pnp_boundary_source,pnp_boundary_rmse_px
abs_gt_p95,fit,54,fit_049_054:54,1985.5475540197988,806.0352236200168,1.4048381502643497,-0.011522264511348,-0.0961511906388541,1.0,-7.739492855501056,-64.58465280539465,671.6989397247919,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,671.6989397247919,True,8,v_0800_0900,671.8889947484741,True,-0.19005502368224825,0.19005502368224825,-0.011522264511348,-0.0961511906388541,-0.0824873084704685,0.002116530494300047,-0.04751223898153967,-0.14254278470070858,0.14254278470070858,3,s_-0.09012_-0.05604,response_q00_20,105.07157809354467,88.80895617309022,1.2423058509317947e-13,71.19104382690978,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1987.8107944712056,842.0132966670761,1.808335650673624,-0.0112141836913493,-0.0912509741838455,1.0,-7.541201047518639,-61.36353398893844,672.4699055300807,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,672.4699055300807,True,8,v_0800_0900,672.6615417532115,True,-0.19163622313078577,0.19163622313078577,-0.0112141836913493,-0.0912509741838455,-0.07758922628503828,0.0017761983001732431,-0.04751223898153967,-0.1441239841492461,0.1441239841492461,3,s_-0.09012_-0.05604,response_q00_20,104.86457449024961,85.49739100658832,6.72616827642967e-14,74.50260899341168,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1987.964851489109,844.0020299558511,2.033931282860157,-0.0111932131863927,-0.0909801230324233,1.0,-7.52757801535522,-61.18528813564878,672.5126994370369,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,672.5126994370369,True,8,v_0800_0900,672.7124716799686,True,-0.19977224293177187,0.19977224293177187,-0.0111932131863927,-0.0909801230324233,-0.07731851905095197,0.001753445240638121,-0.04751223898153967,-0.1522600039502322,0.1522600039502322,3,s_-0.09012_-0.05604,response_q20_40,104.85046623133161,85.3141167674734,1.4878720799956214e-13,74.6858832325266,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1988.013094280299,844.9996413801866,2.1395865095895426,-0.011186646630384,-0.0908442560782367,1.0,-7.523400645113694,-61.09585449204567,672.5340393500369,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,672.5340393500369,True,8,v_0800_0900,672.729777410563,True,-0.19573806052608234,0.19573806052608234,-0.011186646630384,-0.0908442560782367,-0.07718269826827848,0.0017459844168418138,-0.04751223898153967,-0.14822582154454267,0.14822582154454267,3,s_-0.09012_-0.05604,response_q20_40,104.84604855634065,85.22218362293462,6.618254593027706e-14,74.77781637706538,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1988.426769344531,851.9451973428424,2.018939594696006,-0.0111303383533612,-0.0898983355413232,1.0,-7.487189316936122,-60.47308142003322,672.6829930264479,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,672.6829930264479,True,8,v_0800_0900,672.8723506024013,True,-0.18935757595340874,0.18935757595340874,-0.0111303383533612,-0.0898983355413232,-0.07623716890416772,0.0016834503795476606,-0.04751223898153967,-0.14184533697186907,0.14184533697186907,3,s_-0.09012_-0.05604,response_q20_40,104.80815540818995,84.58194236641346,6.204431064119076e-14,75.41805763358654,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1988.6364530327944,854.0434003636875,1.8943642030493808,-0.0111017957537283,-0.0896125833050782,1.0,-7.468493065313745,-60.28492793646162,672.7283793530074,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,672.7283793530074,True,8,v_0800_0900,672.939485453409,True,-0.21110610040159372,0.21110610040159372,-0.0111017957537283,-0.0896125833050782,-0.07595161075511941,0.0016530272957964952,-0.04751223898153967,-0.16359386142005405,0.16359386142005405,3,s_-0.09012_-0.05604,response_q20_40,104.78894183657412,84.38844290773415,1.1398600343538748e-13,75.61155709226585,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1988.7863348447488,856.0116913870406,1.8341207113382247,-0.0110813940185759,-0.0893445251064642,1.0,-7.45523779837964,-60.10838343401728,672.7707530191835,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,672.7707530191835,True,8,v_0800_0900,672.9891690741368,True,-0.21841605495330896,0.21841605495330896,-0.0110813940185759,-0.0893445251064642,-0.07568369266912052,0.0016308613797068568,-0.04751223898153967,-0.1709038159717693,0.1709038159717693,3,s_-0.09012_-0.05604,response_q20_40,104.77520625650897,84.20692011337958,8.217526994583722e-14,75.79307988662042,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1988.8674720491904,857.9986675560742,2.2031955812559723,-0.0110703506141531,-0.0890739236032967,1.0,-7.448278271687108,-59.930113586479365,672.8132225699021,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,672.8132225699021,True,8,v_0800_0900,673.019389785581,True,-0.20616721567887453,0.20616721567887453,-0.0110703506141531,-0.0890739236032967,-0.07541316972792919,0.0016180368490349686,-0.04751223898153967,-0.15865497669733486,0.15865497669733486,3,s_-0.09012_-0.05604,response_q20_40,104.76776934837908,84.02368002854911,9.974853934813548e-14,75.97631997145089,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1990.1772057793928,879.977461358362,1.8114461281913636,-0.0108920796952397,-0.0860807816465442,1.0,-7.3334757531163,-57.95691389314033,673.2851721899649,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,673.2851721899649,True,8,v_0800_0900,673.4708112912358,True,-0.1856391012709082,0.1856391012709082,-0.0108920796952397,-0.0860807816465442,-0.07242126618153111,0.001420065985388389,-0.04751223898153967,-0.13812686228936855,0.13812686228936855,3,s_-0.09012_-0.05604,response_q00_20,104.64763805322647,81.99513336557439,1.5214662773826473e-13,78.00486663442561,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1990.3206093492893,882.0045342534386,1.8302900696756264,-0.0108725606795552,-0.0858047372765704,1.0,-7.320808582495996,-57.77480352483324,673.3288319339567,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,673.3288319339567,True,8,v_0800_0900,673.5188801266208,True,-0.19004819266410777,0.19004819266410777,-0.0108725606795552,-0.0858047372765704,-0.07214535628628868,0.0013987301967964354,-0.04751223898153967,-0.1425359536825681,0.1425359536825681,3,s_-0.09012_-0.05604,response_q20_40,104.6344766207284,81.80789663467871,7.417822363700761e-14,78.19210336532129,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,1991.635495645629,902.9549347293506,23.38966596689334,-0.0106935940912139,-0.0829518221414823,1.0,-7.205125999871429,-55.89124903659555,673.7796421309185,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,673.7796421309185,True,9,v_0900_1000,673.9681504213173,True,-0.18850829039877226,0.18850829039877226,-0.0106935940912139,-0.0829518221414823,-0.06929368110269044,0.0012009867898086614,-0.04751223898153967,-0.1409960514172326,0.1409960514172326,3,s_-0.09012_-0.05604,response_q80_100,104.5137001206782,79.87145586852981,9.036864273383029e-14,80.12854413147019,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2038.2485105066912,1622.987885777654,1.0869670533477604,-0.0043506382323578,0.015043859542594,1.0,-3.000402345603212,10.374944789206774,689.6464806675392,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,689.6464806675392,True,16,v_1600_1700,689.8731755508983,True,-0.22669488335907317,0.22669488335907317,-0.0043506382323578,0.015043859542594,0.028658121622319163,-0.0057869356965246374,-0.04751223898153967,-0.1791826443775335,0.1791826443775335,6,s_+0.01213_+0.04621,response_q00_20,100.12960498815798,11.743455602972555,9.163943420528534e-14,31.743455602972553,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2038.352703985238,1624.9776385761224,1.14608987327226,-0.0043364569112958,0.0153146379097007,1.0,-2.990816362102712,10.56237167275901,689.6912440919357,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,689.6912440919357,True,16,v_1600_1700,689.9099264018988,True,-0.21868230996312832,0.21868230996312832,-0.0043364569112958,0.0153146379097007,0.028928800766760347,-0.005802899240135697,-0.04751223898153967,-0.17117007098158865,0.17117007098158865,6,s_+0.01213_+0.04621,response_q00_20,100.11951440908439,11.550783155187629,1.4904328499167866e-13,31.55078315518763,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2038.4521675487265,1626.9758584935246,1.1929920807831322,-0.0043229192515135,0.0155865690979076,1.0,-2.9816738101573548,10.750620625903943,689.7361798079788,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,689.7361798079788,True,16,v_1600_1700,689.9452893321928,True,-0.20910952421399998,0.20910952421399998,-0.0043229192515135,0.0155865690979076,0.02920063694453463,-0.005818226725417552,-0.04751223898153967,-0.1615972852324603,0.1615972852324603,6,s_+0.01213_+0.04621,response_q00_20,100.10986562454745,11.357269914944213,3.4628282277130313e-14,31.35726991494421,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2038.585130043523,1629.9481686022,1.1930770272881623,-0.0043048219013469,0.0159910620711771,1.0,-2.969478897632604,11.030681979255805,689.8029618143925,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,689.8029618143925,True,16,v_1600_1700,689.9934167905137,True,-0.19045497612125928,0.19045497612125928,-0.0043048219013469,0.0159910620711771,0.029605002018640643,-0.005838986454478665,-0.04751223898153967,-0.1429427371397196,0.1429427371397196,6,s_+0.01213_+0.04621,response_q00_20,100.09691925011995,11.069389201275207,1.431829406657721e-13,31.069389201275207,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2039.3690614386048,1633.919941808282,1.3759151435917731,-0.0041981290445517,0.0165315714306445,1.0,-2.8962684475251845,11.405049300407445,689.8950501018859,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,689.8950501018859,True,16,v_1600_1700,690.2386845599907,True,-0.3436344581048161,0.3436344581048161,-0.0041981290445517,0.0165315714306445,0.030144797308871724,-0.005949235164254907,-0.04751223898153967,-0.2961222191232764,0.2961222191232764,6,s_+0.01213_+0.04621,response_q00_20,100.02263675438316,10.684067225945782,4.5248480839828696e-14,30.684067225945782,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2039.6745614215945,1636.9868776235871,2.009632783264644,-0.0041565494152329,0.016948945017079,1.0,-2.8678726878666976,11.694175058883918,689.9647763975856,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,689.9647763975856,True,16,v_1600_1700,690.3386206892409,True,-0.3738442916552458,0.3738442916552458,-0.0041565494152329,0.016948945017079,0.030561888133561678,-0.005993561456530957,-0.04751223898153967,-0.32633205267370613,0.32633205267370613,6,s_+0.01213_+0.04621,response_q20_40,99.99344645193167,10.386729529149735,7.238861848603263e-14,30.386729529149733,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2039.673718874472,1638.9998341853077,2.202024792297582,-0.0041566626803151,0.0172228851594732,1.0,-2.868137187755972,11.88395624217235,690.0096082702909,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,690.0096082702909,True,16,v_1600_1700,690.3440805782193,True,-0.3344723079284222,0.3344723079284222,-0.0041566626803151,0.0172228851594732,0.03083582308582176,-0.005995251537652174,-0.04751223898153967,-0.28696006894688253,0.28696006894688253,6,s_+0.01213_+0.04621,response_q20_40,99.99321185171279,10.191724890067624,1.1144402142398808e-13,30.191724890067626,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2039.7033193489644,1639.9968502335062,2.4422865468334587,-0.0041526334310082,0.0173585677772722,1.0,-2.865449768243333,11.977966473757387,690.0319558299205,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,690.0319558299205,True,16,v_1600_1700,690.3557483076812,True,-0.3237924777606622,0.3237924777606622,-0.0041526334310082,0.0173585677772722,0.03097147623915291,-0.0060001738962416305,-0.04751223898153967,-0.27628023877912256,0.27628023877912256,6,s_+0.01213_+0.04621,response_q20_40,99.99027385236329,10.09510228687596,1.1275731067566816e-13,30.09510228687596,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2039.7774182718792,1642.002359069059,3.627331449224288,-0.0041425473115659,0.0176314953366217,1.0,-2.8586765409194026,12.167089066045662,690.0769806389502,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,690.0769806389502,True,16,v_1600_1700,690.3835636667419,True,-0.306583027791703,0.306583027791703,-0.0041425473115659,0.0176314953366217,0.03124433148791738,-0.006012056475067658,-0.04751223898153967,-0.2590707888101633,0.2590707888101633,6,s_+0.01213_+0.04621,response_q20_40,99.98299490543332,9.900712261715288,7.618249477864921e-14,29.900712261715288,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2039.883885273989,1644.002387341328,5.233438669744162,-0.0041280559309372,0.0179036776924771,1.0,-2.8488623823124573,12.355722581395373,690.1220404893176,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,690.1220404893176,True,16,v_1600_1700,690.4210297698789,True,-0.2989892805613863,0.2989892805613863,-0.0041280559309372,0.0179036776924771,0.03151641254956817,-0.006028339313963386,-0.04751223898153967,-0.2514770415798466,0.2514770415798466,6,s_+0.01213_+0.04621,response_q20_40,99.97267270516551,9.706797942700133,5.2400545153450314e-14,29.706797942700135,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
abs_gt_p95,fit,54,fit_049_054:54,2039.9470727717523,1646.001819005643,7.082692050977915,-0.0041194547165951,0.0181757794439383,1.0,-2.8431112537888508,12.544321187770532,690.1668908594756,0.0481441064540498,0.2296985732786494,-0.972070321760465,668.1462180374733,0.0987732033114534,fit_049_054,054,690.1668908594756,True,16,v_1600_1700,690.4455635194134,True,-0.2786726599377971,0.2786726599377971,-0.0041194547165951,0.0181757794439383,0.03178845178344547,-0.00603873158358361,-0.04751223898153967,-0.23116042095625744,0.23116042095625744,6,s_+0.01213_+0.04621,response_q20_40,99.96641844897731,9.512955352465694,1.1291526418094376e-13,29.512955352465696,interior_gt_10mm,supplemental_chessboard_pnp_for_boundary_only,0.09877320331145344
